Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Status,Does the government maintain a digital address register?,2,Planned,2023,"Nouakchott has been developing a modern street addressing system (ASToN project) and lacks standardized addressing, indicating an addressing system is planned/being developed rather than fully deployed nationwide.",reg-address-exists,20,[Civic Tech Innovation Network – Nouakchott addressing system project](https://civictech.africa/nouakchott-develops-a-street-addressing-system-to-improve-the-everyday-life-of-citizens/),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,,
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Status,Does the government maintain a digital business register?,4,Partially deployed,2021,"Mauritania has an operational commercial register and a one-stop-shop (Guichet Unique) that handles registration and links to tax/social security; World Bank published a diagnostic on modernization of the business registry, indicating the register exists and is partially digitized/modernizing.",reg-business-exists,25,"[World Bank document – Diagnostic et Recommandations pour la Modernisation du Registre](https://documents.banquemondiale.org/fr/publication/documents-reports/documentdetail/990231590998191183),[Doing Business – Mauritania economy profile](https://archive.doingbusiness.org/en/data/exploreeconomies/mauritania)",0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,,
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Uptake,What proportion of businesses does the register cover?,2,20-49%,2024,"No official statistic on proportion of businesses registered found; given large informal sector typical and sources describe registration processes but not universal coverage, assessed as 20–49% coverage of all businesses.",reg-business-uptake,26,[Doing Business – Mauritania economy profile](https://archive.doingbusiness.org/en/data/exploreeconomies/mauritania),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,,
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Status,Does the government maintain a digital civil register?,4,Partially deployed,2025,"Civil registration is managed by ANRPTS with structured records for births, marriages, divorces and deaths; while evidence of digitized issuance/biometric link exists, no definitive proof that the entire CRVS is fully digitized nationwide, so assessed as partially deployed.",reg-cr-exists,7,"[FamilySearch – Mauritania Civil Registration (ANRPTS roles and event types)](https://www.familysearch.org/en/wiki/Mauritania_Civil_Registration),[Canadian IRB via ecoi.net (biometric civil status documents issued via centers)](https://www.ecoi.net/en/document/1187051.html)",0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,,
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,National Id integration,Is the register integrated with the national ID system?,4,Partially integrated,2015,"Civil status records include national identification numbers and the ID card is tied to enrollment in the National Population Biometric Register; this indicates operational integration between civil registration documentation and the ID system, though automation is not fully evidenced.",reg-cr-id,11,"[FamilySearch – Civil records include national identification number fields](https://www.familysearch.org/en/wiki/Mauritania_Civil_Registration),[Canadian IRB via ecoi.net (National Population Biometric Register)](https://www.ecoi.net/en/document/1187051.html)",0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,,
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Inclusivity,Are all non-citizens allowed to be included in the register?,2,Permanent residents only,2015,"Non-citizens can obtain civil status extracts (e.g., marriage certificate) using a residence card (carte de séjour), indicating inclusion for legally resident non-citizens rather than all non-citizens.",reg-cr-inclusive,9,[Canadian IRB via ecoi.net (non-citizens must provide residence card)](https://www.ecoi.net/en/document/1187051.html),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,,
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Population register integration,Is the register integrated with the population register?,4,Partially integrated,2025,"ANRPTS oversees both civil registration and the population biometric register/secure documents; this institutional and data linkage suggests partial integration between CRVS and the population register, but no proof of full automated integration nationwide found.",reg-cr-pop,12,[FamilySearch – ANRPTS in charge of civil registration and secure documents](https://www.familysearch.org/en/wiki/Mauritania_Civil_Registration),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,,
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Scope,"Does the register cover births, deaths and marriages?",3,All,2025,"Civil register covers births, marriages and deaths (and also divorces) as described for records kept at commune CAC enrollment centers.",reg-cr-scope,8,[FamilySearch – Mauritania Civil Registration](https://www.familysearch.org/en/wiki/Mauritania_Civil_Registration),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,,
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Uptake,What proportion of the population does the register cover?,3,50-69%,2026,"Birth registration completeness is reported via World Bank indicator SP.REG.BRTH.ZS (household surveys/UNICEF); Mauritania’s completeness is not near-universal, consistent with mid-range coverage (50–69%) rather than 70%+.",reg-cr-uptake,10,[World Bank indicator SP.REG.BRTH.ZS – Mauritania](https://data.worldbank.org/indicator/SP.REG.BRTH.ZS?locations=MR),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,,
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,Status,Does the government maintain a digital electoral register?,4,Partially deployed,2022,"Electoral lists are produced from administrative censuses and stored in a centralized database at the Ministry of Interior; lists were published online and searchable by national ID serial number, indicating a digital electoral register is in use (at least partially deployed).",reg-elect-exists,30,[Trans-Saharan Elections Project – Voter Identification and the Electoral Lists (Mauritania)](https://tsep.africa.ufl.edu/voter-identification/mauritania-3/),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,,
