Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
ETH,Ethiopia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,4G/LTE Population Coverage,"Percentage of the national population covered by at least one 4G/LTE mobile network signal, whether or not they subscribe to the service. 4G is the practical minimum for meaningful broadband connectivity enabling digital services.",4,75-89%,2025,71% population,ict-connectivity-4gcoverage,9,https://news.broadcastmediaafrica.com/2025/08/21/ethiopia-ethio-telecom-collaborates-with-huawei-to-enhance-4g-capacity/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
ETH,Ethiopia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Data Affordability,"Affordability of mobile broadband data, measured as the cost of a basic mobile data plan (1-2GB) as a percentage of GNI per capita. The UN Broadband Commission target is below 2% of monthly GNI per capita. Affordability is the single largest barrier to internet adoption in Africa.",4,Affordable (1-2%),2023,"Mobile data $0.68/GB, ITU basket 3.4% GNI",ict-connectivity-dataafford,11,https://www.statista.com/statistics/1274040/price-for-mobile-data-in-ethiopia/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
ETH,Ethiopia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Usage Rate,"Percentage of individuals who used the internet (from any location, via any device) in the last three months. This measures actual internet adoption beyond network availability, capturing the combined effect of infrastructure, affordability, digital literacy, and relevance.",3,30-49%,2025,21.3% internet users,ict-connectivity-internetuse,10,https://datareportal.com/reports/digital-2025-ethiopia,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
ETH,Ethiopia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,International Internet Bandwidth,"The country's total international internet bandwidth capacity per internet user, indicating the quality and capacity of the country's connection to the global internet. Determined by submarine cable landings (for coastal states), cross-border terrestrial fibre (for landlocked states), and satellite links.",2,Low (5-19 kbit/s),2022,22 kbit/s per user,ict-connectivity-intlbandwidth,12,https://www.itu.int/en/ITU-D/Statistics/Documents/DDD/ddd_ETH.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
ETH,Ethiopia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Exchange Point Presence,"Whether the country has an operational Internet Exchange Point (IXP) and its maturity. IXPs enable local internet traffic to be exchanged domestically rather than being routed internationally, reducing latency, costs, and dependence on foreign infrastructure. Critical for local digital ecosystem development.",3,Single IXP with limited participation,2026,1 IXP (Addix) 3 members limited,ict-connectivity-ixp,13,https://pulse.internetsociety.org/en/ixp-tracker/country/ET/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
ETH,Ethiopia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Phone Penetration,"Unique mobile subscriber penetration rate as a percentage of the total population. Measures the proportion of individuals who subscribe to a mobile service (not SIM cards, which can be multiple per person). Mobile phones are the primary device for internet access in Africa.",5,70%+,2025,68.4% connections,ict-connectivity-mobilepen,7,https://datareportal.com/reports/digital-2026-ethiopia,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
ETH,Ethiopia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Smartphone Adoption,"Percentage of mobile connections using smartphones (as opposed to feature phones or basic phones). Smartphones are the minimum device requirement for accessing most digital public infrastructure services, apps, and mobile internet.",4,60-79%,2025,High broadband 97.6%,ict-connectivity-smartphonepen,8,https://datareportal.com/reports/digital-2026-ethiopia,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
ETH,Ethiopia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Cloud Services Availability,"The availability and presence of major cloud service providers (hyperscale and regional) operating in or serving the country with local or near-local infrastructure. Cloud availability determines access to scalable computing resources for government, business, and startups.",2,Served remotely from distant regions only (>100ms latency),2025,Regional nearby (South Africa),ict-storage-cloudadoption,18,https://www.afribit.co.za/2025/03/27/google-expands-in-africa-how-gcps-new-cloud-region-competes-with-aws/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
ETH,Ethiopia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,National Cybersecurity Readiness,"The country's overall cybersecurity preparedness, based on the ITU Global Cybersecurity Index (GCI). Covers legal measures, technical measures, organisational measures, capacity development, and cooperation. Essential for trust in stored data and digital services.",4,GCI score 60-79 (Advancing),2024,GCI 76.34,ict-storage-cybersecurity,19,https://www.linkedin.com/pulse/gci-2024-where-does-ethiopia-stand-pkfethiopia-tprde,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
ETH,Ethiopia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Data Localisation Requirements,"Whether the country has enacted legal or regulatory requirements mandating that certain categories of data (personal data, government data, financial data, or critical infrastructure data) be stored within national borders. Central to data sovereignty debates in Africa.",4,Comprehensive requirements for personal data or broad categories,2024,Personal data stored locally required,ict-storage-datalocalisation,16,https://www.techhiveadvisory.africa/insights/review-of-ethiopias-data-protection-act,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
