Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
SEN,Senegal,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,4G/LTE Population Coverage,"Percentage of the national population covered by at least one 4G/LTE mobile network signal, whether or not they subscribe to the service. 4G is the practical minimum for meaningful broadband connectivity enabling digital services.",5,90%+,2025,97% population [GSMA](https://www.gsma.com/newsroom/press-release/new-gsma-report-shows-digital-reforms-could-connect-2-6-million-more-people-in-senegal-by-2030-and-expand-access-to-essential-services/),ict-connectivity-4gcoverage,9,https://www.gsma.com/newsroom/press-release/new-gsma-report-shows-digital-reforms-could-connect-2-6-million-more-people-in-senegal-by-2030-and-expand-access-to-essential-services/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SEN,Senegal,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Usage Rate,"Percentage of individuals who used the internet (from any location, via any device) in the last three months. This measures actual internet adoption beyond network availability, capturing the combined effect of infrastructure, affordability, digital literacy, and relevance.",4,50-69%,2024,60.1% individuals using internet [ITU](https://en.wikipedia.org/wiki/List_of_countries_by_number_of_Internet_users),ict-connectivity-internetuse,10,https://en.wikipedia.org/wiki/List_of_countries_by_number_of_Internet_users,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SEN,Senegal,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Exchange Point Presence,"Whether the country has an operational Internet Exchange Point (IXP) and its maturity. IXPs enable local internet traffic to be exchanged domestically rather than being routed internationally, reducing latency, costs, and dependence on foreign infrastructure. Critical for local digital ecosystem development.",3,Single IXP with limited participation,2024,1 active IXP [Internet Society Pulse](https://pulse.internetsociety.org/en/reports/SN),ict-connectivity-ixp,13,https://pulse.internetsociety.org/en/reports/SN,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SEN,Senegal,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Phone Penetration,"Unique mobile subscriber penetration rate as a percentage of the total population. Measures the proportion of individuals who subscribe to a mobile service (not SIM cards, which can be multiple per person). Mobile phones are the primary device for internet access in Africa.",5,70%+,2023,22.4M SIMs >120% [CEIC WB](https://www.ceicdata.com/en/indicator/senegal/number-of-subscriber-mobile),ict-connectivity-mobilepen,7,https://www.ceicdata.com/en/indicator/senegal/number-of-subscriber-mobile,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SEN,Senegal,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Cloud Services Availability,"The availability and presence of major cloud service providers (hyperscale and regional) operating in or serving the country with local or near-local infrastructure. Cloud availability determines access to scalable computing resources for government, business, and startups.",3,Regional cloud availability zone nearby (same sub-region),2024,"Regional zones (JNB GCP), local sovereign init [Ecofin](https://www.ecofinagency.com/telecom/0410-45971-senegal-launches-sovereign-cloud-initiative-with-google)",ict-storage-cloudadoption,18,https://www.ecofinagency.com/telecom/0410-45971-senegal-launches-sovereign-cloud-initiative-with-google,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SEN,Senegal,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,National Cybersecurity Readiness,"The country's overall cybersecurity preparedness, based on the ITU Global Cybersecurity Index (GCI). Covers legal measures, technical measures, organisational measures, capacity development, and cooperation. Essential for trust in stored data and digital services.",3,GCI score 40-59 (Establishing),2024,GCI ~52 Tier 3 [Ecofin](https://www.ecofinagency.com/telecom/1709-45902-itu-names-7-african-nations-among-top-cybersecurity-models),ict-storage-cybersecurity,19,https://www.ecofinagency.com/telecom/1709-45902-itu-names-7-african-nations-among-top-cybersecurity-models,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SEN,Senegal,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Data Protection Legislation,Whether the country has enacted comprehensive data protection and privacy legislation. A foundational legal requirement for building trust in digital public infrastructure and for enabling secure cross-border data flows under frameworks like the AU Convention on Cyber Security and Personal Data Protection.,4,Legislation enacted with Data Protection Authority established,2024,"Law 2008-12, CDP DPA established [DLA Piper](https://www.dlapiperdataprotection.com/index.html?t=law&c=SN)",ict-storage-dataprotection,17,https://www.dlapiperdataprotection.com/index.html?t=law&c=SN,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SEN,Senegal,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Commercial Data Center Presence,"The presence and tier quality of commercial/colocation data center facilities operating in the country. Commercial data centers provide the physical infrastructure for hosting cloud services, content delivery, and enterprise applications domestically.",2,Small-scale facilities only (Tier I-II),2024,7 small-scale data centers in Dakar [DatacenterMap](https://www.datacentermap.com/senegal/),ict-storage-dcpresence,14,https://www.datacentermap.com/senegal/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SEN,Senegal,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Government Data Center / Cloud Strategy,Whether the government has established dedicated data center infrastructure and/or a government cloud (G-Cloud) strategy for hosting e-government services and public sector data domestically. Critical for data sovereignty and e-government service delivery.,4,National data center operational with cloud strategy adopted,2024,Sovereign cloud with Google [Ecofin Agency](https://www.ecofinagency.com/telecom/0410-45971-senegal-launches-sovereign-cloud-initiative-with-google),ict-storage-govcloud,15,https://www.ecofinagency.com/telecom/0410-45971-senegal-launches-sovereign-cloud-initiative-with-google,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SEN,Senegal,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Electricity Access Rate,"Percentage of national population with access to electricity (grid or off-grid). This is the primary indicator of energy infrastructure availability for ICT. Based on World Bank/IEA Tracking SDG7 data, national statistical offices, or Afrobarometer surveys.",4,75-89%,2023,74.2% access [World Bank](https://tradingeconomics.com/senegal/access-to-electricity-percent-of-population-wb-data.html),ict-energy-elecaccess,1,https://tradingeconomics.com/senegal/access-to-electricity-percent-of-population-wb-data.html,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SEN,Senegal,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Off-Grid and Distributed Energy Policy,"Whether the country has established policies, regulations, and programmes supporting off-grid and distributed energy solutions (mini-grids, solar home systems). These are critical for extending ICT infrastructure to unserved areas beyond the central grid.",4,Comprehensive framework with significant deployment,2024,Comprehensive policy ASER PNER [GOGLA](https://www.gogla.org/wp-content/uploads/2024/11/Senegal-Country-Brief.pdf),ict-energy-offgridpolicy,6,https://www.gogla.org/wp-content/uploads/2024/11/Senegal-Country-Brief.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
