Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
TUN,Tunisia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Data exchange integration,Is the register integrated with the government's national data exchange system?,5,Fully integrated nationwide,2026,RNE has policy for instant electronic data exchange (web services).,reg-business-dpi,29,https://home.registre-entreprises.tn/echange_des_donnees/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
TUN,Tunisia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Uptake,What proportion of businesses does the register cover?,3,50-69%,2020,"~800k registered companies; informal sector significant, estimate 50-69% formal coverage.",reg-business-uptake,26,https://www.statista.com/topics/9265/companies-in-tunisia/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
TUN,Tunisia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,National Id integration,Is the register integrated with the national ID system?,4,Partially integrated,2015,Integrated with national ID via Unique National Identifier (UNIN) from birth; CIN requires birth certificate.,reg-cr-id,11,https://crvssystems.ca/sites/default/files/assets/files/SocialProtection_5_Tunisia_e_WEB.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
TUN,Tunisia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Inclusivity,Are all non-citizens allowed to be included in the register?,4,All included,2020,Includes all non-citizens/foreigners who have civil status in Tunisia.,reg-cr-inclusive,9,https://crvssystems.ca/sites/default/files/assets/files/SocialProtection_5_Tunisia_e_WEB.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
TUN,Tunisia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Scope,"Does the register cover births, deaths and marriages?",3,All,2020,"Covers births, deaths, marriages, divorces (all vital events).",reg-cr-scope,8,https://crvssystems.ca/sites/default/files/assets/files/SocialProtection_5_Tunisia_e_WEB.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
TUN,Tunisia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,Status,Does the government maintain a digital electoral register?,5,Fully deployed nationwide,2024,Digital electoral register managed by ISIE; recent elections with registered voters lists.,reg-elect-exists,30,https://www.electionguide.org/countries/id/217/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
TUN,Tunisia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,Uptake,What proportion of the electorate does the register cover?,5,>89%,2024,9.75M registered voters out of ~12M population (>89%).,reg-elect-uptake,31,https://www.electionguide.org/countries/id/217/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
TUN,Tunisia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Land,Separate cadastral register,Does the government maintain a separate cadastral register?,4,Partially deployed,2013,Separate cadastral database exists (Cadastral BD) with GIS.,reg-land-cadastral,15,https://ggim.un.org/meetings/2013-Seminar/documents/Tunisia%20ESCWA.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
TUN,Tunisia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Land,Status,Does the government maintain a digital land register?,4,Partially deployed,2025,"Digital land registry exists with online services (view titles, certificates); full digitization launched 2025.",reg-land-exists,14,https://www.opengovpartnership.org/members/tunisia/commitments/TN0047/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
TUN,Tunisia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Social Protection,Data exchange integration,Is the register integrated with the government's national data exchange system?,4,Partially integrated,2024,Integrated via UXP/TunX-Road national interoperability platform.,reg-social-dpi,44,https://cyber.ee/resources/news/UXP-tunisia-2024/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
