Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
ETH,Ethiopia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Authentication Function,Whether the system enables individuals to authenticate themselves or their documents digitally through electronic verification,2, Yes,2025,"VeriFayda digital authentication system operational with over 32.3 million successful authentications by September 2025 (averaging 130,000 per day). Supports real-time biometric and demographic authentication. VeriFayda 2 (EthSwitch eKYC) launched with improved functionality.",id-functionality-authdigital,36,https://documents1.worldbank.org/curated/en/099102925060510930/pdf/P179040-49e3036e-1e1a-40ff-97e0-effe57cb36f7.pdf | https://www.biometricupdate.com/202512/ethiopia-banks-harmonize-customer-account-information-with-fayda-digital-id,2,OK,,,,,
ETH,Ethiopia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Individual Data Access,Whether individuals can view their data held in the ID database and see how it has been accessed,2, Yes,2025,"Fayda mobile app (available via telebirr super app mini app) allows individuals to view their ID data, access digital copy of ID, and update demographic information. PDPP 2024 provides rights of access, rectification, and erasure. Consent-based data sharing framework operational.",id-functionality-dataview,42,https://integratedbiometrics.com/feature/ethiopia-fayda-id-and-integrated-biometrics-bring-digital-inclusion | https://www.ethiotelecom.et/national-id/,2,OK,,,,,
ETH,Ethiopia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,KYC Enablement,"Whether the system enables Know Your Customer (KYC) packet collection for service provision, particularly financial services",2, Yes,2025,VeriFayda 1 and VeriFayda 2 eKYC systems fully operational. NBE mandated all banks to use VeriFayda 2 for new account openings. Over 5 million TIN registrations via Fayda eKYC. Cooperative Bank of Oromia enables account opening via biometric eKYC without physical documents.,id-functionality-kycenable,38,https://www.biometricupdate.com/202512/ethiopia-banks-harmonize-customer-account-information-with-fayda-digital-id | https://idtechwire.com/ethiopia-launches-fayda-digital-id-system-to-cover-90-million-citizens-by-2027/,2,OK,,,,,
ETH,Ethiopia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,2, Partial integration,2025,"Fayda integrated with Civil Registration and Residency Service Agency (CRRSA). CRRSA is a registration partner for Fayda enrollment. World Bank project explicitly supports CRVS digitalization. In 2026, Fayda ID replaces birth certificate for school registration. Integration is underway but not yet fully operationalized across all levels.",id-governance-crvs,21,https://integratedbiometrics.com/feature/ethiopia-fayda-id-and-integrated-biometrics-bring-digital-inclusion | https://documents1.worldbank.org/curated/en/099102925060510930/pdf/P179040-49e3036e-1e1a-40ff-97e0-effe57cb36f7.pdf,2,OK,,,,,
ETH,Ethiopia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Sharing Rules,"Whether procedural rules for collection, storage, and sharing of ID-related personal data are publicly available and established",3, Fully available,2025,"Comprehensive data sharing rules in Proclamation 1284/2023 (consent required, no third-party access without consent) and PDPP 1321/2024. Tripartite data sharing agreement signed between NIDP, RRS and UNHCR for refugee data. Relying party authorization framework defined. Data minimization principles applied.",id-governance-datasharingrules,23,https://help.unhcr.org/ethiopia/services/documentation/proof-of-registration-and-refugee-id/ | https://www.techhiveadvisory.africa/insights/review-of-ethiopias-data-protection-act,2,OK,,,,,
ETH,Ethiopia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Digital ID Specific Regulation,Whether specific regulation or policy addresses digital ID beyond general identification legislation,2, Yes,2025,"Proclamation 1284/2023 is a dedicated Digital ID-specific law. It specifically establishes the Fayda system, NIDP institution, biometric collection rights, authentication service framework, and data protection obligations for digital identity.",id-governance-digidreg,17,https://id.et/benefits | https://chilot.wordpress.com/wp-content/uploads/2023/02/5d4b8-ethiopian-digital-identification-draft-proclamation-number-2022-english.pdf,2,OK,,,,,
ETH,Ethiopia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Act,Whether national data protection legislation exists and covers personal data linked to the ID system,2, Yes,2025,"Personal Data Protection Proclamation No. 1321/2024 enacted and published in Federal Negarit Gazette on 24 July 2024. Comprehensive law covering consent, data minimization, purpose limitation, breach notification (72 hours), data subject rights, DPIAs, and data localization requirements.",id-governance-dpaexists,18,https://www.techhiveadvisory.africa/insights/review-of-ethiopias-data-protection-act | https://aln.africa/wp-content/uploads/2024/04/Ethiopias-New-Data-Protection-Law-Enhancing-Privacy-and-Security-in-the-Digital-Age-ALN-Mesfin-Tafesse-and-Associates.pdf,2,OK,,,,,
ETH,Ethiopia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Authority Oversight,Whether a Data Protection Authority or similar body regulates ID data collection and sharing by the ID system,2, Yes,2025,"Ethiopian Communications Authority (ECA) designated as the data protection authority under Proclamation 1321/2024. ECA is responsible for registering data controllers/processors, issuing enforcement notices, and imposing fines. Enforcement described as nascent as of 2025 with directives still being finalized.",id-governance-dpaoversight,19,https://kiyalaw.com/legal-update4.html | https://shega.co/news/one-year-on-ethiopia-s-personal-data-protection-law-faces-a-slow-path-to-enforcement | https://digitalpolicyalert.org/change/12102-data-protection-authority-governance-in-personal-data-protection-proclamation-proclamation-no-13212024,3,OK,,,,,
ETH,Ethiopia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Proof Status,Whether the digital ID credential serves as legal proof of an individual's identity as codified in law,2, Yes,2025,Article 16(1) of Digital Identification Proclamation 1284/2023 explicitly states: 'Digital identification is legal and sufficient evidence to authenticate a person's identity.' The Fayda ID is accepted as legal proof across government and private services.,id-governance-legalproof,20,https://id.et/benefits | https://chilot.wordpress.com/wp-content/uploads/2023/02/5d4b8-ethiopian-digital-identification-draft-proclamation-number-2022-english.pdf,2,OK,,,,,
ETH,Ethiopia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Framework,"Whether formal legislation (act, law, regulation) governs digital identity including identification acts, digital ID laws, or equivalent legislation",2, Yes,2025,"Ethiopian Digital Identification Proclamation No. 1284/2023 enacted in March 2023 provides the full legal framework. Establishes NIDP, defines enrollment rights, data protection principles, relying party rules, and criminal penalties for fraud.",id-governance-legframework,16,https://id.et/benefits | https://extranet.who.int/cpcd/health-legislation/ethiopian-digital-identification-proclamation-no-12842023,2,OK,,,,,
