Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
GMB,Gambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Authentication Function,Whether the system enables individuals to authenticate themselves or their documents digitally through electronic verification,1, No,2018,Smart card (contactless polycarbonate) enables on-card and offline authentication since 2018 (Semlex). Online/digital authentication (eKYC/ABIS verification) not yet operational; World Bank diagnostic states 'Absent; no fully operational eKYC/ABIS verification across systems'. Strategy proposes online authentication via identity bus. Card-based offline auth only.,id-functionality-authdigital,36,https://documents1.worldbank.org/curated/en/099102025103014657/pdf/P502279-e8627dee-4568-45e7-bb51-9a1aea1ff040.pdf | https://www.uneca.org/sites/default/files/TCND/Digital%20ID%20Transformation%20Strategy%20_Gambia%20V_9.pdf,2,OK,,,,,
GMB,Gambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Individual Data Access,Whether individuals can view their data held in the ID database and see how it has been accessed,1, No,2025,"Personal Data Protection and Privacy Act 2025 establishes individual rights to access, rectify, erase, and port own data. Controllers required to respond within one month. No operational self-service portal for individuals to view their ID system data confirmed; legal right established under new Act.",id-functionality-dataview,42,https://www.techhiveadvisory.africa/insights/review-of-gambias-personal-data-protection-and-privacy-act-2025 | https://captaincompliance.com/education/gambia-personal-data-protection-and-privacy-act/,2,OK,,,,,
GMB,Gambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,KYC Enablement,"Whether the system enables Know Your Customer (KYC) packet collection for service provision, particularly financial services",1, No,2018,"National ID card used for manual KYC in banking and telecoms under AML/CTF Act 2012. No electronic KYC (eKYC) platform operational; World Bank diagnostic: 'No eKYC; reliance on paper IDs causes frustration, AML issues'. Strategy proposes CKYC and unified eKYC framework. Smile ID third-party verification service supports remote ID document verification commercially.",id-functionality-kycenable,38,https://documents1.worldbank.org/curated/en/099102025103014657/pdf/P502279-e8627dee-4568-45e7-bb51-9a1aea1ff040.pdf | https://usesmileid.com/countries/the-gambia,2,OK,,,,,
GMB,Gambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Judicial Oversight,Whether the ID authority and system are subject to general oversight of the courts and judicial review,1, No,2025,DIDS strategy proposes judicial orders required for security services/police access to ID data. Personal Data Protection Act 2025 includes enforcement by Information Commission with investigative powers; legal pathways for complaints established. No specific court-based ongoing oversight mechanism for national ID system found.,id-governance-courtoversight,22,https://www.uneca.org/sites/default/files/TCND/Digital%20ID%20Transformation%20Strategy%20_Gambia%20V_9.pdf | https://www.techhiveadvisory.africa/insights/review-of-gambias-personal-data-protection-and-privacy-act-2025,2,OK,,,,,
GMB,Gambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,2, Partial integration,2024,"eCRVS (HERA software, 2022/2023) operational with 1.2M records. MOU signed March 2024 between ID and eCRVS systems for NIN harmonization. UAT for eCRVS-eID integration completed April 2025; health insurance cards link CRVS NIN with NHIS. Integration underway but different NIN structures remain a challenge. World Bank WARDIP project (P173287) supporting deployment.",id-governance-crvs,21,https://documents1.worldbank.org/curated/en/099102025103014657/pdf/P502279-e8627dee-4568-45e7-bb51-9a1aea1ff040.pdf | https://www.biometricupdate.com/202208/the-gambia-launches-new-biometric-crvs-and-health-insurance-scheme,2,OK,,,,,
GMB,Gambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Sharing Rules,"Whether procedural rules for collection, storage, and sharing of ID-related personal data are publicly available and established",1, Not available,2025,"Personal Data Protection and Privacy Act 2025 establishes data sharing rules (purpose limitation, data minimisation, adequacy for cross-border transfers). DIDS strategy proposes limited data collection/access with consent, interoperability via open standards. No specific operational ID data sharing framework yet; rules exist in DPA law.",id-governance-datasharingrules,23,https://www.techhiveadvisory.africa/insights/review-of-gambias-personal-data-protection-and-privacy-act-2025 | https://www.uneca.org/sites/default/files/TCND/Digital%20ID%20Transformation%20Strategy%20_Gambia%20V_9.pdf,2,OK,,,,,
GMB,Gambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Act,Whether national data protection legislation exists and covers personal data linked to the ID system,1, No,2025,"Personal Data Protection and Privacy Act enacted in 2025 (approved by National Assembly September 2025, reviewed Dec 2025). First comprehensive data protection legislation. Covers biometric data, data subject rights, breach notification, DPIAs. Ends long-standing gap since only constitutional privacy right existed previously.",id-governance-dpaexists,18,https://www.techhiveadvisory.africa/insights/review-of-gambias-personal-data-protection-and-privacy-act-2025 | https://www.biometricupdate.com/202510/the-gambia-strengthens-digital-trust-with-personal-data-protection-privacy-bill,2,OK,,,,,
GMB,Gambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Authority Oversight,Whether a Data Protection Authority or similar body regulates ID data collection and sharing by the ID system,1, No,2025,"Personal Data Protection and Privacy Act 2025 designates the Information Commission (established under Access to Information Act 2021) as regulatory authority with enforcement powers: investigate complaints, enter/search premises with warrants, impose administrative sanctions and fines, issue enforcement notices. Dual mandate Commission (access to information + data protection).",id-governance-dpaoversight,19,https://www.techhiveadvisory.africa/insights/review-of-gambias-personal-data-protection-and-privacy-act-2025,1,OK,,,,,
GMB,Gambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Proof Status,Whether the digital ID credential serves as legal proof of an individual's identity as codified in law,1, No,2018,"National ID card accepted as legal proof of identity; citizens over 18 legally required to carry it. ID used as breeder document for services (banking, telecoms KYC per AML Act 2012). DIDS strategy proposes formal legal proof status for digital ID for eKYC/financial transactions.",id-governance-legalproof,20,https://documents1.worldbank.org/curated/en/099102025103014657/pdf/P502279-e8627dee-4568-45e7-bb51-9a1aea1ff040.pdf | https://www.uneca.org/sites/default/files/TCND/Digital%20ID%20Transformation%20Strategy%20_Gambia%20V_9.pdf,2,OK,,,,,
GMB,Gambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Framework,"Whether formal legislation (act, law, regulation) governs digital identity including identification acts, digital ID laws, or equivalent legislation",1, No,2025,"National Registration Act covers national ID card issuance. Immigration Act (1965) being updated via draft Immigration Bill (2023). Personal Data Protection and Privacy Act enacted 2025. Strategy recommends comprehensive DIDS law (not yet enacted). World Bank diagnostic identifies gaps: no cyber framework, no cross-border data transfer rules, no digital ID-specific statute.",id-governance-legframework,16,https://documents1.worldbank.org/curated/en/099102025103014657/pdf/P502279-e8627dee-4568-45e7-bb51-9a1aea1ff040.pdf | https://www.techhiveadvisory.africa/insights/review-of-gambias-personal-data-protection-and-privacy-act-2025,2,OK,,,,,
