Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Authentication Function,Whether the system enables individuals to authenticate themselves or their documents digitally through electronic verification,2, Yes,2025,"Digital authentication is a core function: NIN is used as a digital identifier across 45+ institutions. NIDA's new SDIS includes an Automated Biometric Identification System (ABIS) for real-time biometric authentication. The new digital ID supports remote identity verification via fingerprint, iris, or face. SIM registration regulation (2024) mandates biometric verification against NIDA records. Value=2 (Yes).",id-functionality-authdigital,36,https://www.biometricupdate.com/202508/rwanda-national-identification-agency-begins-digital-id-enrollment;https://www.rura.rw/fileadmin/user_upload/RURA/Documents/Sectors/ICT/Regulatory_Instruments/ICT_Regulations_and_Guidelines/Regulation_Governing_SIM_Card_Registration_in_Rwanda.pdf;https://coingeek.com/rwanda-digital-id-advances-with-300000-already-registered/,3,OK,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government Portal Authentication,Whether authentication is possible through a centralized government portal or digital gateway,2, Yes,2025,"Irembo (Rwanda's national e-government portal, launched 2015) requires NIN for access to 90+ government services including national ID applications, civil registration certificates, and judicial services via IECMS. The SDIS integrates Irembo as a core service delivery platform. Value=2 (Yes).",id-functionality-authgovtportal,37,https://publicadministration.desa.un.org/good-practices-for-digital-government/compendium/irembo-rwandan-government-e-service-portal;https://support.irembo.gov.rw/en/support/solutions/articles/47001191847-how-to-apply-for-a-national-id;https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Rwanda_31.10.21.pdf,3,OK,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Individual Data Access,Whether individuals can view their data held in the ID database and see how it has been accessed,1, No,2021,"CIS/RIA Digital ID evaluation (2021) found that neither the ID law nor NIDA law provides rights for data subjects to access, confirm or correct information in the national ID database. Once registered, individuals are not aware of the full content stored. Law No. 058/2021 grants general data subject rights (Art. 20 portability, Art. 19 rectification) but implementation for the ID database is not documented. Value=1 (No formal individual data access mechanism confirmed for the ID database).",id-functionality-dataview,42,https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Rwanda_31.10.21.pdf;https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15,2,OK,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,KYC Enablement,"Whether the system enables Know Your Customer (KYC) packet collection for service provision, particularly financial services",2, Yes,2024,Banks and telecoms sign MoUs with NIDA to access the NID database for KYC. RURA Regulation No. 18/R/SM-ICT/RURA/2024 mandates biometric SIM card registration using NIDA verification. National Bank of Rwanda KYC guidelines require identity verification against government databases. eKYC using NIDA integration is standard practice. Value=2 (Yes).,id-functionality-kycenable,38,https://www.rura.rw/fileadmin/user_upload/RURA/Documents/Sectors/ICT/Regulatory_Instruments/ICT_Regulations_and_Guidelines/Regulation_Governing_SIM_Card_Registration_in_Rwanda.pdf;https://www.aiprise.com/blog/kyc-aml-identity-verification-rwanda;https://uqudo.com/blog/kyc-in-rwanda-what-you-need-to-know-while-verifying-users/,3,OK,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Judicial Oversight,Whether the ID authority and system are subject to general oversight of the courts and judicial review,2," Yes, but not specific to ID",2021,"Rwanda's general court system provides recourse for ID-related grievances through administrative review before NIDA and subsequently administrative courts. The Integrated Electronic Case Management System (IECMS) for judiciary requires NIN authentication. Law No. 058/2021 grants data subjects appeal rights to the supervisory authority (NCSA). However, no ID-specific judicial oversight mechanism exists. Value=2 (Yes but not ID-specific).",id-governance-courtoversight,22,https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Rwanda_31.10.21.pdf;https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15,2,OK,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,3, Full integration,2020,"The NCI-CRVS system (launched Aug 2020) assigns a unique NIN at birth and integrates directly and in real-time with the National Population Registry. Over 600 health facilities, 2,148 cells and 416 sector offices offer real-time birth/death registration linked to NIDA's NPR. Birth registration completeness reached 92.9% in 2022. Value=3 (Full integration).",id-governance-crvs,21,https://www.biometricupdate.com/202102/rwandas-new-digital-id-birth-registration-system-brings-services-closer-to-citizens;https://unstats.un.org/legal-identity-agenda/documents/Paper/2023/CRVSID-Rwanda.pdf;https://dhis2.org/rwanda-crvs-eir-integration/,3,OK,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Sharing Rules,"Whether procedural rules for collection, storage, and sharing of ID-related personal data are publicly available and established",2, Partially available,2025,"Cabinet approved the National Data Sharing Policy (May 2025) establishing a secure framework for inter-agency data exchange compliant with Law No. 058/2021. NIDA uses MoUs with 45+ institutions for database access. However, formal rules governing private-sector data sharing remain partial—MoUs are not enshrined in binding legislation. Value=2 (Partially available).",id-governance-datasharingrules,23,https://www.risa.gov.rw/news-detail/national-data-sharing-policy-approved;https://iapp.org/news/a/rwanda-charts-a-new-course-for-government-data-sharing;https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Rwanda_31.10.21.pdf,3,OK,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Digital ID Specific Regulation,Whether specific regulation or policy addresses digital ID beyond general identification legislation,2, Yes,2023,Law No. 029/2023 of 14/06/2023 specifically governs population registration in the National Single Digital Identity System (SDIS). Ministerial Order N° 001/MINICT/24 of 22/01/2024 relates to the Single Digital Identity Coordination Council. Value=2 (Yes).,id-governance-digidreg,17,https://citizenshiprightsafrica.org/rwanda-law-n-029-2023-of-14-06-2023-governing-population-registration-in-the-national-single-digital-identity-system/;https://coingeek.com/rwanda-digital-id-advances-with-300000-already-registered/,2,OK,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Act,Whether national data protection legislation exists and covers personal data linked to the ID system,2, Yes,2021,Law No. 058/2021 of 13/10/2021 relating to the Protection of Personal Data and Privacy entered into force on 15 October 2021. The National Cyber Security Authority (NCSA) is the designated supervisory authority. Value=2 (Yes).,id-governance-dpaexists,18,https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15;https://www.minict.gov.rw/news-detail/rwanda-passes-new-law-protecting-personal-data;https://www.dlapiperdataprotection.com/index.html?t=about&c=RW,3,OK,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Authority Oversight,Whether a Data Protection Authority or similar body regulates ID data collection and sharing by the ID system,2, Yes,2021,"Law No. 058/2021 designates the National Cyber Security Authority (NCSA) as the supervisory authority with powers to oversee implementation, issue registration certificates to data controllers/processors, and impose administrative sanctions. Value=2 (Yes).",id-governance-dpaoversight,19,https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15;https://www.minict.gov.rw/news-detail/rwanda-passes-new-law-protecting-personal-data,2,OK,,,,,
