Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
TZA,Tanzania,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Authentication Function,Whether the system enables individuals to authenticate themselves or their documents digitally through electronic verification,2, Yes,2024,"NIDA provides digital authentication via the Common Interface Gateway (CIG) and APIs: fingerprint/PIN matching against the central database, NFC contactless smartcard authentication, PKI for online services, and USSD-based NIN retrieval. Financial institutions, telecoms, and government agencies use NIDA APIs for real-time biometric eKYC.",id-functionality-authdigital,36,https://www.id4africa.com/2018_event/Presentations/PS2/1-2-2_Tanzania_Alphonce_Malibiche.pdf;https://youverify.co/blog/how-tanzanias-nin-powers-safer-digital-onboarding;https://blog.voveid.com/kyc-compliance-in-tanzania-2025-overview/,3,OK,,,,,
TZA,Tanzania,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government Portal Authentication,Whether authentication is possible through a centralized government portal or digital gateway,2, Yes,2024,"The NIDA National ID (NIN) is required to access e-government platforms, including BRELA Online Registration System (business registration), RITA e-Huduma (civil registration), e-government portals, and the Tanzania e-Passport application. The NIN enables access to government digital services including social protection programs (TASAF) and health insurance (NHIF).",id-functionality-authgovtportal,37,https://youverify.co/blog/how-tanzanias-nin-powers-safer-digital-onboarding;https://www.linkedin.com/pulse/tanzanias-digital-id-rollout-gateway-inclusion-investment-desai-prrwf;https://e-governancehub.ru/wp-content/uploads/2026/01/E-Government-in-Tanzania-2026.pdf,3,OK,,,,,
TZA,Tanzania,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Individual Data Access,Whether individuals can view their data held in the ID database and see how it has been accessed,2, Yes,2024,"Individuals can access their NIN and ID data via NIDA Online Portal (services.nida.go.tz), USSD (*152*00# via Vodacom/Airtel), or NIDA offices. The portal allows citizens to retrieve their NIN, view ID details, and generate payment control numbers. The PDPA 2022 also grants data subjects rights to access, correct, and request erasure of personal data.",id-functionality-dataview,42,https://services.nida.go.tz;https://www.expresstz.com/2019/11/nidapublic-notice-for-all-nida.html;https://www.dlapiperdataprotection.com/?t=law&c=TZ,3,OK,,,,,
TZA,Tanzania,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,KYC Enablement,"Whether the system enables Know Your Customer (KYC) packet collection for service provision, particularly financial services",2, Yes,2025,"NIDA NIN and biometric database are used for eKYC across banking, financial services, and telecoms. The Bank of Tanzania and AMLA require NIN-based KYC for account opening. NIDA integrates with 124+ institutions via CIG/APIs. KYC platforms (VOVE ID, Youverify, uqudo) use NIDA integration for real-time identity verification.",id-functionality-kycenable,38,https://blog.voveid.com/kyc-compliance-in-tanzania-2025-overview/;https://youverify.co/blog/how-tanzanias-nin-powers-safer-digital-onboarding;https://uqudo.com/tanzania-kyc-aml-services/,3,OK,,,,,
TZA,Tanzania,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,2, Partial integration,2024,"NIDA is partially integrated with civil registration. NIDA is fully integrated with Zanzibar's civil registry. On Tanzania mainland, RITA (Registration, Insolvency and Trusteeship Agency) has been digitizing and integrating with NIDA; the 2024 National Financial Inclusion Report and ID4Africa 2025 note ongoing NIDA-RITA integration. However, NIDA-RITA interoperability was still described as partial/in-progress with only 2 of 17 envisaged integrations complete as of recent assessments.",id-governance-crvs,21,https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Tanzania_31.10.21.pdf;https://e-governancehub.ru/wp-content/uploads/2026/01/E-Government-in-Tanzania-2026.pdf;https://www.biometricupdate.com/202506/tanzania-launching-infant-biometric-registration-pilot-with-unicef-support,3,OK,,,,,
TZA,Tanzania,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Sharing Rules,"Whether procedural rules for collection, storage, and sharing of ID-related personal data are publicly available and established",2, Partially available,2024,"NIDA shares data via Data Sharing Agreements (DSAs) with public and private entities (45 signed, 22 pending by 2021; expanded to 124+ institutions by 2025). Fees charged per query. The PDPA 2022 (in force 2023) partially regulates data sharing. However, DSA terms are not publicly disclosed and no requirement for individual consent or notification. Rules exist but are only partially publicly available.",id-governance-datasharingrules,23,https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Tanzania_31.10.21.pdf;https://www.biometricupdate.com/202506/tanzania-launching-infant-biometric-registration-pilot-with-unicef-support;https://www.dlapiperdataprotection.com/?t=law&c=TZ,3,OK,,,,,
TZA,Tanzania,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Digital ID Specific Regulation,Whether specific regulation or policy addresses digital ID beyond general identification legislation,2, Yes,2022,Tanzania has specific digital ID legislation: RIPA No. 11 of 1986 and its 2014 Regulations explicitly govern the NIDA national digital ID system. The 2023 Biometrics update and 2025 plans to enact the Infant Registration Bill further confirm specific digital ID regulatory framework. The Electronic Transactions Act (Cap. 442) and 2025 Digital Certification Services Regulations also apply.,id-governance-digidreg,17,https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Tanzania_31.10.21.pdf;https://www.biometricupdate.com/202307/tanzanian-govt-underlines-importance-of-new-digital-id-system-in-the-offing,2,OK,,,,,
TZA,Tanzania,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Act,Whether national data protection legislation exists and covers personal data linked to the ID system,2, Yes,2022,"The Personal Data Protection Act No. 11 of 2022 was passed by Tanzania's National Assembly on 27 November 2022 and came into force on 1 May 2023. It establishes the Personal Data Protection Commission and regulates collection, processing and sharing of personal data.",id-governance-dpaexists,18,https://www.dlapiperdataprotection.com/?t=law&c=TZ;https://www.clydeco.com/en/insights/2023/02/tanzania-personal-data-protection-act-of-2022;https://legalblogs.wolterskluwer.com/arbitration-blog/the-tanzanian-personal-data-protection-act-pdpa-and-its-applicability-in-arbitration-proceedings/,3,OK,,,,,
TZA,Tanzania,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Authority Oversight,Whether a Data Protection Authority or similar body regulates ID data collection and sharing by the ID system,2, Yes,2023,"The Personal Data Protection Act 2022 (in force May 2023) established the Personal Data Protection Commission as the supervisory authority responsible for enforcement and compliance, including registration of data controllers and processors. Final registration deadline for entities was 30 April 2025.",id-governance-dpaoversight,19,https://www.dlapiperdataprotection.com/?t=law&c=TZ;https://legalblogs.wolterskluwer.com/arbitration-blog/the-tanzanian-personal-data-protection-act-pdpa-and-its-applicability-in-arbitration-proceedings/,2,OK,,,,,
TZA,Tanzania,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Proof Status,Whether the digital ID credential serves as legal proof of an individual's identity as codified in law,2, Yes,2021,"The NIDA National ID card serves as the primary legal proof of identity in Tanzania and is required for passports, SIM registration, bank account opening, government employment, TIN, and other services. Under RIPA and 2014 Regulations, it is the authoritative identity document. NIDA was designated the sole data controller under the 2019/2021 Written Laws Amendments.",id-governance-legalproof,20,https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Tanzania_31.10.21.pdf;https://youverify.co/blog/how-tanzanias-nin-powers-safer-digital-onboarding,2,OK,,,,,
