Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
MWI,Malawi,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Revenue Collection,"Whether government taxes, customs duties, and other revenue can be paid using the instant digital payment system, indicating integration of payment infrastructure with tax administration systems.",3,Yes,2022,"Mobile money operators and NatSwitch generate revenue from the digital payment system. NatSwitch operates on a cost-recovery/not-for-loss basis with joining fees, annual membership fees, and interchange fees on all transactions. Airtel Money and TNM Mpamba generate revenue from transaction fees, float income, and value-added services. GSMA data shows average revenue per mobile money user in Sub-Saharan Africa was $3.51 in 2024, with ~80% of providers operating EBITDA-positive. The RBM Q3 2024 NPS report shows K10.4 trillion in mobile money transaction value, indicating significant commercial activity. Revenue-generating capacity of the payment system is well established.",pay-functionality-revenue,40,https://www.africanenda.org/uploads/files/SIIPS2023_CaseStudy_Malawi.pdf;https://times.mw/national-payment-system-registers-growth-in-2024-quarter-3/;https://times.mw/mobile-money-deals-hit-k19-5tn-in-2024/,3,OK,,,,,
MWI,Malawi,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax Portal,Whether an official government web portal or mobile application exists where taxpayers can file tax returns and pay taxes online with direct e-payment capability linked to instant payment system.,4,Yes,2021,"The Malawi Revenue Authority (MRA) operates Msonkho Online (also called ITAS - Integrated Tax Administration System), a fully live digital tax portal allowing taxpayers to register, file tax returns (PAYE, VAT, excise, income tax), make payments, and manage tax compliance. The EIS (Electronic Invoicing System) was introduced in 2026 as an additional e-invoicing compliance layer. The MRA portal has an EIS Portal (eis-portal.mra.mw) for taxpayer services. Msonkho Online won the 2025 ICTAM award. The front-end modules (registration, filing, payment, objections) are fully operational, though back-end audit modules were still being completed as of 2023.",pay-functionality-taxportal,41,https://www.mra.mw/msonkhoonline;https://msonkho-online.mra.mw;https://eis-portal.mra.mw;https://mwnation.com/mra-upbeat-on-digital-tax-system/,4,OK,,,,,
MWI,Malawi,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business-to-Business (B2B) Payments,"Whether the instant payment system supports business payments to suppliers, vendors, contractors, and other businesses for commercial transactions, procurement, and supply chain payments.",2,Yes,2022,"Business-to-business (B2B) payments are supported in Malawi. MITASS processes large-value interbank and business payments (accounting for 73.3% of total transaction value in Q3 2024). NatSwitch supports B2B payments via real-time EFT (since 2022) and internet banking (298,750 subscribers as of Q3 2024). The AfricaNenda SIIPS 2023 report and PaymentComponents confirm NatSwitch supports B2B use cases. NatSwitch is also planning to develop an e-commerce service to further facilitate B2B payments.",pay-functionality-usecaseb2b,34,https://www.paymentcomponents.com/all-about-payments-in-africa/;https://www.africanenda.org/uploads/files/SIIPS2023_CaseStudy_Malawi.pdf;https://times.mw/national-payment-system-registers-growth-in-2024-quarter-3/,3,OK,,,,,
MWI,Malawi,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Business (P2B) Merchant Payments,"Whether the system enables consumer payments to merchants and businesses for goods and services, including retail purchases, bill payments, e-commerce, and subscription services.",2,Yes,2016,"Person-to-business (P2B) payments are operational in Malawi. Mobile money supports bill payments (utilities 24%, goods and services 15% per FinScope 2023). NatSwitch facilitates P2B payments via POS (live since 2016) and real-time EFT (2022). Business Licensing Regulations (2019) mandate that licensed businesses must offer at least one electronic payment channel. PayChangu (2021) offers merchant APIs. The AfricaNenda SIIPS report and PaymentComponents confirm NatSwitch supports P2B use cases. USSD-based merchant payments are common.",pay-functionality-usecasep2b,31,https://finmark.org.za/Publications/2023_FinScope_Consumer_Survey_Malawi_2023_Presentation.pdf;https://www.paymentcomponents.com/all-about-payments-in-africa/;https://www.africanenda.org/uploads/files/SIIPS2023_CaseStudy_Malawi.pdf,3,OK,,,,,
MWI,Malawi,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Government (P2G) Payments,"Whether the system enables citizen payments to government for taxes, fees, licenses, fines, utility bills, and other government service charges.",3,Yes - Active Use,2019,"Person-to-government (P2G) payments are in active use in Malawi. The Malawi Revenue Authority (MRA) operates Msonkho Online (its Integrated Tax Administration System / ITAS), which allows taxpayers to register, file returns, and pay taxes online. The MRA EIS Portal is a live taxpayer portal. Utility and government service payments via mobile money are active (FinScope 2023 shows 24% of mobile money users pay utilities). Business Licensing Regulations (2019) mandated businesses to accept electronic payments including for government fee payments. NatSwitch also plans an e-gateway for P2G payments.",pay-functionality-usecasep2g,33,https://www.mra.mw/msonkhoonline;https://msonkho-online.mra.mw;https://eis-portal.mra.mw;https://www.africanenda.org/uploads/files/SIIPS2023_CaseStudy_Malawi.pdf,4,OK,,,,,
MWI,Malawi,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Person (P2P) Payments,"Whether the instant payment system supports direct person-to-person transfer of funds between individuals for informal transactions, remittances, and interpersonal value transfers.",2,Yes,2015,"Person-to-person (P2P) payments are well established and widely used in Malawi. Both Airtel Money and TNM Mpamba support P2P transfers and have done so since 2012. NatSwitch enables interoperable P2P transfers between different networks (live for ATM 2015, then EFT in 2022). The RBM has actively promoted P2P by scrapping or reducing inter-network transfer fees. FinScope 2023 shows 'send and receive money' (89%) and 'to send money to someone else's account' (59%) are the top mobile money use cases.",pay-functionality-usecasep2p,30,https://finmark.org.za/Publications/2023_FinScope_Consumer_Survey_Malawi_2023_Presentation.pdf;https://radioislam.org.mw/mobile-operators-scrap-airtel-money-tnm-mpamba-charges/;https://www.africanenda.org/uploads/files/SIIPS2023_CaseStudy_Malawi.pdf,3,OK,,,,,
MWI,Malawi,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Central Bank Involvement in Governance,"Whether and how the central bank participates in payment system governance beyond its regulatory oversight role, including board representation, operational management, technical standard-setting, or direct system operation.",5,Direct Operation,2016,"The Reserve Bank of Malawi (RBM) directly operates MITASS (the Malawi Interbank Transfer and Settlement System) — the largest payment system in the country — and acts as the sole settlement agent for all interbank payments. Under the Payment Systems Act No. 15 of 2016, the RBM holds full regulatory and oversight authority over all payment, clearing and settlement systems. The RBM also directly participated in establishing NatSwitch (with World Bank FSTAP funding) and mandated all PSPs to connect to it via the 2017 Interoperability Directive. The RBM's 2024 Annual Report confirms it operates MITASS and the Automated Clearing House. This constitutes direct operation of core payment infrastructure.",pay-governance-cbgovernance,13,https://malawilii.org/akn/mw/act/2016/15/eng@2017-12-31;https://www.scribd.com/document/892367301/RBM-Financial-Statement-31-December-2024;https://www.bis.org/cpss/paysys/Malawi.pdf,3,OK,,,,,
MWI,Malawi,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Consumer Protection Framework for Payments,"Whether consumer protection legislation or regulations specifically address digital payment services, covering disclosure requirements, liability allocation for unauthorized transactions, error resolution procedures, and user rights.",2,Partial,2024,"Consumer protection in digital payments is partial in Malawi. The Competition and Fair Trading Commission (CFTC) has a mandate on consumer protection including for mobile money services. The Electronic Transactions and Cybersecurity Act (2016) includes consumer rights provisions for e-commerce transactions (cooling-off periods, cancellation rights). The RBM issued a draft Financial Consumer Protection Bill in 2024 to strengthen the legal framework, but this was still in draft form as of mid-2024. The RBM's Mobile Payment System Guidelines (2011/2014) include basic consumer protection requirements. A dedicated comprehensive Financial Consumer Protection law has not yet been enacted, making this partial.",pay-governance-consumerprotectlaw,18,https://www.facebook.com/reservebankofmalawi/posts/-draft-financial-consumer-protection-bill-2024the-reserve-bank-of-malawi-is-plea/423538710463443/;https://malawilii.org/akn/mw/act/2016/33/eng@2017-12-31;https://www.findevgateway.org/sites/default/files/publications/files/the_regulation_of_mobile_money_in_malawi.pdf,3,OK,,,,,
MWI,Malawi,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Breach Notification Requirements,"Whether legal or regulatory requirements obligate payment service providers to notify users, regulators, and/or data protection authorities about payment data breaches, cybersecurity incidents, or unauthorized access within specified timeframes.",3,Mandatory,2024,"Data breach notification is mandatory in Malawi under the Data Protection Act No. 3 of 2024 (effective June 3, 2024). Section 33 requires data processors to notify their engaging entity within 72 hours of a breach, and data controllers must notify MACRA within 72 hours if the breach is likely to risk rights and freedoms of individuals. MACRA issued draft Guidelines on Data Breach Notifications to clarify the scope, timing, and content of required notifications. This constitutes a mandatory notification regime.",pay-governance-databreachnotif,17,https://itlawco.com/focus-areas/data-protection-and-privacy/malawis-data-protection-act-2024-an-overview/;https://digmap.pppc.mw/wp-content/uploads/2023/01/Malawi-Guideline-on-data-breach-notifications-draft-220905.docx,2,OK,,,,,
MWI,Malawi,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Privacy Legislation Coverage,"Whether national data protection or privacy legislation exists and explicitly covers payment transaction data, including provisions on data collection, storage, sharing, retention, and user rights over their payment data.",3,Specific Payment Data Provisions,2024,"Malawi has specific payment data provisions under multiple laws. The Data Protection Act No. 3 of 2024 (effective June 3, 2024) provides a comprehensive framework for personal data protection including financial data, mandatory breach notification, data subject rights, and MACRA as the enforcement authority. Earlier, the Electronic Transactions and Cybersecurity Act No. 33 of 2016 included basic data protection provisions for electronic transactions. The Payment Systems Act (2016) and Mobile Payment System Guidelines also contain data security requirements. The 2024 DPA specifically applies to payment data processed by mobile money operators and banks.",pay-governance-dataprivacylaw,16,https://www.dpa.mw/download/data-protection-act-2024/;https://www.linkedin.com/pulse/cybersecurity-data-protection-law-malawi-faith-colleite-singini-ktb5f;https://itlawco.com/focus-areas/data-protection-and-privacy/malawis-data-protection-act-2024-an-overview/,3,OK,,,,,
