Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
NGA,Nigeria,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Judicial Oversight,Whether the ID authority and system are subject to general oversight of the courts and judicial review,2," Yes, but not specific to ID",2023,"Judicial oversight exists but is not ID-specific. Section 37 of the Nigerian Constitution guarantees the right to privacy. The NDPA 2023 provides individuals a private right of action in court for data protection violations, and courts have ruled on data privacy cases (e.g., Miss Folashade Molehin v UBA). The NIMC Act 2007 provides offence provisions enforceable by courts. However, there is no dedicated judicial mechanism or tribunal specifically for digital ID disputes - oversight flows through general civil/constitutional courts.",id-governance-courtoversight,22,https://lexluminar.com/resolving-data-protection-disputes-understanding-the-legal-framework/;https://fpf.org/blog/nigerias-new-data-protection-act-explained/;https://nimc.gov.ng/e-id-card,3,OK,,,,,,,,,
NGA,Nigeria,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Sharing Rules,"Whether procedural rules for collection, storage, and sharing of ID-related personal data are publicly available and established",2, Partially available,2023,"Partial data sharing rules exist. The NDPA 2023 provides a framework for data processing, cross-border transfers, and third-party sharing, requiring lawful basis and consent where applicable. The NIMC Act and NIN Regulations govern access to the NIDB by authorised verification agents and front-end partners. The NINAuth platform (2025) requires explicit user consent before sharing data for KYC. However, critics and civil society have noted gaps in enforcement and instances of unauthorised data commercialisation, and harmonisation rules across agencies remain incomplete.",id-governance-datasharingrules,23,https://cookie-script.com/privacy-laws/nigeria-data-protection-act-2023;https://www.biometricupdate.com/202505/nigeria-unveils-platform-to-streamline-national-id-authentication-verification;https://www.nigeriacommunicationsweek.com.ng/nin-world-bank-disburses-4-5m-for-nigerias-id4d-project/,3,OK,,,,,,,,,
NGA,Nigeria,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Digital ID Specific Regulation,Whether specific regulation or policy addresses digital ID beyond general identification legislation,2, Yes,2017,Nigeria has digital ID-specific regulation. The NIMC Act No. 23 of 2007 is specifically focused on national identity management and the NIN system. The Mandatory Use of the National Identification Number Regulations (2017) is a dedicated instrument governing NIN use across sectors. The NCC Revised National Identity Policy for SIM Card Registration is a sector-specific digital ID regulation. A bill to repeal and re-enact the NIMC Act with updated digital ID provisions passed second reading in the Senate in 2024.,id-governance-digidreg,17,https://nimc.gov.ng;https://www.ncc.gov.ng/sites/default/files/2024-11/Documents/Legal-Revised_National_Identity%20Policy_SIM_Registration.pdf;https://www.biometricupdate.com/202407/nigeria-undertakes-reforms-to-strengthen-national-digital-id-legal-framework,3,OK,,,,,,,,,
NGA,Nigeria,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Act,Whether national data protection legislation exists and covers personal data linked to the ID system,2, Yes,2023,"Nigeria enacted the Nigeria Data Protection Act (NDPA) on 12 June 2023, replacing the Nigerian Data Protection Regulation (NDPR) 2019. The NDPA is a comprehensive statutory data protection law establishing data subject rights, obligations for data controllers/processors, mandatory DPIAs, breach notification (72-hour rule), and cross-border transfer rules. It applies to all entities processing personal data of Nigerians including the NIN system.",id-governance-dpaexists,18,https://cookie-script.com/privacy-laws/nigeria-data-protection-act-2023;https://secureprivacy.ai/blog/nigeria-data-protection-law;https://fpf.org/blog/nigerias-new-data-protection-act-explained/,3,OK,,,,,,,,,
NGA,Nigeria,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Authority Oversight,Whether a Data Protection Authority or similar body regulates ID data collection and sharing by the ID system,2, Yes,2023,"The Nigeria Data Protection Commission (NDPC) was established under the NDPA 2023 as an independent supervisory and enforcement authority for data protection. The NDPC has powers to investigate complaints, conduct audits, issue compliance orders, impose fines (up to 2% of annual gross revenue), suspend processing activities, and approve cross-border transfer mechanisms. It oversees all data controllers including NIMC.",id-governance-dpaoversight,19,https://secureprivacy.ai/blog/nigeria-data-protection-law;https://www.dlapiperdataprotection.com/index.html?t=law&c=NG;https://cookie-script.com/privacy-laws/nigeria-data-protection-act-2023,3,OK,,,,,,,,,
NGA,Nigeria,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Proof Status,Whether the digital ID credential serves as legal proof of an individual's identity as codified in law,2, Yes,2017,"The NIN serves as legal proof of identity in Nigeria. The NIMC Act 2007 and the Mandatory Use of the NIN Regulations (2017) make it the foundational legal identity document for a broad range of transactions including passport applications, bank account opening, voter registration, court filings, and property transactions. The NIN card/slip is accepted as the primary legal identifier by government agencies, courts, banks, and the Corporate Affairs Commission.",id-governance-legalproof,20,https://infusionlawyers.com/2023/03/20/regulatory-update-mandatory-use-of-national-identification-number-nin-for-applications-to-the-cac-in-nigeria/;https://nimc.gov.ng;https://www.ecoi.net/en/document/2134061.html,3,OK,,,,,,,,,
NGA,Nigeria,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Framework,"Whether formal legislation (act, law, regulation) governs digital identity including identification acts, digital ID laws, or equivalent legislation",2, Yes,2023,Nigeria has a comprehensive legal framework for digital ID. The NIMC Act No. 23 of 2007 established the National Identity Management Commission and mandated universal NIN enrollment. The Mandatory Use of the National Identification Number Regulations (2017) extended NIN use to 26+ categories of transactions. The Nigeria Data Protection Act (NDPA) 2023 provides data protection law. Amendments to the NIMC Act are under review in the National Assembly to further strengthen the framework.,id-governance-legframework,16,https://nimc.gov.ng/e-id-card;https://infusionlawyers.com/2023/03/20/regulatory-update-mandatory-use-of-national-identification-number-nin-for-applications-to-the-cac-in-nigeria/;https://www.biometricupdate.com/202407/nigeria-undertakes-reforms-to-strengthen-national-digital-id-legal-framework,3,OK,,,,,,,,,
NGA,Nigeria,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Enrollment Eligibility Age,Age in years at which an individual becomes eligible to register for digital ID,5,<1,2007,"NIN enrollment is open from birth (age 0) for all citizens and legal residents. The NIMC website states: 'All citizens and legal residents in Nigeria, from age zero (birth) and above are eligible to enrol for their NINs.' Minors must be accompanied by a parent/guardian who provides their own NIN. Children under 16 receive NIN but not the physical e-ID card until age 16. Newborns can be enrolled for NIN as part of birth registration integration efforts.",id-uptake-enrolleligible,28,https://nimc.gov.ng;https://www.ecoi.net/en/document/2134061.html;https://thejournalnigeria.com/no-nin-no-2026-ssce-for-students-warns-nimc/,3,OK,,,,,,,,,
NGA,Nigeria,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Enrollment Mandatory Status,"Whether registration for digital ID is mandatory, optional, or mandatory for specific groups",3, Mandatory for all,2017,"Enrollment is mandatory for all citizens and legal residents. The NIMC Act 2007 Section 30(1)(a) makes failure to register a criminal offence (fine or imprisonment). The Mandatory Use of NIN Regulations (2017) extended mandatory NIN use to 26+ categories of transactions. NIN is now required for SIM registration (mandatory since 2020/2022), passport, bank accounts, JAMB/WAEC exams, social services, and more. The new NIMC Bill under review proposes decriminalising non-registration but maintaining mandatory use.",id-uptake-enrollmandatory,29,https://nimc.gov.ng/e-id-card;https://infusionlawyers.com/2023/03/20/regulatory-update-mandatory-use-of-national-identification-number-nin-for-applications-to-the-cac-in-nigeria/;https://explore.st-aug.edu/exp/nigeria-nin-the-mandatory-foundation-of-a-digital-nation,3,OK,,,,,,,,,
NGA,Nigeria,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Healthcare Access Use,Whether credential is accepted or mandatory for accessing public healthcare services,2, Accepted but not mandatory,2020,"NIN is accepted for healthcare but not universally mandatory. NIN is required for registration with the National Health Insurance Authority (NHIA, formerly NHIS) and for accessing its schemes. The digital ID design research map confirms that 'individuals are required to state their NIN during transactions related to health insurance schemes and use of health or medical services.' The 2017 Mandatory Use Regulations list licensing for and use of health or medical services as a NIN use case. However, emergency healthcare access without NIN is not universally blocked.",id-uptake-healthuse,49,https://digitalid.design/research-maps/nigeria.html;https://infusionlawyers.com/2023/03/20/regulatory-update-mandatory-use-of-national-identification-number-nin-for-applications-to-the-cac-in-nigeria/;https://id4africa.com/2024/ps1/PS1-3-Nigeria-Final.pdf,3,OK,,,,,,,,,
