chapter,country,rows,file
Data Exchange,AGO,1,Data-Exchange__AGO.csv
Data Exchange,BDI,10,Data-Exchange__BDI.csv
Data Exchange,BEN,1,Data-Exchange__BEN.csv
Data Exchange,CIV,1,Data-Exchange__CIV.csv
Data Exchange,CMR,4,Data-Exchange__CMR.csv
Data Exchange,COD,2,Data-Exchange__COD.csv
Data Exchange,COG,9,Data-Exchange__COG.csv
Data Exchange,COM,1,Data-Exchange__COM.csv
Data Exchange,CPV,7,Data-Exchange__CPV.csv
Data Exchange,DJI,9,Data-Exchange__DJI.csv
Data Exchange,GAB,2,Data-Exchange__GAB.csv
Data Exchange,GNB,6,Data-Exchange__GNB.csv
Data Exchange,LBY,3,Data-Exchange__LBY.csv
Data Exchange,MAR,2,Data-Exchange__MAR.csv
Data Exchange,MDG,5,Data-Exchange__MDG.csv
Data Exchange,MRT,1,Data-Exchange__MRT.csv
Data Exchange,MWI,1,Data-Exchange__MWI.csv
Data Exchange,NAM,1,Data-Exchange__NAM.csv
Data Exchange,NER,2,Data-Exchange__NER.csv
Data Exchange,SDN,3,Data-Exchange__SDN.csv
Data Exchange,SEN,2,Data-Exchange__SEN.csv
Data Exchange,SOM,2,Data-Exchange__SOM.csv
Data Exchange,SSD,1,Data-Exchange__SSD.csv
Data Exchange,STP,1,Data-Exchange__STP.csv
Data Exchange,SWZ,1,Data-Exchange__SWZ.csv
Data Exchange,TCD,5,Data-Exchange__TCD.csv
Data Exchange,TZA,8,Data-Exchange__TZA.csv
Data Exchange,UGA,1,Data-Exchange__UGA.csv
Data Exchange,ZAF,1,Data-Exchange__ZAF.csv
Data Exchange,ZMB,1,Data-Exchange__ZMB.csv
Digital Id,AGO,4,Digital-Id__AGO.csv
Digital Id,BDI,4,Digital-Id__BDI.csv
Digital Id,BEN,15,Digital-Id__BEN.csv
Digital Id,BFA,1,Digital-Id__BFA.csv
Digital Id,BWA,16,Digital-Id__BWA.csv
Digital Id,CAF,11,Digital-Id__CAF.csv
Digital Id,COD,6,Digital-Id__COD.csv
Digital Id,COG,17,Digital-Id__COG.csv
Digital Id,COM,7,Digital-Id__COM.csv
Digital Id,DJI,11,Digital-Id__DJI.csv
Digital Id,DZA,10,Digital-Id__DZA.csv
Digital Id,ERI,12,Digital-Id__ERI.csv
Digital Id,GAB,5,Digital-Id__GAB.csv
Digital Id,GIN,25,Digital-Id__GIN.csv
Digital Id,GMB,10,Digital-Id__GMB.csv
Digital Id,GNB,12,Digital-Id__GNB.csv
Digital Id,GNQ,12,Digital-Id__GNQ.csv
Digital Id,KEN,20,Digital-Id__KEN.csv
Digital Id,LBY,16,Digital-Id__LBY.csv
Digital Id,LSO,24,Digital-Id__LSO.csv
Digital Id,MAR,25,Digital-Id__MAR.csv
Digital Id,MDG,2,Digital-Id__MDG.csv
Digital Id,MLI,22,Digital-Id__MLI.csv
Digital Id,MOZ,22,Digital-Id__MOZ.csv
Digital Id,MRT,24,Digital-Id__MRT.csv
Digital Id,MUS,9,Digital-Id__MUS.csv
Digital Id,MWI,16,Digital-Id__MWI.csv
Digital Id,NAM,9,Digital-Id__NAM.csv
Digital Id,NER,5,Digital-Id__NER.csv
Digital Id,NGA,12,Digital-Id__NGA.csv
Digital Id,RWA,14,Digital-Id__RWA.csv
Digital Id,SDN,23,Digital-Id__SDN.csv
Digital Id,SEN,12,Digital-Id__SEN.csv
Digital Id,SLE,17,Digital-Id__SLE.csv
