Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,4G/LTE Population Coverage,"Percentage of the national population covered by at least one 4G/LTE mobile network signal, whether or not they subscribe to the service. 4G is the practical minimum for meaningful broadband connectivity enabling digital services.",5,90%+,,,ict-connectivity-4gcoverage,9,,0,High,claim_no_source;no_year,"Scored >0 but NO source cited — unsupported claim, verify first. No data year recorded — provenance/recency unknown.",,"https://indicators.govmu.org/ictindicators/?p=697; https://www.cto.int/member-countries-1/mauritius","Confirmed. Statistics Mauritius/ICT Authority (via CTO country profile and Mauritius Digital Promotion Agency ICT indicators) report population covered by at least 4G/LTE at 99% for 2023, consistent for several prior years. This clears the 90%+ threshold for Value Code 5. Original row lacked a source; this fills that gap with an authoritative national source."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Data Affordability,"Affordability of mobile broadband data, measured as the cost of a basic mobile data plan (1-2GB) as a percentage of GNI per capita. The UN Broadband Commission target is below 2% of monthly GNI per capita. Affordability is the single largest barrier to internet adoption in Africa.",5,Meets UN target (<1%),,,ict-connectivity-dataafford,11,,0,High,claim_no_source;no_year,"Scored >0 but NO source cited — unsupported claim, verify first. No data year recorded — provenance/recency unknown.",4,"https://www.maurice-info.mu/wp-content/uploads/2023/07/ICT_Yr22_120723.pdf; https://www.itu.int/en/ITU-D/Statistics/Documents/publications/misr2016/IPB2017_E.pdf","No source cited originally. Statistics Mauritius reports the FTTH internet access tariff (20hrs/month) at 1.8% of GNI per capita (2022, down from 2.2% in 2021), and the mobile-cellular voice basket at 0.7% of GNI per capita — historically the cheapest mobile-cellular basket in Africa (ITU, 2016: 0.61%). Could not locate the exact ITU data-only mobile-broadband (1-2GB) basket figure for Mauritius specifically, so the precise sub-1% claim is unconfirmed. Based on adjacent, closely-related price baskets, downgraded to Value Code 4 (Affordable, 1-2%) rather than 5; recommend human follow-up to source the exact ITU mobile-broadband basket % for confirmation."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,International Internet Bandwidth,"The country's total international internet bandwidth capacity per internet user, indicating the quality and capacity of the country's connection to the global internet. Determined by submarine cable landings (for coastal states), cross-border terrestrial fibre (for landlocked states), and satellite links.",5,Strong (100+ kbit/s per user),,,ict-connectivity-intlbandwidth,12,,0,High,claim_no_source;no_year,"Scored >0 but NO source cited — unsupported claim, verify first. No data year recorded — provenance/recency unknown.",,"https://statsmauritius.govmu.org/Pages/Statistics/ESI/ICT/ICT_Yr22.aspx; https://indicators.govmu.org/ictindicators/?page_id=3015","Confirmed. Statistics Mauritius reports international bandwidth usage per inhabitant rising to 186,872 bit/s in 2022 (up from 167,192 in 2021), with the Digital Promotion Agency's series showing a more recent figure of c.285 kbit/s per inhabitant. As bandwidth per internet user is necessarily higher than per-inhabitant (not all inhabitants are users), the 100+ kbit/s per user threshold for Value Code 5 is comfortably met."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Exchange Point Presence,"Whether the country has an operational Internet Exchange Point (IXP) and its maturity. IXPs enable local internet traffic to be exchanged domestically rather than being routed internationally, reducing latency, costs, and dependence on foreign infrastructure. Critical for local digital ecosystem development.",4,Active IXP(s) with moderate participation,,,ict-connectivity-ixp,13,,0,High,claim_no_source;no_year,"Scored >0 but NO source cited — unsupported claim, verify first. No data year recorded — provenance/recency unknown.",,"https://www.peeringdb.com/ix/1508; https://portal.mixp.org/peering-matrix; https://www.mixp.org/","Confirmed. The Mauritius Internet Exchange Point (MIXP), operated via Rogers Capital Data Centre, is listed on PeeringDB and its public peering matrix shows around 15-18 participating networks including Mauritius Telecom, Emtel, Vodacom, CMC Networks, Rogers Capital, the National Computer Board and AFRINIC. This is consistent with a single active, moderately-participated IXP (Value Code 4) rather than a mature, broad-participation ecosystem (5)."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Smartphone Adoption,"Percentage of mobile connections using smartphones (as opposed to feature phones or basic phones). Smartphones are the minimum device requirement for accessing most digital public infrastructure services, apps, and mobile internet.",5,80%+,,,ict-connectivity-smartphonepen,8,,0,High,claim_no_source;no_year,"Scored >0 but NO source cited — unsupported claim, verify first. No data year recorded — provenance/recency unknown.",4,"https://techcabal.com/2024/04/27/mauritius-ecosystem-feature/; https://datareportal.com/reports/digital-2026-mauritius","No source cited originally, and no precise GSMA Intelligence 'share of connections that are smartphones' figure for Mauritius could be located. TechCabal (April 2024) cites a smartphone penetration rate of 79% of population (alongside 87% internet penetration); DataReportal/GSMA Intelligence separately show 95-97% of mobile connections are 3G/4G/5G-capable, a broader and not directly equivalent measure. Given the closest specific figure (79%) sits just under the 80% threshold for Value Code 5, downgraded to Value Code 4 (60-79%) pending a precise GSMA Intelligence connections-based figure; flagged for human review."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Electricity Affordability,"Affordability of electricity for residential and small business consumers, measured as cost of electricity relative to income levels. High electricity costs are a direct barrier to ICT adoption and data center viability.",4,Affordable (1-2%),,,ict-energy-affordability,5,,0,High,claim_no_source;no_year,"Scored >0 but NO source cited — unsupported claim, verify first. No data year recorded — provenance/recency unknown.",,"https://ceb.mu/customer-corner/customer-information; https://www.ifc.org/content/dam/ifc/doc/2023/mauritius-country-private-sector-diagnostic-en.pdf","No source cited originally. Central Electricity Board (CEB) domestic tariffs (effective Feb 2023) are tiered from Rs3.16 to Rs8.77/kWh; a rough calculation for typical household consumption (100-200 kWh/month) against 2025 GNI per capita (US$14,040, World Bank Atlas) puts the cost at roughly 1-2% of GNI per capita, but the IFC's 2023 Country Private Sector Diagnostic separately flags Mauritius's average retail electricity price (>US$0.15/kWh) as high by regional standards. The result is sensitive to the assumed consumption level and could plausibly fall in either the 'Affordable (1-2%)' or 'Moderate (2-5%)' band. Left unresolved and flagged for human review — a World Bank Enterprise Survey or CEB-based calculation against actual household income (not GNI per capita) is needed to confirm the exact band."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Innovation,Tech Startup Ecosystem,"The maturity of the country's technology startup ecosystem, based on the number of tech startups, venture capital activity, accelerators/incubators, and the presence of a supportive ecosystem. Africa's startup scene is well-documented by trackers like Partech, Disrupt Africa, and Briter Bridges.",4,"Established (significant startup activity, $50M+ annual VC, multiple hubs and accelerators)",,,ict-innovation-startupecosystem,25,,0,High,claim_no_source;no_year,"Scored >0 but NO source cited — unsupported claim, verify first. No data year recorded — provenance/recency unknown.",2,"https://techcabal.com/2024/04/27/mauritius-ecosystem-feature/; https://techcabal.com/2023/08/21/mauritius-wants-the-tech-brand/","No source cited originally, and the evidence contradicts the stated score. TechCabal (April 2024), citing Disrupt Africa data, describes Mauritius's startup ecosystem as 'nascent at best, with minimal venture capital inflow', reporting only US$1.7 million raised by Mauritian startups to date — far below the claimed $50M+ annual VC activity. Large individual rounds sometimes attributed to 'Mauritius' (e.g. Liquid Intelligent Technologies, Dealroom) reflect the island's role as a corporate/holding domicile for pan-African operators rather than homegrown startup activity, and should not be used to inflate this score. Revised down to Value Code 2 (Emerging: some startups, limited funding, 1-2 hubs)."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Technical Capacity,Basic Digital Literacy,"The proportion of the population with basic digital skills (ability to use a computer, smartphone, or the internet for simple tasks such as sending messages, finding information, or using apps). Based on ITU household survey data, Afrobarometer, or national ICT surveys.",5,60%+,,,ict-capacity-digitalliteracy,20,,0,High,claim_no_source;no_year,"Scored >0 but NO source cited — unsupported claim, verify first. No data year recorded — provenance/recency unknown.",,"https://indicators.govmu.org/ictindicators/?page_id=3218","Confirmed. Statistics Mauritius / Mauritius Digital Promotion Agency ICT household indicators report the digital literacy rate (percentage of persons aged 5+ who can use a computer) at 62.2% in the most recent survey year, clearing the 60%+ threshold for Value Code 5. This is a national ICT household survey, the primary source type specified in the metadata guidance."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Technical Capacity,Gender Gap in ICT Access,The gap between men and women in mobile internet usage or internet access. Based on the GSMA Mobile Gender Gap data or ITU gender-disaggregated ICT statistics. A smaller gap indicates more equitable access to digital opportunities.,5,Near parity (<10% gap),,,ict-capacity-gendergap,23,,0,High,claim_no_source;no_year,"Scored >0 but NO source cited — unsupported claim, verify first. No data year recorded — provenance/recency unknown.",0,"https://indicators.govmu.org/ictindicators/?page_id=3218","No source cited originally, and no current, clearly-dated Mauritius-specific gender gap figure could be confirmed. GSMA's Mobile Gender Gap Report does not appear to cover Mauritius directly (it focuses on a fixed set of larger LMICs). An older Statistics Mauritius ICT household table shows male/female internet use figures (c.50% vs c.43%, an approximate 14% relative gap) but the exact survey year could not be reliably matched against the time series, making it too stale/ambiguous to support a specific code either way. Set to 0 (Unknown) rather than guessing; flagged for human review to obtain a dated, disaggregated figure (e.g. from Statistics Mauritius's most recent ICT household survey or ITU gender-disaggregated internet-use statistics)."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Technical Capacity,Tertiary ICT/STEM Education,"The scale and quality of tertiary-level ICT and STEM education programmes available in the country, based on the number and quality of institutions offering ICT degrees, computer science programmes, and engineering courses relative to the population.",4,Good (established institutions with diverse ICT programmes),,,ict-capacity-tertiaryict,21,,0,High,claim_no_source;no_year,"Scored >0 but NO source cited — unsupported claim, verify first. No data year recorded — provenance/recency unknown.",,"https://uom.ac.mu/FOICDT/index.php/sis-programmes; https://open.ac.mu/bsc-hons-computer-science/; https://curtinmauritius.ac.mu/courses/undergraduate-postgraduate-courses/bachelor-of-science-information-technology/","Confirmed. Multiple established institutions offer diverse ICT/STEM degree programmes: the University of Mauritius (Faculty of Information, Communication and Digital Technologies — Computer Science, Information Systems, Software Engineering, Data Science, AI), the Open University of Mauritius (Computer Science), Curtin Mauritius (Information Technology) and Université des Mascareignes (Applied Computer Science). This breadth of provision, though modest in scale relative to larger African markets, matches Value Code 4 ('Good: established institutions with diverse ICT programmes') rather than a stronger regional-reputation tier (5)."
