Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
MWI,Malawi,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,National Cybersecurity Readiness,"The country's overall cybersecurity preparedness, based on the ITU Global Cybersecurity Index (GCI). Covers legal measures, technical measures, organisational measures, capacity development, and cooperation. Essential for trust in stored data and digital services.",5,GCI score 80+ (Role-modelling),2024,ITU GCI 80% (80%+),ict-storage-cybersecurity,19,,0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"https://times.mw/un-agency-calls-for-increased-action-on-cybersecurity/; https://www.nyasatimes.com/malawi-makes-tremendous-improvement-on-itu-global-cybersecurity-index/; https://www.itu.int/pub/D-HDB-GCI.01-2024","Confirmed. ITU Global Cybersecurity Index 2024 gives Malawi a score of 80.42/100 (legal 18.16, technical 16.06, organisational 17.37, capacity development 12.26, cooperation 16.58 of 20 each), reported by ITU and corroborated by two Malawian outlets citing MACRA. This meets the metadata's '80+' score band (Code 5). Note for human review: ITU's own qualitative tier places Malawi in Tier 3 'Establishing', not Tier 1 'Role-modelling' — the metadata's score-to-tier-name mapping does not match ITU's actual (non-linear) tiering, though the numeric code is unaffected."
MWI,Malawi,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Data Localisation Requirements,"Whether the country has enacted legal or regulatory requirements mandating that certain categories of data (personal data, government data, financial data, or critical infrastructure data) be stored within national borders. Central to data sovereignty debates in Africa.",4,Comprehensive requirements for personal data or broad categories,2024,Data Protection Act restricts cross-border transfers §§38-40,ict-storage-datalocalisation,16,,0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",1,"https://www.mondaq.com/pdf/1661282.pdf; https://cyrilla.org/api/files/1714974153599cf41tfelimj.pdf; https://itlawco.com/focus-areas/data-protection-and-privacy/malawis-data-protection-act-2024-an-overview/","Read the actual Act text: sections 38-40 of the Data Protection Act 2024 set conditions for CROSS-BORDER TRANSFER of personal data (adequacy assessment, consent, binding corporate rules) — this is not a data localisation mandate requiring storage within Malawi. CMS/Mondaq's Africa Data Protection Guide (May 2025) states explicitly for Malawi: 'there are no data localisation requirements', only a duty to inform data subjects of transfers abroad. The original score conflated transfer-restriction with localisation; revised to Value Code 1 (No data localisation requirements)."
MWI,Malawi,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Government Data Center / Cloud Strategy,Whether the government has established dedicated data center infrastructure and/or a government cloud (G-Cloud) strategy for hosting e-government services and public sector data domestically. Critical for data sovereignty and e-government service delivery.,1,No government data center or cloud strategy,2024,"No major adoption, basic on-prem",ict-storage-govcloud,15,,0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",3,"https://times.mw/lilongwe-data-centre-ready-may/; https://documents1.worldbank.org/curated/en/099083025102027538/pdf/P505095-7a647ee6-33d5-44b5-97c1-1c135c16efd2.pdf; https://digmap.pppc.mw/government-data-center-making-progress/","Evidence contradicts 'no government data centre or cloud strategy'. Malawi has operated a National Data Centre in Blantyre since 2022 (Ministry of Information and Digitalisation, ESCOM, Huawei), and a second Tier III Government Data Centre in Lilongwe is nearing completion (commissioning expected mid-2025), per Times Group (Apr 2025) and the World Bank's Digital Malawi Acceleration Project appraisal (2025). A formal national cloud strategy/National Data Strategy is still being developed under that project, not yet adopted, so a fully-fledged G-Cloud strategy is not yet in place. Revised to Value Code 3 (Basic government data centre operational)."
MWI,Malawi,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Renewable Energy Share of Generation,"Percentage of total electricity generation from renewable sources (hydro, solar, wind, geothermal, biomass). Indicates energy sustainability and potential for distributed power solutions relevant to ICT infrastructure in off-grid areas.",5,75%+,2024,91% hydro (>80%),ict-energy-renewableshare,4,,0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/Malawi_Africa_RE_SP.pdf; https://www.theglobaleconomy.com/Malawi/hydro_electricity_generation_percent/","Confirmed, though the cited 91% hydro figure could not be verified. IRENA's Malawi statistical profile and derived Global Economy data show 2023 generation was 79% renewable overall (1,759 of 2,224 GWh), with hydropower alone at 76% (95% of hydro capacity utilisation basis) — comfortably within the 75%+ band, so Value Code 5 is confirmed on a slightly different (lower but still qualifying) figure than stated."
MWI,Malawi,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Innovation,Global Innovation Index Ranking,"The country's performance on the WIPO Global Innovation Index (GII), which measures innovation capabilities across institutions, human capital, infrastructure, market sophistication, business sophistication, knowledge outputs, and creative outputs. Provides a composite view of the national innovation ecosystem.",1,GII rank 121+ or bottom quartile,2024,Rank 125 (121+),ict-innovation-gii,27,,0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"https://www.wipo.int/edocs/gii-ranking/2025/mw.pdf; https://www.wipo.int/web-publications/global-innovation-index-2024/en/gii-2024-economy-profiles.html","WIPO's own Malawi ranking history shows Malawi was NOT included in the GII 2024 edition (marked n/a) but ranked 125th of 139 economies in the GII 2025 edition — within the 121+/bottom-quartile band, confirming Value Code 1. However the Year field (2024) appears to be an error, since no 2024 rank of 125 exists; flagging for human review to correct the year to 2025."
MWI,Malawi,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Innovation,Tech Startup Ecosystem,"The maturity of the country's technology startup ecosystem, based on the number of tech startups, venture capital activity, accelerators/incubators, and the presence of a supportive ecosystem. Africa's startup scene is well-documented by trackers like Partech, Disrupt Africa, and Briter Bridges.",2,"Emerging (some startups, limited funding, 1-2 hubs)",2024,"$50M VC funding, nascent angel networks",ict-innovation-startupecosystem,25,,0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",1,"https://techcabal.com/2024/03/02/malawi-tech-ecosystem-feature/; https://dealroom.co/countries/malawi/","No source found for the cited '$50M VC funding' figure; it appears unsubstantiated. TechCabal (Mar 2024) describes Malawi as having a 'virtually non-existent venture capital ecosystem', and Dealroom's Malawi profile records $0 VC invested in the last 12 months across only 9 tracked startups (combined enterprise value ~$70M). This matches Value Code 1 (Nascent: very few startups, no visible VC activity) rather than Code 2; revised accordingly."
MWI,Malawi,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Innovation,Technology and Innovation Hubs,"The number and activity level of technology hubs, incubators, accelerators, and co-working spaces focused on technology and innovation. These provide physical infrastructure and support for tech entrepreneurship and skills development.",3,3-9 hubs with regular activity,2024,"mHub, MUBAS Hub, Mzuzu E-Hub present",ict-innovation-techhubs,26,,0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"https://mhubmw.com/; https://update.mzuzuehub.org/; https://www.mubas.ac.mw/facilities/innovation-hub; https://techcabal.com/2024/03/02/malawi-tech-ecosystem-feature/","Confirmed. mHub, Mzuzu E-Hub and the MUBAS Innovation Hub are all active, verifiable hubs (also listed in AfriLabs' directory), and TechCabal (2024) references further active hubs such as Ntha Foundation. This is consistent with 3-9 hubs showing regular activity (Value Code 3)."
MWI,Malawi,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Technical Capacity,Developer and Tech Community,"The size and vibrancy of the local software developer and technology professional community. Measured through proxies such as GitHub activity, Stack Overflow representation, local tech meetup groups, and developer surveys. Indicates the country's capacity to build and maintain digital systems locally.",2,"Emerging (small but growing community, <1,000 active developers)",2024,"Small active devs, GDG Malawi, hackathons",ict-capacity-devcommunity,22,,0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"https://github.com/TechMalawi; https://github.com/golang-malawi; https://ml.mw/","Confirmed only as a low-confidence proxy-based estimate; no direct headcount survey exists. GitHub-based communities (Tech Malawi ~19 followers/4 repos, Golang Malawi ~30 followers/10 repos, Machine Learning Malawi/IndabaX Malawi) indicate a small but present developer community, consistent with 'Emerging, <1,000 active developers' (Value Code 2). Flagging for human review given the thinness of the evidence base."
MWI,Malawi,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Technical Capacity,Gender Gap in ICT Access,The gap between men and women in mobile internet usage or internet access. Based on the GSMA Mobile Gender Gap data or ITU gender-disaggregated ICT statistics. A smaller gap indicates more equitable access to digital opportunities.,4,Small gap (10-19% fewer),2024,15% mobile internet gap (<20%),ict-capacity-gendergap,23,,0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"https://www.afrobarometer.org/wp-content/uploads/2025/12/AD1094-Leave-no-Malawian-offline-Understanding-the-digital-divide-Afrobarometer-17dec25.pdf; https://www.ecofinagency.com/news-digital/2312-51617-malawi-s-gender-digital-gap-grows-to-15-points-amid-rising-internet-access-afrobarometer","Confirmed. Afrobarometer's Round 10 Malawi dispatch (AD1094, published Dec 2025, fieldwork Aug 2024) reports a 15-percentage-point gender gap in internet use (33% of men vs 18% of women), matching the cited 15% figure and falling within the 10-19% 'small gap' band (Value Code 4). Note this is internet-use data rather than GSMA's mobile-internet-specific series, but the figure and band both align."
MWI,Malawi,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Technical Capacity,Tertiary ICT/STEM Education,"The scale and quality of tertiary-level ICT and STEM education programmes available in the country, based on the number and quality of institutions offering ICT degrees, computer science programmes, and engineering courses relative to the population.",2,"Limited (few institutions, low enrolment)",2024,"MUBAS BIT/BIS, MZUNI BSc ICT, low enrollment",ict-capacity-tertiaryict,21,,0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",3,"https://cs.unima.ac.mw/about/the-department; https://www.must.ac.mw/academics/departments/computer-studies-and-information-technology/details; https://indico.ictp.it/event/10457/session/0/contribution/1/material/slides/0.pdf","Evidence shows more than 'a few institutions with low enrolment': the University of Malawi (Chancellor College and Polytechnic), the Malawi University of Science and Technology (MUST), MUBAS and Mzuzu University all offer established Computer Science/IT/Cybersecurity programmes from bachelor's through PhD level. A 2022 national tracer study (Ministry of Education/DSTI) found 8.8% of 16,735 tertiary graduates were in ICT fields. This is more consistent with 'Moderate (several institutions, growing enrolment)' (Value Code 3); revised accordingly."
