Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
LBR,Liberia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Status,Does the government maintain a digital address register?,4,Partially deployed,2024,"Liberia's Ministry of Posts and Telecommunications has adopted the National Digital & Postal Addressing System (NDPAS) using SnooCODE, with public address registration via ndpasliberia.com, indicating partial deployment of a digital address register/system.",reg-address-exists,20,"[NDPAS Liberia site](https://www.ndpasliberia.com), [SnooCODE Liberia page](https://snoocode.com/liberia)",0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"[NDPAS Liberia](https://www.ndpasliberia.com); [News Public Trust launch article, 2022](https://newspublictrust.com/national-digital-postal-address-launched-in-liberia); [SnooCODE Liberia](https://snoocode.com/liberia)","Confirmed, code 4 retained. NDPAS/SnooCODE launched April 2022 by the Ministry of Posts & Telecommunications, starting in Monrovia with phased rollout to other towns (News Public Trust, 2022); current NDPAS site confirms the system remains active. No national coverage statistics for 2023-2025 were found and sources are largely vendor/promotional, so flagged for human review of the true extent of 'partial' deployment."
LBR,Liberia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Status,Does the government maintain a digital business register?,4,Partially deployed,2023,"Liberia launched a new digital beneficial ownership register under the Liberia Business Registry (LBR) and described it as part of broader effort to leverage digital technology for G2B services including business registration, indicating partial digital deployment of a business register.",reg-business-exists,25,"[EITI news on Liberia BO register launch](https://eiti.org/news/liberia-launches-new-digital-beneficial-ownership-register), [Liberia BO Register site](https://www.beneficialownershiplr.com)",0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"[EITI launch news, 2023](https://eiti.org/news/liberia-launches-new-digital-beneficial-ownership-register); [MoCI: LBR online platform launch, 2019](https://moci.gov.lr/index.php/media/press-releases/effective-business-climate-lbr-launches-modern-online-platform); [Beneficial Ownership Register](https://www.beneficialownershiplr.com)","Confirmed, code 4 retained. LBR has offered online business registration since a 2019 platform launch (MoCI) and added a separate digital beneficial ownership register in 2023 (EITI). Petty trade registrations remain manual at the Ministry of Commerce, so deployment is partial rather than complete."
LBR,Liberia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Status,Does the government maintain a digital civil register?,4,Partially deployed,2019,"APAI-CRVS snapshot reports an online platform for birth and death registration (www.liberiabirthcertificate.com) with rollout planned by end-2019, suggesting partial digital deployment rather than nationwide fully digital CRVS.",reg-cr-exists,7,[APAI-CRVS Liberia Snapshot (PDF)](https://apai-crvs.uneca.org/sites/default/files/resourcefiles/CRVS_LiberiaSnapshot_e.pdf),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"[FrontPageAfrica, Aug 2024](https://frontpageafricaonline.com/news/liberia-unicef-calls-for-strengthened-efforts-to-address-birth-registration-challenges/); [Liberian Investigator, Aug 2024](https://liberianinvestigator.com/unicef-oic-urges-stronger-collaboration-to-overcome-birth-registration-challenges-in-liberia/); [APAI-CRVS Liberia Snapshot, 2019](https://apai-crvs.uneca.org/sites/default/files/resourcefiles/CRVS_LiberiaSnapshot_e.pdf)","Confirmed and refreshed, code 4 retained. As of August 2024, birth registration is digitised via tablets, offers online registration and digital certificates, and feeds into DHIS2, covering 98% of health districts across all 15 counties (UNICEF/FrontPageAfrica). Marriage and divorce records remain on separate, non-linked systems, so 'partially deployed' is still the best fit rather than 'fully deployed'."
LBR,Liberia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,National Id integration,Is the register integrated with the national ID system?,1,No,2019,APAI-CRVS snapshot states Liberia has a national identification system that is not linked to the civil registration systems described.,reg-cr-id,11,[APAI-CRVS Liberia Snapshot (PDF)](https://apai-crvs.uneca.org/sites/default/files/resourcefiles/CRVS_LiberiaSnapshot_e.pdf),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",2,"[ID4Africa 2024 NIR presentation](https://id4africa.com/2024/ps2/PS2-4-Liberia-Final.pdf); [World Bank ID4D Liberia diagnostic, 2016](https://documents1.worldbank.org/curated/en/281811489660798714/pdf/113549-WP-P156810-PUBLIC-Liberia-ID4D-Web.pdf)","Changed from 'No' to 'Planned'. The 2016 World Bank diagnostic confirms no link existed at that time; NIR's own 2024 ID4Africa presentation lists 'MOHSW Birth & Death' as a designed data-sharing interface for the National Biometric ID System's verification platform, indicating an intended but not yet demonstrated live integration. No evidence found that this interface is operational — recommend human review to confirm current implementation status."
LBR,Liberia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Population register integration,Is the register integrated with the population register?,1,No,2019,No evidence of integration between civil registration and any population register; APAI-CRVS notes national ID is not linked and systems are not integrated with other sectors.,reg-cr-pop,12,[APAI-CRVS Liberia Snapshot (PDF)](https://apai-crvs.uneca.org/sites/default/files/resourcefiles/CRVS_LiberiaSnapshot_e.pdf),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",2,"[ID4Africa 2024 NIR presentation](https://id4africa.com/2024/ps2/PS2-4-Liberia-Final.pdf); [APAI-CRVS Liberia Snapshot, 2019](https://apai-crvs.uneca.org/sites/default/files/resourcefiles/CRVS_LiberiaSnapshot_e.pdf)","Changed from 'No' to 'Planned', mirroring reg-pop-crvs. NIR's 2024 architecture diagram designates 'MOHSW Birth & Death' as an interface for data sharing with the population register (NBIS), but no evidence was found of a live, functioning link. Flag for human review."
LBR,Liberia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Scope,"Does the register cover births, deaths and marriages?",2,Some,2019,"Liberia's civil registration system covers births and deaths (Ministry of Health) and marriages/divorces via other agencies with no link between systems, so not a single register covering births, deaths and marriages together.",reg-cr-scope,8,[APAI-CRVS Liberia Snapshot (PDF)](https://apai-crvs.uneca.org/sites/default/files/resourcefiles/CRVS_LiberiaSnapshot_e.pdf),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"[Liberian Investigator, Aug 2024](https://liberianinvestigator.com/unicef-oic-urges-stronger-collaboration-to-overcome-birth-registration-challenges-in-liberia/); [APAI-CRVS Liberia Snapshot, 2019](https://apai-crvs.uneca.org/sites/default/files/resourcefiles/CRVS_LiberiaSnapshot_e.pdf)","Confirmed, code 2 retained. Births and deaths are digitally captured via MOHSW/DHIS2 (UNICEF, Aug 2024); marriages and divorces are handled by separate, non-integrated agencies, so not all three vital event types are captured in one digital system."
LBR,Liberia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Uptake,What proportion of the population does the register cover?,3,50-69%,2020,"UNSD completeness data (based on DHS 2019-2020) shows birth registration completeness around 0.66 (66%), mapping to 50-69% coverage as proxy for CRVS uptake.",reg-cr-uptake,10,[UNSD completeness dataset (XLSX)](https://unstats.un.org/unsd/demographic-social/crvs/documents/2023-completeness.xlsx),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"[UNICEF press release, Dec 2024](https://www.unicef.org/liberia/press-releases/new-era-inclusion-millions-children-gain-legal-identity); [UNSD completeness dataset](https://unstats.un.org/unsd/demographic-social/crvs/documents/2023-completeness.xlsx)","Confirmed, code 3 retained. UNICEF (Dec 2024) cites birth registration completeness of 66%, based on the 2019/20 DHS — the most recent nationally representative estimate available — which falls in the 50-69% bracket."
LBR,Liberia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,Status,Does the government maintain a digital electoral register?,5,Fully deployed nationwide,2023,"Liberia used biometric voter registration for the 2023 presidential and legislative elections (biometric voter registration technical report), indicating a fully deployed nationwide digital electoral register.",reg-elect-exists,30,[ECC Liberia technical report on biometric voter registration](https://eccliberiacom.org/technical-report-of-the-biometric-voter-registration-process-related-to-the-2023-presidential-and-legislative-elections-in-liberia/),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"[ECC Liberia technical report, 2023](https://eccliberiacom.org/technical-report-of-the-biometric-voter-registration-process-related-to-the-2023-presidential-and-legislative-elections-in-liberia/); [EISA BVR observation reports, 2023](https://www.eisa.org/can-biometric-voter-registrationdeduplication-and-public-scrutiny-enhance-voters-roll-integrity-in-liberia-and-elsewhere-best-practices-from-the-field/); [Biometric Update, Dec 2023](https://www.biometricupdate.com/202312/laxton-neurotechnology-collaboration-powered-liberias-biometric-voter-registration-for-oct-polls)","Confirmed, code 5 retained. Liberia deployed a nationwide Biometric Voter Registration system across all 15 counties for the 2023 elections, registering close to 2.5 million voters with centralised de-duplication (EISA; Biometric Update, Dec 2023)."
LBR,Liberia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,National Id integration,Is the register integrated with the national ID system?,1,No,2025,No credible evidence found that the biometric voter register is linked to the NIR national ID database; available reporting focuses on separate NEC biometric registration and kit transfers to NIR rather than integrated databases.,reg-elect-id,32,[Biometric Update on NEC support to NIR](https://www.biometricupdate.com/202507/liberia-national-id-push-gets-boost-with-500-donated-biometric-kits),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"[Academic assessment of NIR-NEC integration, Jan 2025](https://doi.org/10.22271/allresearch.2025.v11.i6d.12680); [Biometric Update, Jul 2025](https://www.biometricupdate.com/202507/liberia-national-id-push-gets-boost-with-500-donated-biometric-kits)","Confirmed, code 1 retained. A January 2025 academic assessment explicitly frames NIR-NEC database integration as a future opportunity, not yet implemented; the July 2025 donation of biometric kits from NEC to NIR concerns hardware sharing, not database linkage."
LBR,Liberia,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,Uptake,What proportion of the electorate does the register cover?,4,70-89%,2023,"Election data indicates 2,471,617 registered voters and turnout figures, implying high registration relative to voting-age population; categorized as 70-89% coverage of electorate based on broad registration levels for national elections.",reg-elect-uptake,31,[EISA on 2023 Liberia elections registered voters](https://www.eisa.org/importance-of-invalid-votes-on-the-2023-liberian-elections-insights-and-remedial-measures/),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"[EISA, 2023](https://www.eisa.org/importance-of-invalid-votes-on-the-2023-liberian-elections-insights-and-remedial-measures/)","Not confirmed with precision. EISA data show 2,471,617 registered voters and 78.86% turnout of registered voters, but no reliable estimate of the total voting-age electorate was found to calculate registration coverage as a percentage. The 70-89% bracket is plausible but unverified; recommend human review using an authoritative voting-age population denominator (e.g. IDEA or national census)."
