Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Status,Does the government maintain a digital address register?,2,Planned,2023,"Nouakchott has been developing a modern street addressing system (ASToN project) and lacks standardized addressing, indicating an addressing system is planned/being developed rather than fully deployed nationwide.",reg-address-exists,20,[Civic Tech Innovation Network – Nouakchott addressing system project](https://civictech.africa/nouakchott-develops-a-street-addressing-system-to-improve-the-everyday-life-of-citizens/),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",3,"MTNIMA National Digital Addressing System TDR (Mar 2025): https://mtnima.gov.mr/wp-content/uploads/2025/03/TDR-adressage.pdf; ASToN Network project update (2023): https://aston-network.medium.com/nouakchott-d%C3%A9veloppe-un-syst%C3%A8me-dadressage-des-rues-pour-am%C3%A9liorer-la-vie-quotidienne-des-citoyens-992a5e8a720d","MTNIMA's March 2025 terms of reference confirm a 2024 World Bank-funded (WARDIP) feasibility study is complete and a national digital postal addressing system is now being actively built, going beyond the 'Planned' stage described in the 2023 source; no evidence of any deployment yet, so revised to 'Under development' (3)."
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Status,Does the government maintain a digital business register?,4,Partially deployed,2021,"Mauritania has an operational commercial register and a one-stop-shop (Guichet Unique) that handles registration and links to tax/social security; World Bank published a diagnostic on modernization of the business registry, indicating the register exists and is partially digitized/modernizing.",reg-business-exists,25,"[World Bank document – Diagnostic et Recommandations pour la Modernisation du Registre](https://documents.banquemondiale.org/fr/publication/documents-reports/documentdetail/990231590998191183),[Doing Business – Mauritania economy profile](https://archive.doingbusiness.org/en/data/exploreeconomies/mauritania)",0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"APIM/Khidmaty online company creation announcement (Apr 2025): https://apim.gov.mr/fr/la-mauritanie-digitalise-ses-services-aux-investisseurs/; MTNIMA Khidmaty announcement (2025): https://mtnima.gov.mr/fr/modernisation-de-ladministration-publique-digitalisation-et-mise-en-ligne-via-khidmaty-de-services-publics-destines-aux-investisseurs/","Confirmed with a fresher, better source: as of April 2025 APIM's Khidmaty portal enables fully online company creation combining Registre de Commerce, tax and CNSS registration in one transaction. This is consistent with 'Partially deployed' (4) rather than full nationwide coverage evidence, so the value is unchanged but re-grounded in a verified, authoritative source (the original World Bank diagnostic link did not render usable content)."
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Uptake,What proportion of businesses does the register cover?,2,20-49%,2024,"No official statistic on proportion of businesses registered found; given large informal sector typical and sources describe registration processes but not universal coverage, assessed as 20–49% coverage of all businesses.",reg-business-uptake,26,[Doing Business – Mauritania economy profile](https://archive.doingbusiness.org/en/data/exploreeconomies/mauritania),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",0,"Doing Business archive (no coverage-rate data found): https://archive.doingbusiness.org/en/data/exploreeconomies/mauritania","No official statistic on the proportion of formally registered businesses was found in the cited Doing Business archive, nor in fresh searches of APIM, Kreston and World Bank sources; the original 20-49% figure was an unevidenced guess, so revised to 0 (Unknown) — recommend human review to locate a genuine denominator/coverage figure."
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Status,Does the government maintain a digital civil register?,4,Partially deployed,2025,"Civil registration is managed by ANRPTS with structured records for births, marriages, divorces and deaths; while evidence of digitized issuance/biometric link exists, no definitive proof that the entire CRVS is fully digitized nationwide, so assessed as partially deployed.",reg-cr-exists,7,"[FamilySearch – Mauritania Civil Registration (ANRPTS roles and event types)](https://www.familysearch.org/en/wiki/Mauritania_Civil_Registration),[Canadian IRB via ecoi.net (biometric civil status documents issued via centers)](https://www.ecoi.net/en/document/1187051.html)",0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"ecoi.net / IRB Canada document: https://www.ecoi.net/en/document/1187051.html; cridem.org ANRPTS enrolment campaign report (2023-24): https://cridem.org/imprimable.php?article=766714","Confirmed via the verified ecoi.net (IRB) document and a fresher cridem.org report (2023-24) showing ANRPTS still running mobile enrolment campaigns to register remaining citizens across several wilayas, consistent with an operating but not fully complete nationwide digital civil register. The FamilySearch link could not be independently verified (blocked to automated access)."
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,National Id integration,Is the register integrated with the national ID system?,4,Partially integrated,2015,"Civil status records include national identification numbers and the ID card is tied to enrollment in the National Population Biometric Register; this indicates operational integration between civil registration documentation and the ID system, though automation is not fully evidenced.",reg-cr-id,11,"[FamilySearch – Civil records include national identification number fields](https://www.familysearch.org/en/wiki/Mauritania_Civil_Registration),[Canadian IRB via ecoi.net (National Population Biometric Register)](https://www.ecoi.net/en/document/1187051.html)",0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",3,"ecoi.net / IRB Canada document: https://www.ecoi.net/en/document/1187051.html","The verified evidence shows the national ID card requires prior enrolment in the population biometric register — demonstrating population-register/ID linkage — but does not directly show that civil-registration events (births/deaths) automatically trigger ID updates, which is what this variable measures. Revised down to 'Under development' (3) and flagged for human review given the conflated evidence; FamilySearch source could not be verified."
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Inclusivity,Are all non-citizens allowed to be included in the register?,2,Permanent residents only,2015,"Non-citizens can obtain civil status extracts (e.g., marriage certificate) using a residence card (carte de séjour), indicating inclusion for legally resident non-citizens rather than all non-citizens.",reg-cr-inclusive,9,[Canadian IRB via ecoi.net (non-citizens must provide residence card)](https://www.ecoi.net/en/document/1187051.html),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",3,"UNHCR Mauritania Factsheet, Oct 2022: https://reliefweb.int/attachments/94636fb6-7f8e-4013-836c-60270bae7b1f/Mauritania%20-%20Factsheet%20October%202022_final.pdf; Decree 2022-063 (RIMAP): https://rimap.unhcr.org/node/40368","UNHCR factsheets (Oct 2022, Mar 2024) and Decree 2022-063 show refugees (Malian camp and urban caseloads) are registered with the national civil registry and issued National Identification Numbers, going beyond 'permanent residents only'; revised up to 'Some refugees and IDPs' (3)."
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Population register integration,Is the register integrated with the population register?,4,Partially integrated,2025,"ANRPTS oversees both civil registration and the population biometric register/secure documents; this institutional and data linkage suggests partial integration between CRVS and the population register, but no proof of full automated integration nationwide found.",reg-cr-pop,12,[FamilySearch – ANRPTS in charge of civil registration and secure documents](https://www.familysearch.org/en/wiki/Mauritania_Civil_Registration),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"FamilySearch page could not be independently verified (blocked to automated fetch); no substitute technical source found.","The sole cited source (FamilySearch) could not be accessed for verification, and no independent technical documentation on civil-population register integration was found in fresh searches. Institutional overlap (ANRPTS runs both registers) makes 'Partially integrated' (4) plausible but unconfirmed — flagged for human review; value left unchanged pending verification."
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Scope,"Does the register cover births, deaths and marriages?",3,All,2025,"Civil register covers births, marriages and deaths (and also divorces) as described for records kept at commune CAC enrollment centers.",reg-cr-scope,8,[FamilySearch – Mauritania Civil Registration](https://www.familysearch.org/en/wiki/Mauritania_Civil_Registration),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,"FamilySearch page could not be independently verified (blocked to automated fetch); ecoi.net document (partial corroboration): https://www.ecoi.net/en/document/1187051.html","FamilySearch, the only cited source, could not be fetched (blocked to automated access). ecoi.net corroborates marriage-certificate and ID-card processes but does not conclusively confirm all three event types are digitally captured — flagged for human review rather than confirming 'All' (3); value left unchanged pending verification."
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Uptake,What proportion of the population does the register cover?,3,50-69%,2026,"Birth registration completeness is reported via World Bank indicator SP.REG.BRTH.ZS (household surveys/UNICEF); Mauritania’s completeness is not near-universal, consistent with mid-range coverage (50–69%) rather than 70%+.",reg-cr-uptake,10,[World Bank indicator SP.REG.BRTH.ZS – Mauritania](https://data.worldbank.org/indicator/SP.REG.BRTH.ZS?locations=MR),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",2,"World Bank/UNICEF completeness of birth registration data (NationStat mirror): https://nationstat.com/fr/country/mauritania/completeness-of-birth-registration; UNICEF Africa Birth Registration Brochure (Oct 2022): https://reliefweb.int/attachments/36f41716-984a-4fe2-bcb4-43eb5e31f2a9/Africa-Birth-Registration-Brochure-Oct-2022_Final-LR.pdf","World Bank/UNICEF data show completeness of birth registration fell to 44.8% in 2021 (from 65.6% in 2015), and a 2022 UNICEF Africa brochure cites a similar 36-45% range (DHS 2019-21); this falls in the 20-49% band, not 50-69%, so revised down to 2."
MRT,Mauritania,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,Status,Does the government maintain a digital electoral register?,4,Partially deployed,2022,"Electoral lists are produced from administrative censuses and stored in a centralized database at the Ministry of Interior; lists were published online and searchable by national ID serial number, indicating a digital electoral register is in use (at least partially deployed).",reg-elect-exists,30,[Trans-Saharan Elections Project – Voter Identification and the Electoral Lists (Mauritania)](https://tsep.africa.ufl.edu/voter-identification/mauritania-3/),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",5,"IFES Election Snapshot: Mauritania 2024 Presidential Elections: https://www.ifes.org/sites/default/files/2024-06/Election%20Snapshot%20Mauritania%20Presidential%20Elections%202024.pdf; TSEP Mauritania voter identification profile: https://tsep.africa.ufl.edu/voter-identification/mauritania-3/","IFES's 2024 election snapshot confirms CENI compiled a new nationwide biometric voter register (RAVEL 2023) covering 1,939,341 registered voters ahead of the 2024 presidential election, indicating a fully operational nationwide digital electoral register; revised up from 'Partially deployed' to 'Fully deployed nationwide' (5)."
