Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
ZWE,Zimbabwe,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Status,Does the government maintain a digital business register?,5,Fully deployed nationwide,2023,"CIPZ online portal for companies and entities registrations, post-formation updates; fully deployed.",reg-business-exists,25,[CIPZ](https://cipz.pfms.gov.zw:8090),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,https://cipz.pfms.gov.zw:8090; https://mjconsultants.co.zw/insights/re-registration-is-survival-why-all-companies-pbcs-must-migrate-to-the-cipz-electronic-platform-now/; https://mjconsultants.co.zw/insights/online-company-registration-in-zimbabwe-step-by-step-guide/,"Confirmed. CIPZ (Companies and Intellectual Property Office of Zimbabwe) is Zimbabwe's operational online portal for company/PBC registration, name search and post-formation filings, and re-registration is now mandatory under the Companies and Other Business Entities Act (Chapter 24:32), per 2025 practitioner guides. Score of 5 stands; the original URL could not be directly fetched (non-standard port) but its content and status were confirmed via search cache and independent secondary sources."
ZWE,Zimbabwe,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Status,Does the government maintain a digital civil register?,4,Partially deployed,2024,"Civil Registry Department modernizing with central digital system, mobile app for field registration (online/offline), BI tool; under implementation.",reg-cr-exists,7,[Digitech](https://digitech.fr/en/2024/12/02/modernization-of-the-civil-registry-system-in-zimbabwe/);[Biometric Update](https://www.biometricupdate.com/202507/zimbabwe-looks-forward-to-digital-id-rollout-after-population-registry-reform),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,https://digitech.fr/en/2024/12/02/modernization-of-the-civil-registry-system-in-zimbabwe/; https://www.newsday.co.zw/local-news/article/200043909/computerisation-mpilo-central-hospital-embraces-digital-age; https://www.heraldonline.co.zw/civil-registry-department-to-computerise-sub-offices/,"Confirmed. The Civil Registry Department is digitising via a central system with a field mobile app and BI tool (2024), and a computerisation programme (2025) is live at pilot sites (Mpilo Hospital Bulawayo, Kariyangwe, Binga, Bubi/Inyathi) with sub-office expansion continuing but not yet nationwide. 'Partially deployed' (4) is supported by evidence to July 2025."
ZWE,Zimbabwe,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,National Id integration,Is the register integrated with the national ID system?,4,Partially integrated,2025,Civil registry reform foundation for digital national ID issuance.,reg-cr-id,11,[Biometric Update](https://www.biometricupdate.com/202507/zimbabwe-looks-forward-to-digital-id-rollout-after-population-registry-reform),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,https://www.biometricupdate.com/202304/integrated-digital-system-in-zimbabwe-to-enhance-id-issuance-birth-registration; https://www.newsday.co.zw/local-news/article/200043909/computerisation-mpilo-central-hospital-embraces-digital-age; https://www.biometricupdate.com/202507/zimbabwe-looks-forward-to-digital-id-rollout-after-population-registry-reform,"Confirmed. The integrated digital system launched from 2023 links civil registration to ID issuance (birth registration automatically assigns an ID/birth record number), and 2025 pilot sites show concurrent digital issuance of birth certificates and national IDs. Integration is real but confined to upgraded/pilot sites, not yet nationwide, supporting 'Partially integrated' (4)."
ZWE,Zimbabwe,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Population register integration,Is the register integrated with the population register?,4,Partially integrated,2025,Civil and population registries reformed/upgraded together.,reg-cr-pop,12,[Biometric Update](https://www.biometricupdate.com/202507/zimbabwe-looks-forward-to-digital-id-rollout-after-population-registry-reform),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,https://www.biometricupdate.com/202309/zimbabwe-upgrades-to-enable-online-application-for-biometric-passports-id-cards; https://www.biometricupdate.com/202304/integrated-digital-system-in-zimbabwe-to-enhance-id-issuance-birth-registration; https://www.biometricupdate.com/202507/zimbabwe-looks-forward-to-digital-id-rollout-after-population-registry-reform,"Confirmed. The Zimbabwe Population Registry System (ZPRS) upgrade explicitly links civil registration events (births) to the population database in real time at upgraded/pilot sites (2023-2025 reporting), though rollout is not yet nationwide. 'Partially integrated' (4) stands."
ZWE,Zimbabwe,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Scope,"Does the register cover births, deaths and marriages?",3,All,2022,"Civil Registry handles births, deaths, marriages per official procedures.",reg-cr-scope,8,[ZimParis Consulate](http://www.zimparis.gov.zw/index.php/consular/registration/birth-death-and-marriage-certificate),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,https://www.gov.uk/government/publications/zimbabwe-knowledge-base-profile/zimbabwe-knowledge-base-profile; http://www.zimparis.gov.zw/index.php/consular/registration/birth-death-and-marriage-certificate,"Confirmed 'All'. The UK Home Office Zimbabwe Knowledge Base profile (2025) confirms births, deaths and marriages are all registered centrally by the Ministry of Home Affairs Registrar-General's Department; the originally cited ZimParis page covers birth/death certificates but not marriage explicitly, so the GOV.UK profile is added as the stronger corroborating source."
ZWE,Zimbabwe,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Uptake,What proportion of the population does the register cover?,4,70-89%,2022,78.6% of population has birth registered per 2022 census (proxy for CRVS completeness).,reg-cr-uptake,10,[ZIMSTAT](https://zimstat.co.zw/2022-phc-gender-thematic-report/),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,https://zimstat.co.zw/2022-phc-gender-thematic-report/,"Confirmed. ZIMSTAT's 2022 Population and Housing Census Gender Thematic Report states 78.6% of the total population has births registered, within the 70-89% band. A narrower 2025-reported ZDHS figure of 57% birth-registration completeness for children aged 0-5 exists (Newsday, 15 July 2025) but measures a different cohort; the whole-population census figure remains the best available estimate for this variable."
ZWE,Zimbabwe,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,Status,Does the government maintain a digital electoral register?,5,Fully deployed nationwide,2023,"ZEC biometric voter registration system, voters roll inspection online/USSD, deduplication with biometrics.",reg-elect-exists,30,[Biometric Update](https://www.biometricupdate.com/202303/zimbabwe-ends-biometric-voter-registration-drive-with-over-450k-new-registrants),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,https://www.biometricupdate.com/202303/zimbabwe-ends-biometric-voter-registration-drive-with-over-450k-new-registrants,"Confirmed. The Zimbabwe Electoral Commission (ZEC) operates a nationwide biometric voter registration system (supplied by Laxton Group), with continuous registration drives across all provinces and biometric deduplication, per March 2023 reporting; no more recent contradicting evidence was found. 'Fully deployed nationwide' (5) stands."
ZWE,Zimbabwe,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Land,Status,Does the government maintain a digital land register?,4,Partially deployed,2025,"Deeds Registries Regulations 2025 (SI 76/2025) introduce digital title deeds system, validation/securitisation of existing deeds into digital registry, 24-month transition.",reg-land-exists,14,[Nehanda Radio](https://nehandaradio.com/2025/08/01/avoid-the-rush-avoid-the-risk-how-to-secure-your-property-in-zimbabwe-with-the-new-digital-deed-system/);[NewZimbabwe](https://www.newzimbabwe.com/legal-discussions-with-vengai-madzima-digitization-of-the-deeds-registry-in-zimbabwe/),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,https://www.newsday.co.zw/local-news/article/200054925/title-deeds-validation-programme-goes-nationwide; https://www.newzimbabwe.com/unvalidated-title-deeds-may-not-be-recognised-in-future-transactions-says-registrar/; https://hararepost.com/2026/05/06/govt-clarifies-procedures-under-new-title-deeds-validation-and-digitisation-programme/,"Confirmed, with fresher evidence found. As of May-June 2026 the Title Deeds Validation and Securitisation Programme (under SI 76/2025) has gone nationwide via a Digital Land Administration Platform, with the first 12 of a 24-month transition period completed; most legacy paper deeds are still being processed, so 'Partially deployed' (4) remains accurate — an improvement in specificity over the original August 2025 sources, which described the regulation before rollout began."
ZWE,Zimbabwe,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Population,Civil registration integration,Is the population register integrated with the civil register?,4,Partially integrated,2025,Population and civil registries both reformed/upgraded together as part of ID management architecture modernization.,reg-pop-crvs,5,[Biometric Update](https://www.biometricupdate.com/202507/zimbabwe-looks-forward-to-digital-id-rollout-after-population-registry-reform);[Digitech](https://digitech.fr/en/2024/12/02/modernization-of-the-civil-registry-system-in-zimbabwe/),0,High,claim_no_source,"Scored >0 but NO source cited — unsupported claim, verify first.",,https://www.biometricupdate.com/202309/zimbabwe-upgrades-to-enable-online-application-for-biometric-passports-id-cards; https://www.biometricupdate.com/202304/integrated-digital-system-in-zimbabwe-to-enhance-id-issuance-birth-registration,"Confirmed. Same underlying evidence as reg-cr-pop (inverse relationship): the ZPRS links births in the civil register to the population database at upgraded/pilot sites, not yet nationwide. 'Partially integrated' (4) stands."
ZWE,Zimbabwe,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Population,Status,Does the government maintain a digital population register?,4,Partially deployed,2025,"National Population Register under Civil Registry Department, Ministry of Home Affairs, upgraded to digital with comprehensive reform concluded ~2023-2025, integrated digital system based on it, digital ID rollout started in major cities (Harare, Bulawayo) but not yet nationwide.",reg-pop-exists,1,[Biometric Update](https://www.biometricupdate.com/202507/zimbabwe-looks-forward-to-digital-id-rollout-after-population-registry-reform),0,High,claim_no_source;review_comment_vs_code,"Scored >0 but NO source cited — unsupported claim, verify first. Comment wording may not match the score — re-read (needs judgement).",,https://www.biometricupdate.com/202507/zimbabwe-looks-forward-to-digital-id-rollout-after-population-registry-reform; https://www.biometricupdate.com/202309/zimbabwe-upgrades-to-enable-online-application-for-biometric-passports-id-cards,"Confirmed; comment wording is consistent with the code. The Zimbabwe Population Registry System (ZPRS) underwent a multi-year digital upgrade (2023-2025) and digital ID issuance based on the upgraded register is beginning only in Harare and Bulawayo (July 2025 reporting) ahead of national extension. 'Partially deployed' (4) is accurate."
