Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
EGY,Egypt,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,4G/LTE Population Coverage,"Percentage of the national population covered by at least one 4G/LTE mobile network signal, whether or not they subscribe to the service. 4G is the practical minimum for meaningful broadband connectivity enabling digital services.",5,90%+,2024,98% covered,ict-connectivity-4gcoverage,9,https://www.itu.int/dms_pub/itu-d/opb/ind/d-ind-ict_mdd-2024-3-pdf-e.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://datahub.itu.int/data/?e=1&i=100095&s=19306&v=chart; https://www.itu.int/dms_pub/itu-d/opb/ind/d-ind-ict_mdd-2024-3-pdf-e.pdf","Confirmed via ITU DataHub, which lists Egypt at 98% 4G/LTE population coverage in 2024, matching the cited ITU IDI 2024 report. Score of 5 (90%+) is correct; no change."
EGY,Egypt,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Data Affordability,"Affordability of mobile broadband data, measured as the cost of a basic mobile data plan (1-2GB) as a percentage of GNI per capita. The UN Broadband Commission target is below 2% of monthly GNI per capita. Affordability is the single largest barrier to internet adoption in Africa.",5,Meets UN target (<1%),2024,1.6% GNI p.c. high-consumption basket,ict-connectivity-dataafford,11,https://www.itu.int/dms_pub/itu-d/opb/ind/d-ind-ict_mdd-2024-3-pdf-e.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.itu.int/dms_pub/itu-d/opb/ind/D-IND-ICT_PRICES.01-2025-PDF-E.pdf; https://www.itu.int/dms_pub/itu-d/opb/ind/d-ind-ict_mdd-2024-3-pdf-e.pdf",4,"The row's own cited evidence (1.6% of GNI per capita) falls in the 1-2% 'Affordable' band, not the <1% 'Meets UN target' band used for the Value Code — an internal scale/score mismatch. Also note the comment cites the 'high-consumption' basket rather than the 1-2GB entry-level basket specified in the guidelines; ITU's 2024 Affordability report confirms mobile baskets in the Arab States region were generally under 2% but not sub-1% as a rule. Recalculated to 4 (Affordable, 1-2%) on the evidence already in the row; recommend a follow-up check of the exact entry-level 2GB basket figure for Egypt."
EGY,Egypt,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Usage Rate,"Percentage of individuals who used the internet (from any location, via any device) in the last three months. This measures actual internet adoption beyond network availability, capturing the combined effect of infrastructure, affordability, digital literacy, and relevance.",5,70%+,2024,72.2% individuals using internet,ict-connectivity-internetuse,10,https://www.itu.int/dms_pub/itu-d/opb/ind/d-ind-ict_mdd-2024-3-pdf-e.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://tradingeconomics.com/egypt/individuals-using-the-internet-percent-of-population-wb-data.html; https://datareportal.com/reports/digital-2024-egypt","Confirmed: World Bank/ITU data show 72.69% of the population using the internet in 2023, and DataReportal (GSMA/Kepios) shows 72.2% penetration in January 2024. Score of 5 (70%+) is correct; no change."
EGY,Egypt,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Exchange Point Presence,"Whether the country has an operational Internet Exchange Point (IXP) and its maturity. IXPs enable local internet traffic to be exchanged domestically rather than being routed internationally, reducing latency, costs, and dependence on foreign infrastructure. Critical for local digital ecosystem development.",4,Active IXP(s) with moderate participation,2024,EG-IX active IXP,ict-connectivity-ixp,13,https://www.datacentermap.com/ixp/egypt-internet-exchange/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://pulse.internetsociety.org/en/ixp-tracker/ixp/1128/; https://www.peeringdb.com/ix/3812; https://bgp.he.net/exchange/EG-IX; https://eg-ix.com.eg/Home/About","Confirmed and corroborated: EG-IX (built with Telecom Egypt and AMS-IX inside the Smart Village Tier III facility) is active with a substantial and growing member list including Vodafone Egypt, Etisalat Misr, Telecom Egypt/TE Data, Microsoft, Amazon, Meta and Huawei Cloud. This supports at least code 4 (active, moderate participation); evidence of traffic volumes would be needed to justify code 5 ('mature ecosystem'), so the score is confirmed at 4."
EGY,Egypt,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Phone Penetration,"Unique mobile subscriber penetration rate as a percentage of the total population. Measures the proportion of individuals who subscribe to a mobile service (not SIM cards, which can be multiple per person). Mobile phones are the primary device for internet access in Africa.",5,70%+,2024,97.4% own phone,ict-connectivity-mobilepen,7,https://www.itu.int/dms_pub/itu-d/opb/ind/d-ind-ict_mdd-2024-3-pdf-e.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://datareportal.com/reports/digital-2024-egypt; https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-economy/wp-content/uploads/2024/11/181124-Mobile-Economy-MENA-2024.pdf","Confirmed: GSMA Intelligence data (via DataReportal) show 110.5 million mobile connections in Egypt in early 2024, equivalent to 97.3% of the population; Statista corroborates ~97 per 100 inhabitants for 2024. Note this is total mobile connections, not unique subscribers as the variable technically specifies, but even unique-subscriber penetration for Egypt is well above the 70% threshold. Score of 5 confirmed; no change."
EGY,Egypt,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Cloud Services Availability,"The availability and presence of major cloud service providers (hyperscale and regional) operating in or serving the country with local or near-local infrastructure. Cloud availability determines access to scalable computing resources for government, business, and startups.",2,Served remotely from distant regions only (>100ms latency),2024,Remote (AWS edge) no local hyperscale,ict-storage-cloudadoption,18,https://aws.amazon.com/about-aws/whats-new/2024/05/new-edge-location-egypt/,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://www.huaweicloud.com/intl/en-us/news/20240523155312706.html; https://www.fierce-network.com/cloud/huawei-launches-egypt-cloud-region-releases-new-arabic-llm; https://www.dcpostmea.com/2024/05/huaweis-cairo-region-first-provider-launch-public-cloud-egypt/","The evidence is out of date: Huawei Cloud launched a full public cloud region ('Cairo Region') in Egypt in May 2024, the first hyperscaler to do so, backed by a $300m five-year investment. This is materially more than the AWS CloudFront edge location cited in the original row (which only caches content, it is not compute/cloud infrastructure). Recalculated upward to 4 (at least one major provider with local presence); would need a second hyperscale region (AWS/Azure/GCP) to justify 5."
EGY,Egypt,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,National Cybersecurity Readiness,"The country's overall cybersecurity preparedness, based on the ITU Global Cybersecurity Index (GCI). Covers legal measures, technical measures, organisational measures, capacity development, and cooperation. Essential for trust in stored data and digital services.",5,GCI score 80+ (Role-modelling),2024,GCI 100/100 top 12,ict-storage-cybersecurity,19,https://en.amwalalghad.com/egypt-achieves-100-score-on-global-cybersecurity-index/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.tra.gov.eg/en/egypt-classified-in-tier-1-according-to-itu-global-cybersecurity-index/; https://www.itu.int/en/mediacentre/Pages/PR-2024-09-10-Global-Cybersecurity-Index.aspx","Confirmed with authoritative sources: Egypt's own telecoms regulator (NTRA) and the ITU's official GCI 2024 press release both confirm Egypt scored 100/100 and was placed in Tier 1 ('Role-Modelling'), one of only 12 countries at the maximum score. Score of 5 confirmed; source upgraded from a news aggregator to NTRA/ITU primary sources."
EGY,Egypt,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Data Localisation Requirements,"Whether the country has enacted legal or regulatory requirements mandating that certain categories of data (personal data, government data, financial data, or critical infrastructure data) be stored within national borders. Central to data sovereignty debates in Africa.",3,"Sectoral requirements only (e.g., financial or telecoms data)",2024,Sectoral for classified data Cloud First Policy,ict-storage-datalocalisation,16,https://digitalpolicyalert.org/change/12346,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://digitalpolicyalert.org/change/12346-data-localisation-requirement-in-cloud-first-policy-2024; https://digitalpolicyalert.org/digest/dpa-digital-digest-egypt","Confirmed: the Supreme Council of Digital Society's Cloud First Policy (in force August 2024) mandates that only data classified 'top secret' or 'secret' be hosted exclusively within Egypt — a narrow, sectoral requirement, not a general personal-data localisation mandate. The Personal Data Protection Law's cross-border transfer rules require a licence/consent for international transfer but do not mandate in-country storage of all personal data. Score of 3 (sectoral requirements only) confirmed; no change."
EGY,Egypt,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Data Protection Legislation,Whether the country has enacted comprehensive data protection and privacy legislation. A foundational legal requirement for building trust in digital public infrastructure and for enabling secure cross-border data flows under frameworks like the AU Convention on Cyber Security and Personal Data Protection.,4,Legislation enacted with Data Protection Authority established,2020,PDP Law enacted DPA est,ict-storage-dataprotection,17,https://www.dlapiperdataprotection.com/?t=law&c=EG,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.dlapiperdataprotection.com/?c=EG&t=law; https://eg.andersen.com/translation-law-151-2020/; https://www.bakermckenzie.com/-/media/files/insight/publications/2026/01/egypt--important-data-protection-update.pdf","Confirmed: Personal Data Protection Law No. 151 of 2020 established the Personal Data Protection Centre (PDPC) as a public authority. Note that comprehensive Executive Regulations only entered into force via Ministerial Decree No. 6 of 2025/2026, meaning active enforcement is only now beginning — this keeps the score at 4 ('enacted with authority established') rather than 5 ('mature framework with active enforcement'). No change; flag for re-check once enforcement track record accumulates."
EGY,Egypt,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Commercial Data Center Presence,"The presence and tier quality of commercial/colocation data center facilities operating in the country. Commercial data centers provide the physical infrastructure for hosting cloud services, content delivery, and enterprise applications domestically.",3,At least one Tier III facility,2024,"Multiple Tier III (Telecom Egypt RDH, Raya)",ict-storage-dcpresence,14,https://ir.te.eg/en/CorporateNews/PressRelease/211/Telecom-Egypt-s-Regional-Data-Hub-2-Awarded-Tier-III-Design-Certification,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://ir.te.eg/en/CorporateNews/PressRelease/211/Telecom-Egypt-s-Regional-Data-Hub-2-Awarded-Tier-III-Design-Certification; https://te.eg/interactivemap/assets/downloads/Telecom_Egypt_The_Digital_Hub.pdf; https://www.trade.gov/market-intelligence/egypt-data-centers","The original comment already names multiple Tier III facilities (Telecom Egypt's RDH1, certified Tier III Constructed Facility in 2021, and RDH2, awarded Tier III Design Certification in 2024), which meets the 'multiple Tier III facilities' bar in the scale, not just 'at least one'. The US ITA's 2025 market report also confirms a growing multi-operator market (Africa Data Centres, Gulf Data Hub, Khazna, Raya). Recalculated upward to 4."
