Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
GNB,Guinea-Bissau,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,4G/LTE Population Coverage,"Percentage of the national population covered by at least one 4G/LTE mobile network signal, whether or not they subscribe to the service. 4G is the practical minimum for meaningful broadband connectivity enabling digital services.",3,50-74%,2025,"81.8% broadband connections (3G+), assume 50-74% 4G coverage. [[GSMA via DataReportal](https://datareportal.com/reports/digital-2025-guinea-bissau)]",ict-connectivity-4gcoverage,9,https://datareportal.com/reports/digital-2025-guinea-bissau,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,"https://datahub.itu.int/data/?e=1&i=100095&s=19306&v=chart (ITU DataHub, Population coverage by mobile network technology); https://datareportal.com/reports/digital-2025-guinea-bissau","ITU DataHub records Guinea-Bissau 4G population coverage at 35.8% (2024), which falls in the 25-49% band, not 50-74%. The original score was derived from a 3G+ broadband-connections proxy, not actual 4G network coverage, and is not a valid basis for this variable. Revised to code 2 on the authoritative ITU dataset."
GNB,Guinea-Bissau,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Data Affordability,"Affordability of mobile broadband data, measured as the cost of a basic mobile data plan (1-2GB) as a percentage of GNI per capita. The UN Broadband Commission target is below 2% of monthly GNI per capita. Affordability is the single largest barrier to internet adoption in Africa.",3,Moderate (2-5%),2023,Avg $2.72/1GB (~3-5% GNI est). [[Statista/Cable.co.uk](https://www.statista.com/statistics/1272954/price-for-mobile-data-in-guinea-bissau/)],ict-connectivity-dataafford,11,https://www.statista.com/statistics/1272954/price-for-mobile-data-in-guinea-bissau/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://pulse.internetsociety.org/en/reports/gw/ (ISOC Pulse, ITU-derived); https://www.itu.int/en/ITU-D/Statistics/Pages/ICTprices/2024default.aspx (ITU ICT Price Baskets)","Internet Society Pulse, which draws on ITU price-basket data, shows the low-consumption mobile basket costing between 4.8% and 6.1% of GNI per capita on separate checks — straddling the boundary between 'Moderate (2-5%)' and 'Expensive (5-10%)'. The original single Statista estimate is a weak, unverified calculation. Evidence is too close to the band boundary to confidently confirm or change the code; flagged for human review against the current ITU ICT Price Basket country-level file."
GNB,Guinea-Bissau,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Usage Rate,"Percentage of individuals who used the internet (from any location, via any device) in the last three months. This measures actual internet adoption beyond network availability, capturing the combined effect of infrastructure, affordability, digital literacy, and relevance.",3,30-49%,2025,32.5% individuals using internet (30-49%). [[DataReportal](https://datareportal.com/reports/digital-2025-guinea-bissau)],ict-connectivity-internetuse,10,https://datareportal.com/reports/digital-2025-guinea-bissau,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://datareportal.com/reports/digital-2025-guinea-bissau; https://datareportal.com/reports/digital-2026-guinea-bissau; https://pulse.internetsociety.org/en/reports/gw/","Confirmed. DataReportal/GSMA Intelligence records 32.5% internet users (early 2025) and ISOC Pulse (ITU-based) records approximately 30% (2024/25); both corroborate the 30-49% band. Value Code 3 stands."
GNB,Guinea-Bissau,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Phone Penetration,"Unique mobile subscriber penetration rate as a percentage of the total population. Measures the proportion of individuals who subscribe to a mobile service (not SIM cards, which can be multiple per person). Mobile phones are the primary device for internet access in Africa.",5,70%+,2025,118 connections/100 pop (GSMA; unique likely 70%+). [[GSMA via DataReportal](https://datareportal.com/reports/digital-2025-guinea-bissau)],ict-connectivity-mobilepen,7,https://datareportal.com/reports/digital-2025-guinea-bissau,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://watra.org/guinea-bissau/ (ARN/WATRA national regulator data); https://datareportal.com/reports/digital-2025-guinea-bissau","The originally cited figure (118 connections per 100 population) measures SIM connections, not unique subscribers, which the variable explicitly excludes. National regulator data (ARN, via WATRA) reports 76.8% mobile penetration (1.5m active subscribers, 2020), a better proxy for unique subscribers, and it still falls in the 70%+ band. Code 5 confirmed, but the best available country-specific figure is from 2020; a current GSMA Intelligence unique-subscriber estimate could not be freely accessed and would be preferable."
GNB,Guinea-Bissau,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Smartphone Adoption,"Percentage of mobile connections using smartphones (as opposed to feature phones or basic phones). Smartphones are the minimum device requirement for accessing most digital public infrastructure services, apps, and mobile internet.",2,20-39%,2020,10% smartphone penetration. [[WATRA/GSMA](https://watra.org/guinea-bissau/)],ict-connectivity-smartphonepen,8,https://watra.org/guinea-bissau/,1,Medium,single_source,Only one source for a substantive score — corroborate.,1,https://watra.org/guinea-bissau/ (ARN/GSMA data cited by WATRA),"The cited source itself states smartphone penetration was 10% in 2020 (GSMA, via WATRA/ARN), which falls in the <20% band (code 1), not 20-39% (code 2) as recorded — a coding error against the analyst's own source. No fresher Guinea-Bissau-specific smartphone-adoption estimate could be located; GSMA's 2023/24 Sub-Saharan Africa figures are regional averages only. Revised to code 1; likely understates current adoption given regional growth trends, but no newer country-level data is available."
GNB,Guinea-Bissau,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Government Data Center / Cloud Strategy,Whether the government has established dedicated data center infrastructure and/or a government cloud (G-Cloud) strategy for hosting e-government services and public sector data domestically. Critical for data sovereignty and e-government service delivery.,2,Government data center planned or under construction,2024,National Digital Transformation Strategy planned (no operational). [[UNU-EGOV](https://unu.edu/egov/project/national-strategy-digital-transformation-guinea-bissau)],ict-storage-govcloud,15,https://unu.edu/egov/project/national-strategy-digital-transformation-guinea-bissau,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://documents1.worldbank.org/curated/en/099061523115010183/pdf/P179627-b7cacceb-3c50-4061-8f7e-c52e69bb90e7.pdf (World Bank Digital Policy Dialogue, 2023); https://www.informea.org/en/content/legislation/decree-no-102025-approving-national-strategy-digital-transformation-entdgw (Decree No. 10/2025); https://www.tendersinfo.com/tenders_details/515076374 (National GovCloud equipment tender, Feb 2025)","The World Bank's 2023 Digital Policy Dialogue note confirms the ICT agency ITMA already operates a hybrid cloud datacentre hosting several hundred e-government applications, and Guinea-Bissau's National Strategy for Digital Transformation (ENTD.GW 2025-2030) was formally adopted by Decree No. 10/2025 (28 March 2025) and publicly launched in January 2025 — a comprehensive, adopted strategy, not merely 'planned' as originally recorded. A February 2025 tender for equipment to establish a formal National GovCloud further evidences active build-out. Revised from code 2 (planned/under construction) to code 4 (national data centre operational with cloud strategy adopted)."
GNB,Guinea-Bissau,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Electricity Access Rate,"Percentage of national population with access to electricity (grid or off-grid). This is the primary indicator of energy infrastructure availability for ICT. Based on World Bank/IEA Tracking SDG7 data, national statistical offices, or Afrobarometer surveys.",2,25-49%,2023,40.5% population with electricity access (25-49%). [[World Bank via Trading Economics](https://tradingeconomics.com/guinea-bissau/access-to-electricity-percent-of-population-wb-data.html)],ict-energy-elecaccess,1,https://tradingeconomics.com/guinea-bissau/access-to-electricity-percent-of-population-wb-data.html,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://data.worldbank.org/indicator/EG.ELC.ACCS.UR.ZS?locations=GW; https://data.worldbank.org/indicator/EG.ELC.ACCS.RU.ZS?locations=GW","Confirmed directly against World Bank urban (64.3%) and rural (20.7%) electrification data (2023); population-weighted (46% urban/54% rural) this computes to approximately 40.8%, closely matching the cited 40.5% national figure. Falls within the 25-49% band (code 2)."
GNB,Guinea-Bissau,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Off-Grid and Distributed Energy Policy,"Whether the country has established policies, regulations, and programmes supporting off-grid and distributed energy solutions (mini-grids, solar home systems). These are critical for extending ICT infrastructure to unserved areas beyond the central grid.",2,Basic policy exists but limited implementation,2018,Basic policy/NREAP with some mini-grids deployed. [[SE4All](https://www.se4allnetwork.org/news/living-transformation-guinea-bissau-attracts-investment-20-mw-solar-pv-power-station-and-mini)],ict-energy-offgridpolicy,6,https://www.se4allnetwork.org/news/living-transformation-guinea-bissau-attracts-investment-20-mw-solar-pv-power-station-and-mini,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,"https://documents1.worldbank.org/curated/en/099050824170015949/txt/BOSIB13f7a850607e198901efac75563838.txt (World Bank Regional Electricity Access Project); https://www.se4allnetwork.org/news/living-transformation-guinea-bissau-attracts-investment-20-mw-solar-pv-power-station-and-mini","The originally cited 2018 source described mini-grids as still at planning/tender stage. A World Bank Regional Electricity Access Project document confirms an EU-financed solar mini-grid on Bolama island (550 kWp with battery storage) became operational in January 2024, alongside a further World Bank-financed component (approx. US$8.5m) for distributed solar/mini-grid solutions targeting the Bijagos islands (households and health facilities). This indicates an active policy with some actual deployment rather than a largely unimplemented basic framework. Revised from code 2 to code 3."
GNB,Guinea-Bissau,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Urban-Rural Electrification Gap,"The gap between urban and rural electricity access rates. A smaller gap indicates more equitable energy distribution, critical for ensuring ICT infrastructure can serve the whole population, not just cities.",2,Gap 41-60pp,2023,"Urban 64.3%, rural 20.7%, gap 43.6pp (41-60pp). [[World Bank](https://data.worldbank.org/indicator/EG.ELC.ACCS.RU.ZS)]",ict-energy-urbanruraldevide,2,https://data.worldbank.org/indicator/EG.ELC.ACCS.RU.ZS,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://data.worldbank.org/indicator/EG.ELC.ACCS.UR.ZS?locations=GW; https://data.worldbank.org/indicator/EG.ELC.ACCS.RU.ZS?locations=GW","Confirmed directly against World Bank data: urban access 64.3%, rural access 20.7% (2023), a gap of 43.6 percentage points, sitting within the 41-60pp band (code 2)."
GNB,Guinea-Bissau,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Technical Capacity,Developer and Tech Community,"The size and vibrancy of the local software developer and technology professional community. Measured through proxies such as GitHub activity, Stack Overflow representation, local tech meetup groups, and developer surveys. Indicates the country's capacity to build and maintain digital systems locally.",2,"Emerging (small but growing community, <1,000 active developers)",2019,Emerging; 550% GitHub growth (small base &lt;1000). [[GitHub Octoverse](https://techweez.com/2019/11/11/kenya-software-developer-communities-github/)],ict-capacity-devcommunity,22,https://techweez.com/2019/11/11/kenya-software-developer-communities-github/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://new.afrilabs.com/index.php/2021/06/28/we-are-15-members-stronger/ (AfriLabs); https://innovalab-gw.org/ (Innova Lab); https://bissau.impacthub.net/ (Impact Hub Bissau / Kau Criar)","The originally cited source is a 2019 article about Kenya's developer community that only mentions Guinea-Bissau in passing (550% GitHub contributor growth off a very small base) — not a Guinea-Bissau-focused source. Better evidence found: Guinea-Bissau has at least two active AfriLabs-affiliated hubs, Innova Lab (joined AfriLabs 2021; incubating start-ups since 2015) and Impact Hub Bissau/Kau Criar, both running mentoring and training programmes. No country-specific GitHub or developer-count data more recent than 2019 could be found. This qualitatively supports an 'Emerging' community well under 1,000 active developers; code 2 confirmed, though on hub evidence rather than a hard developer count — worth a human check against current GitHub Octoverse country breakdowns if available."
