Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
KEN,Kenya,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,4G/LTE Population Coverage,"Percentage of the national population covered by at least one 4G/LTE mobile network signal, whether or not they subscribe to the service. 4G is the practical minimum for meaningful broadband connectivity enabling digital services.",5,90%+,2026,98% population covered,ict-connectivity-4gcoverage,9,https://www.gsma.com/newsroom/press-release/kenyas-digital-economy-to-contribute-ksh-662-billion-to-gdp-by-2028-driven-by-policy-reforms/,1,Medium,single_source,Only one source for a substantive score — corroborate.,5,"https://www.ca.go.ke/mobile-internet-and-tech-services-surge-kenya-digital-shift-accelerates; https://www.gsma.com/about-us/regions/sub-saharan-africa/wp-content/uploads/2024/10/KENYA-DIGITAL-ECONOMY-REPORT-17TH-OCTOBER-V2.pdf","Original citation is a GSMA GDP press release that does not actually report a 4G coverage figure. Communications Authority of Kenya reports 97.3% 4G population coverage (Oct 2025) and GSMA's Kenya Digital Economy Report cites 98% (2023 data). Both corroborate the 90%+ band; code confirmed, sources replaced."
KEN,Kenya,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Data Affordability,"Affordability of mobile broadband data, measured as the cost of a basic mobile data plan (1-2GB) as a percentage of GNI per capita. The UN Broadband Commission target is below 2% of monthly GNI per capita. Affordability is the single largest barrier to internet adoption in Africa.",5,Meets UN target (<1%),,2025,ict-connectivity-dataafford,11,https://statranker.org/digital-innovation/top-100-countries-by-price-of-1gb-mobile-data-usd-2025/,1,Medium,single_source;no_year,Only one source for a substantive score — corroborate. No data year recorded — provenance/recency unknown.,0,"https://www.itu.int/dms_pub/itu-d/opb/ind/D-IND-ICT_PRICES.01-2025-PDF-E.pdf; https://www.itu.int/itu-d/reports/statistics/wp-content/uploads/sites/5/2025/05/2500663E.pdf","Original source (statranker.org) is a low-quality aggregator that did not surface Kenya's specific figure in the fetched table. ITU's 2025 affordability report (2024 data) confirms qualitatively that Kenya's data-only basket is 'lower than 2% of GNI per capita', consistent with either the 1-2% or <1% band, but the exact percentage needed to distinguish code 4 from code 5 could not be located. Marked for human review — pull Kenya's exact value from the ITU ICT Price Basket dataset."
KEN,Kenya,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Usage Rate,"Percentage of individuals who used the internet (from any location, via any device) in the last three months. This measures actual internet adoption beyond network availability, capturing the combined effect of infrastructure, affordability, digital literacy, and relevance.",4,50-69%,2024,40.8% individuals using internet,ict-connectivity-internetuse,10,https://datareportal.com/reports/digital-2024-kenya,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,"https://datareportal.com/reports/digital-2025-kenya; https://www.ca.go.ke/sites/default/files/2025-08/Fact%20Sheet%20on%20ICT%20Analytical%20Report%20Based%20on%20Kenya%20Housing%20Survey%202023-2024%20Final%20WEB%20Version.pdf; https://www.ecofinagency.com/news-digital/1602-52943-kenya-moves-to-strengthen-rural-connectivity-through-spectrum-reform","The original comment cites 40.8% (2024) which itself falls in the 30-49% band, yet was coded 50-69% — an internal scoring error. Confirmed with DataReportal 2025 (48.0% penetration, Jan 2025), the CA/KNBS 2023/24 Kenya Housing Survey (~35% national internet usage) and ITU data cited by Ecofin (35%, 2024). All fall in the 30-49% range. Revised to code 3."
KEN,Kenya,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,International Internet Bandwidth,"The country's total international internet bandwidth capacity per internet user, indicating the quality and capacity of the country's connection to the global internet. Determined by submarine cable landings (for coastal states), cross-border terrestrial fibre (for landlocked states), and satellite links.",2,Low (5-19 kbit/s),,2016,ict-connectivity-intlbandwidth,12,https://www.theglobaleconomy.com/Kenya/Internet_bandwidth/,1,Medium,single_source;no_year,Only one source for a substantive score — corroborate. No data year recorded — provenance/recency unknown.,3,https://www.theglobaleconomy.com/Kenya/Internet_bandwidth/ (ITU-sourced),"The cited figure (25.20 kbit/s per internet user, ITU data, 2016 — the same source used originally) falls in the 'Moderate (20-49 kbit/s)' band, not 'Low (5-19)' as scored: a mapping error against the source's own data. No more recent ITU international-bandwidth-per-user figure for Kenya could be located (ITU DataHub requires account access; no public 2020s figure found). Revised to code 3, but flagged — data is a decade old and should be refreshed."
KEN,Kenya,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Phone Penetration,"Unique mobile subscriber penetration rate as a percentage of the total population. Measures the proportion of individuals who subscribe to a mobile service (not SIM cards, which can be multiple per person). Mobile phones are the primary device for internet access in Africa.",5,70%+,2017,59% unique subscribers (likely higher),ict-connectivity-mobilepen,7,https://www.geopoll.com/blog/mobile-penetration-kenya/,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,https://datahub.itu.int/data/?e=KEN,"Original source cited a 2017 GSMA estimate (59%) alongside a speculative, unsourced '(likely higher)' — not evidence for the 70%+ band. ITU DataHub's Kenya country page (2024 data) records 53.7% of individuals owning a mobile cellular telephone, the closest authoritative proxy for unique-subscriber penetration, placing Kenya in the 40-54% band. Revised to code 3."
KEN,Kenya,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Smartphone Adoption,"Percentage of mobile connections using smartphones (as opposed to feature phones or basic phones). Smartphones are the minimum device requirement for accessing most digital public infrastructure services, apps, and mobile internet.",4,60-79%,2025,62% connections smartphones,ict-connectivity-smartphonepen,8,https://www.citizen.digital/tech/kenyans-shunning-locally-made-smartphones-over-quality-concerns-n373130,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.citizen.digital/tech/kenyans-shunning-locally-made-smartphones-over-quality-concerns-n373130; https://www.ca.go.ke/mobile-internet-and-tech-services-surge-kenya-digital-shift-accelerates","GSMA-sourced figure (62% of mobile connections are smartphones, via Citizen Digital, Nov 2025) directly matches the variable definition and confirms the 60-79% band. The Communications Authority separately reports 83.5% 'smartphone penetration' (June 2025) using a different denominator (devices/population); noted for context but GSMA's connection-share measure is the closer match. Code confirmed, unchanged."
KEN,Kenya,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,National Cybersecurity Readiness,"The country's overall cybersecurity preparedness, based on the ITU Global Cybersecurity Index (GCI). Covers legal measures, technical measures, organisational measures, capacity development, and cooperation. Essential for trust in stored data and digital services.",5,GCI score 80+ (Role-modelling),,2024,ict-storage-cybersecurity,19,https://statbase.org/data/ken-global-cybersecurity-index/,1,Medium,single_source;no_year,Only one source for a substantive score — corroborate. No data year recorded — provenance/recency unknown.,,"https://www.itu.int/en/mediacentre/Pages/PR-2024-09-10-Global-Cybersecurity-Index.aspx; https://www.citizen.digital/news/kenya-tanzania-rank-among-top-countries-with-best-cybersecurity-globally-n350021","Original source (statbase.org, an aggregator) claimed a Kenya GCI 2024 score of 98.59. Corroborated against ITU's own GCI 2024 press release and a Kenyan news report confirming Kenya was placed in Tier 1 ('Role-Modelling', the highest tier, alongside 45 other countries). This matches the GCI 80+ band. Code confirmed with authoritative sourcing."
KEN,Kenya,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Data Localisation Requirements,"Whether the country has enacted legal or regulatory requirements mandating that certain categories of data (personal data, government data, financial data, or critical infrastructure data) be stored within national borders. Central to data sovereignty debates in Africa.",3,"Sectoral requirements only (e.g., financial or telecoms data)",,2024,ict-storage-datalocalisation,16,https://ict.go.ke/...Cloud-Policy-2024.pdf,1,Medium,single_source;no_year,Only one source for a substantive score — corroborate. No data year recorded — provenance/recency unknown.,4,"https://www.odpc.go.ke/wp-content/uploads/2026/04/Guidance-Note-on-Cross-border-Data-Transfers.pdf; https://digitalpolicyalert.org/event/25732-adopted-micde-kenya-cloud-policy-2024-encouraging-entities-to-consider-data-residency-sovereignty-and-security; https://cipit.strathmore.edu/kenyas-cloud-policy-explained-a-framework-for-secure-and-strategic-cloud-adoption/","Original source URL was truncated/broken and unfetchable. Verified instead against the Data Protection Act 2019 (s.50) and its General Regulations 2021, plus the Office of the Data Protection Commissioner's 2026 cross-border transfer guidance: personal data processed for 'strategic interest of the state' — spanning civil registration/identity, elections, public finance, critical information infrastructure, basic education and healthcare — must be stored/processed in Kenya. This is broader than a single financial/telecoms sector rule, plus the Kenya Cloud Policy (2024) further encourages data residency across government generally. Revised up to code 4 (comprehensive requirements for broad categories)."
KEN,Kenya,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Government Data Center / Cloud Strategy,Whether the government has established dedicated data center infrastructure and/or a government cloud (G-Cloud) strategy for hosting e-government services and public sector data domestically. Critical for data sovereignty and e-government service delivery.,4,National data center operational with cloud strategy adopted,,2024,ict-storage-govcloud,15,https://ict.go.ke/...Cloud-Policy-2024.pdf,1,Medium,single_source;no_year,Only one source for a substantive score — corroborate. No data year recorded — provenance/recency unknown.,,"https://konza.go.ke/konza-cloud/; https://icta.go.ke/page?q=204&type=projects; https://digitalpolicyalert.org/event/25732-adopted-micde-kenya-cloud-policy-2024-encouraging-entities-to-consider-data-residency-sovereignty-and-security","Original source URL was broken. Verified via the Konza National Data Centre (operational, hosting 145 of 451 government institutions on the Konza Cloud platform) and the Kenya Cloud Policy (2024), issued by the Ministry of ICT in December 2024, which formalises a national cloud-migration strategy. This matches 'national data centre operational with cloud strategy adopted'. Code confirmed, sources replaced."
KEN,Kenya,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Electricity Access Rate,"Percentage of national population with access to electricity (grid or off-grid). This is the primary indicator of energy infrastructure availability for ICT. Based on World Bank/IEA Tracking SDG7 data, national statistical offices, or Afrobarometer surveys.",4,75-89%,2025,76% population access (75-89% score 4),ict-energy-elecaccess,1,https://ourworldindata.org/data-insights/kenya-has-made-substantial-progress-in-providing-access-to-electricity,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://ourworldindata.org/data-insights/kenya-has-made-substantial-progress-in-providing-access-to-electricity; https://gogla.org/wp-content/uploads/2024/11/Kenya-Country-Brief.pdf","Our World in Data (citing World Bank) confirms 76% electricity access as of 2023, within the 75-89% band. GOGLA's Kenya country brief separately corroborates a ~75% national electrification rate. Code confirmed."
