Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
LBR,Liberia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,4G/LTE Population Coverage,"Percentage of the national population covered by at least one 4G/LTE mobile network signal, whether or not they subscribe to the service. 4G is the practical minimum for meaningful broadband connectivity enabling digital services.",4,75-89%,2023,80%. [Ecofin](https://www.ecofinagency.com/news-digital/0302-52542-liberia-outlines-national-digital-transformation-plan-for-2025-2029),ict-connectivity-4gcoverage,9,https://www.ecofinagency.com/news-digital/0302-52542-liberia-outlines-national-digital-transformation-plan-for-2025-2029,1,Medium,single_source,Only one source for a substantive score — corroborate.,,https://www.ecofinagency.com/news-digital/0302-52542-liberia-outlines-national-digital-transformation-plan-for-2025-2029,"Confirmed. The same Ecofin article explicitly attributes the figure to the ITU 2024 ICT Development report: 4G population coverage was 80% in 2023 (2G/3G at 85.4%). This sits squarely in the 75-89% band. No conflicting figure found; treat as confirmed rather than single-source now that the ITU attribution is explicit."
LBR,Liberia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Usage Rate,"Percentage of individuals who used the internet (from any location, via any device) in the last three months. This measures actual internet adoption beyond network availability, capturing the combined effect of infrastructure, affordability, digital literacy, and relevance.",3,30-49%,2023,23.5% individuals using internet (30-49%). [World Bank/ITU](https://tradingeconomics.com/liberia/individuals-using-the-internet-percent-of-population-wb-data.html),ict-connectivity-internetuse,10,https://tradingeconomics.com/liberia/individuals-using-the-internet-percent-of-population-wb-data.html,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,"https://tradingeconomics.com/liberia/individuals-using-the-internet-percent-of-population-wb-data.html, https://www.ecofinagency.com/news-digital/0302-52542-liberia-outlines-national-digital-transformation-plan-for-2025-2029","Original row cites 23.5% but wrongly bands it as 30-49% (code 3); 23.5% actually falls in the 15-29% band (code 2). World Bank WDI and an ITU-sourced Ecofin article (2024 ICT Development Report) independently corroborate 23.5% for 2023, so the score is corrected to 2. Note DataReportal (Kepios) gives a higher, divergent estimate of 32.4% for early 2025 and 30.0% for late 2025 using a different methodology; if that estimate is preferred instead of the ITU/World Bank series the score would revert to band 3 — flagging this divergence for human review."
LBR,Liberia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Phone Penetration,"Unique mobile subscriber penetration rate as a percentage of the total population. Measures the proportion of individuals who subscribe to a mobile service (not SIM cards, which can be multiple per person). Mobile phones are the primary device for internet access in Africa.",4,55-69%,2025,90.1% connections. [GSMA](https://datareportal.com/reports/digital-2025-liberia),ict-connectivity-mobilepen,7,https://datareportal.com/reports/digital-2025-liberia,1,Medium,single_source,Only one source for a substantive score — corroborate.,0,https://datareportal.com/reports/digital-2025-liberia,"The cited 90.1% is GSMA Intelligence's cellular connections/SIM figure (DataReportal explicitly notes some connections are voice/SMS-only and that people can hold multiple SIMs), not the unique-subscriber penetration the variable requires. No free public source (ITU, GSMA Mobile Connectivity Index summary, World Bank) gives a Liberia-specific unique-subscriber percentage; GSMA Intelligence's unique-subscriber dataset sits behind a paywall. The SSA regional unique-subscriber average was ~44% in 2023 (GSMA Mobile Economy SSA 2024), well below the connections-based figure, so the true value is likely lower than the 55-69% band originally coded, but this cannot be confirmed without licensed GSMA data. Recoded to 0 (Unknown) and flagged for human review / access to GSMA Intelligence."
LBR,Liberia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Data Protection Legislation,Whether the country has enacted comprehensive data protection and privacy legislation. A foundational legal requirement for building trust in digital public infrastructure and for enabling secure cross-border data flows under frameworks like the AU Convention on Cyber Security and Personal Data Protection.,2,Draft legislation or partial provisions in other laws,2025,Draft/partial; no DPA. [DLA Piper](https://www.dlapiperdataprotection.com/index.html?t=law&c=LR),ict-storage-dataprotection,17,https://www.dlapiperdataprotection.com/index.html?t=law&c=LR,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.dlapiperdataprotection.com/index.html?t=law&c=LR, https://frontpageafricaonline.com/news/liberia-stakeholders-validate-personal-data-protection-and-privacy-draft-legislation-push-for-legislative-action/, https://www.liberianobserver.com/politics/house-reviews-privacy-data-protection-bill/article_6675211a-e8bc-43c6-8e04-e73cbf26278a.html, https://dataprotection.africa/liberia/","Confirmed. Liberia has no enacted standalone data protection law and no Data Protection Authority. The Personal Data Protection and Privacy Act of 2024 was stakeholder-validated in December 2024 and was still before the House of Representatives' Post and Telecommunications Committee as of June 2025, consistent with 'draft legislation/partial provisions' (code 2). Corroborated by DLA Piper, FrontPageAfrica, Liberian Observer and Data Protection Africa."
LBR,Liberia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Commercial Data Center Presence,"The presence and tier quality of commercial/colocation data center facilities operating in the country. Commercial data centers provide the physical infrastructure for hosting cloud services, content delivery, and enterprise applications domestically.",2,Small-scale facilities only (Tier I-II),2025,National Data Center small-scale. [Liberia Digital Strategy](https://mopt.gov.lr/wp-content/uploads/2025/09/Liberia-National-Digital-Strategy.pdf),ict-storage-dcpresence,14,https://mopt.gov.lr/wp-content/uploads/2025/09/Liberia-National-Digital-Strategy.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://ltcmobile.com.lr/public/service/5/Data-Center-Based-Services, https://mopt.gov.lr/wp-content/uploads/2022/06/2026-Liberia-Data-Governance-Policy-REVISED-CIPESA-1.pdf","Original PDF returned a 403 error on refetch; corroborated instead via LTC Mobile (state operator), which advertises co-location/hosting at 'Liberia's first National data center', and a 2026 CIPESA-authored National Data Governance Policy draft, which describes a Tier III+ facility 'currently under development' in Buchanan. No operational Tier III facility yet confirmed, so 'small-scale facilities only' (code 2) remains the best-supported reading; the Buchanan Tier III+ site is prospective, not yet operational."
LBR,Liberia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Government Data Center / Cloud Strategy,Whether the government has established dedicated data center infrastructure and/or a government cloud (G-Cloud) strategy for hosting e-government services and public sector data domestically. Critical for data sovereignty and e-government service delivery.,2,Government data center planned or under construction,2025,Cloud strategy planned. [Liberia Digital Strategy](https://mopt.gov.lr/wp-content/uploads/2025/09/Liberia-National-Digital-Strategy.pdf),ict-storage-govcloud,15,https://mopt.gov.lr/wp-content/uploads/2025/09/Liberia-National-Digital-Strategy.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://mopt.gov.lr/wp-content/uploads/2022/06/2026-Liberia-Data-Governance-Policy-REVISED-CIPESA-1.pdf, https://ltcmobile.com.lr/public/service/5/Data-Center-Based-Services, https://www.ecofinagency.com/news-digital/0302-52542-liberia-outlines-national-digital-transformation-plan-for-2025-2029, https://www.telecomreviewafrica.com/articles/general-news/28228-liberia-launches-five-year-digital-strategy-to-strengthen-sovereignty-and-innovation/","Evidence now goes beyond 'planned/under construction'. An operational National Data Center already exists at state operator LTC-Mobile and is being upgraded under the World Bank-financed GREAT project (per the 2026 CIPESA data governance policy draft), and the government formally adopted and launched its National Digital Strategy 2025-2029 (confirmed by Ecofin and Telecom Review Africa, Feb 2026), which includes cloud/data-sovereignty priorities. This matches code 4 ('national data centre operational with cloud strategy adopted') better than code 2; recoded accordingly, though the maturity of the cloud strategy component (vs the data centre itself) still merits monitoring."
LBR,Liberia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Electricity Access Rate,"Percentage of national population with access to electricity (grid or off-grid). This is the primary indicator of energy infrastructure availability for ICT. Based on World Bank/IEA Tracking SDG7 data, national statistical offices, or Afrobarometer surveys.",3,50-74%,2023,32.5%. [World Bank](https://blogs.worldbank.org/en/africacan/looking-ahead-perspective-on-the-national-electricity-utility-of-liberia),ict-energy-elecaccess,1,https://blogs.worldbank.org/en/africacan/looking-ahead-perspective-on-the-national-electricity-utility-of-liberia,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,"https://blogs.worldbank.org/en/africacan/looking-ahead-perspective-on-the-national-electricity-utility-of-liberia, https://rise.esmap.org/country/liberia, https://sun-connect.org/wp-content/uploads/gender_renewable_energy_country_diagnostics_liberia_final_draft.pdf","The cited figure of 32.5% was wrongly banded as 50-74% (code 3); it falls in the 25-49% band (code 2). Corroborated by World Bank/ESMAP RISE (33% of population, 2023) and a gender/renewable-energy country diagnostic citing 31.8-33%. All three sources agree access is in the low-30s percent, so the value code is corrected to 2."
LBR,Liberia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Off-Grid and Distributed Energy Policy,"Whether the country has established policies, regulations, and programmes supporting off-grid and distributed energy solutions (mini-grids, solar home systems). These are critical for extending ICT infrastructure to unserved areas beyond the central grid.",3,Active policy with some deployment,2021,Active policy. [ESMAP](https://rise.esmap.org/country/liberia),ict-energy-offgridpolicy,6,https://rise.esmap.org/country/liberia,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://rise.esmap.org/country/liberia, https://gogla.org/wp-content/uploads/2024/11/Liberia-Country-Brief.pdf, https://www.esi-africa.com/renewable-energy/liberia-solar-mini-grids-to-provide-energy-to-rural-communities/, https://endev.info/calls/call-for-applications-liberia-solar-home-system-rbf/","Confirmed and strengthened. RISE/ESMAP shows a strong electrification governance and planning framework (score 90/100) including explicit provision for decentralised solutions. Active deployment is documented: the World Bank/EnDev/Japan-funded Solar Home System Results-Based Financing programme run by the Rural and Renewable Energy Agency (targeting tens of thousands of connections), and BGFA-funded Energicity mini-grids commissioned in Gbarpolu County (Feb 2025). This matches 'active policy with some deployment' (code 3); deployment scale is still modest relative to national population, so code 4 is not yet warranted."
LBR,Liberia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Grid Reliability (Power Outage Frequency),"Frequency and severity of power outages experienced by businesses and households. Based on World Bank Enterprise Surveys, Afrobarometer, or national utility data. Reflects the quality of electricity supply beyond mere access — critical for running ICT equipment and data infrastructure.",2,"Poor (weekly outages, intermittent load shedding)",2017,4.5 outages/month. [Enterprise Survey](https://espanol.enterprisesurveys.org/content/dam/enterprisesurveys/documents/country-profiles/Liberia-2017.pdf),ict-energy-reliability,3,https://espanol.enterprisesurveys.org/content/dam/enterprisesurveys/documents/country-profiles/Liberia-2017.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,1,"https://liberiapublicradio.com/2025/02/07/liberia-struggles-for-a-stable-power-solution-amid-shortages-from-cote-divoire-and-soaring-petroleum-prices/, https://liberianinvestigator.com/liberia-electricity-generation-plan-2025/, https://liberianinvestigator.com/lec-liberia-power-outages-imports-debt-demand-surge/, https://www.thenewdawnliberia.com/legacy-debt-low-capacity-blamed-for-liberias-power-outages/","The cited 2017 Enterprise Survey figure is nine years stale and no longer reflects the current situation. Multiple 2025-2026 reports (Liberia Public Radio, The Liberian Investigator, The New Dawn Liberia, FrontPageAfrica) describe recurring daily to near-daily load shedding of 8-12 hours, driven by cuts to Côte d'Ivoire power imports and insufficient domestic generation, persisting into March 2026. This is 'severe, frequent daily outages/regular load shedding' rather than 'poor, weekly outages'; recoded to 1 and the year updated in substance (comment year unchanged pending lead's decision on whether to update the Year field)."
LBR,Liberia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Renewable Energy Share of Generation,"Percentage of total electricity generation from renewable sources (hydro, solar, wind, geothermal, biomass). Indicates energy sustainability and potential for distributed power solutions relevant to ICT infrastructure in off-grid areas.",5,75%+,2024,69.84%. [World Bank](https://blogs.worldbank.org/en/africacan/looking-ahead-perspective-on-the-national-electricity-utility-of-liberia),ict-energy-renewableshare,4,https://blogs.worldbank.org/en/africacan/looking-ahead-perspective-on-the-national-electricity-utility-of-liberia,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://blogs.worldbank.org/en/africacan/looking-ahead-perspective-on-the-national-electricity-utility-of-liberia, https://sun-connect.org/wp-content/uploads/gender_renewable_energy_country_diagnostics_liberia_final_draft.pdf","The cited 69.84% was wrongly banded as 75%+ (code 5); it falls in the 50-74% band (code 4). Recoded accordingly using the same World Bank source (May 2025, 2024 data). Note a conflicting, lower IRENA-derived figure of 34.8% (2022 generation, from a gender/renewable energy country diagnostic) — the discrepancy is large and likely reflects differing treatment of imported electricity (largely hydro, from Côte d'Ivoire) versus domestic generation only; flagged for human review to reconcile which basis the metric should use."
