Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
NGA,Nigeria,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,4G/LTE Population Coverage,"Percentage of the national population covered by at least one 4G/LTE mobile network signal, whether or not they subscribe to the service. 4G is the practical minimum for meaningful broadband connectivity enabling digital services.",4,75-89%,2022,ITU country profile reports population covered by at least 4G mobile network = 81% in 2022 (75–89% band).,ict-connectivity-4gcoverage,9,https://www.itu.int/en/ITU-D/Statistics/Documents/DDD/ddd_NGA.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://www.itu.int/en/ITU-D/Statistics/Documents/DDD/ddd_NGA.pdf; https://ncc.gov.ng/sites/default/files/2025-11/2024-Year-End-Performance-Report.pdf; http://www.itu.int/dms_pub/itu-d/opb/pref/D-PREF-EF.TS_NIGERIA-2024-PDF-E.pdf","Confirmed. NCC's 2024 Year-End Performance Report shows 4G/LTE population coverage at 84.6% (Dec 2024) and ITU's 2024 Nigeria technical study reports 77.52% (2023); both remain within the 75-89% band, corroborating the original ITU 2022 figure (81%)."
NGA,Nigeria,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Data Affordability,"Affordability of mobile broadband data, measured as the cost of a basic mobile data plan (1-2GB) as a percentage of GNI per capita. The UN Broadband Commission target is below 2% of monthly GNI per capita. Affordability is the single largest barrier to internet adoption in Africa.",4,Affordable (1-2%),2022,"ITU reports mobile broadband basket cost = 1.8% of GNI per capita (2022), which falls in 1–2% affordability band.",ict-connectivity-dataafford,11,https://www.itu.int/en/ITU-D/Statistics/Documents/DDD/ddd_NGA.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,https://www.itu.int/en/ITU-D/Statistics/Documents/DDD/ddd_NGA.pdf,"Directly verified in the cited ITU dashboard: mobile broadband basket = 1.8% of GNI per capita (2022), correctly placing Nigeria in the 1-2% affordability band. No more recent Nigeria-specific ITU/A4AI figure was found; global/regional 2023-24 ITU reports do not disaggregate to Nigeria, so 2022 remains the latest verifiable country figure."
NGA,Nigeria,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Usage Rate,"Percentage of individuals who used the internet (from any location, via any device) in the last three months. This measures actual internet adoption beyond network availability, capturing the combined effect of infrastructure, affordability, digital literacy, and relevance.",3,30-49%,2022,ITU country profile reports Individuals using the Internet (ITU estimate) = 35% in 2022.,ict-connectivity-internetuse,10,https://www.itu.int/en/ITU-D/Statistics/Documents/DDD/ddd_NGA.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.itu.int/en/ITU-D/Statistics/Documents/DDD/ddd_NGA.pdf; https://fred.stlouisfed.org/series/ITNETUSERP2NGA; https://tradingeconomics.com/nigeria/individuals-using-the-internet-percent-of-population-wb-data.html","Confirmed. ITU/World Bank data show internet use rising from 35% (2022, as cited) to 39.2% (2023) and 41.2% (2024) — all comfortably within the 30-49% band."
NGA,Nigeria,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,International Internet Bandwidth,"The country's total international internet bandwidth capacity per internet user, indicating the quality and capacity of the country's connection to the global internet. Determined by submarine cable landings (for coastal states), cross-border terrestrial fibre (for landlocked states), and satellite links.",2,Low (5-19 kbit/s),2022,"ITU country profile shows international bandwidth per Internet user = 11 kbit/s (2022), within 5–19 kbit/s band.",ict-connectivity-intlbandwidth,12,https://www.itu.int/en/ITU-D/Statistics/Documents/DDD/ddd_NGA.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,https://www.itu.int/en/ITU-D/Statistics/Documents/DDD/ddd_NGA.pdf,"Directly verified: ITU dashboard confirms international bandwidth per internet user = 11 kbit/s (2022), within the 5-19 kbit/s band. No newer ITU country figure located; a stale TheGlobalEconomy.com mirror (2016, 3.15 kbit/s) is not used as it long predates and conflicts with the primary ITU figure."
NGA,Nigeria,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Exchange Point Presence,"Whether the country has an operational Internet Exchange Point (IXP) and its maturity. IXPs enable local internet traffic to be exchanged domestically rather than being routed internationally, reducing latency, costs, and dependence on foreign infrastructure. Critical for local digital ecosystem development.",4,Active IXP(s) with moderate participation,2026,"Nigeria has active IXP presence via IXPN (Nigeria Internet Exchange Point) with operational exchanges (e.g., Lagos, Abuja) indicating active IXPs with participation.",ict-connectivity-ixp,13,https://www.ixpn.ng/,1,Medium,single_source,Only one source for a substantive score — corroborate.,5,"https://technologytimes.ng/ixpn-hits-1tbps-in-landmark-move-for-nigeria/; https://itpulse.com.ng/how-local-peering-grew-ixpns-traffic-from-4-gbps-in-2015-to-1-7-tbps-in-2025/; https://techeconomy.ng/ixpn-outlines-achievements-2025-plans-at-members-engagement-forum/","Upgraded from 4 to 5. IXPN now operates 13 exchange points nationwide (Lagos, Abuja, Port Harcourt, Enugu, Kano, Delta, Gombe), has 130+ members including Google, Meta, Microsoft, TikTok, Amazon and all Nigerian MNOs, is MANRS-compliant, and carried 1.7 Tbps of peak traffic by early 2026 (up from 1 Tbps in April 2025) — evidencing a mature, broadly-participated IXP ecosystem rather than merely 'moderate participation'."
NGA,Nigeria,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Phone Penetration,"Unique mobile subscriber penetration rate as a percentage of the total population. Measures the proportion of individuals who subscribe to a mobile service (not SIM cards, which can be multiple per person). Mobile phones are the primary device for internet access in Africa.",4,55-69%,2022,"ITU country profile reports mobile-cellular subscriptions per 100 inhabitants = 102 (2022), implying high penetration (55–69%+ unique likely; using subscriptions as proxy gives score 4).",ict-connectivity-mobilepen,7,https://www.itu.int/en/ITU-D/Statistics/Documents/DDD/ddd_NGA.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/wp-content/uploads/2019/02/GSMA-Spotlight-on-Nigeria-Report.pdf; https://ncc.gov.ng/sites/default/files/2025-11/2024-Year-End-Performance-Report.pdf","NEEDS HUMAN REVIEW. The original score relied on mobile-cellular subscriptions per 100 (102, ITU 2022) — a SIM/connections measure, not the unique-subscriber penetration the variable requires; Nigeria has high multi-SIM ownership so this proxy is not appropriate. GSMA's own country data put unique-subscriber penetration at ~49-52% in 2018, trending towards 55% by 2025, and 2024 NCC data show a sharp fall in active subscriptions (224.7m to 164.9m) following NIN-SIM deduplication, making the true current unique-subscriber % genuinely unclear from freely available sources (GSMA Intelligence's precise current figure is paywalled). This sits close to the 40-54%/55-69% band boundary — flagged for human review rather than guessed."
NGA,Nigeria,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Cloud Services Availability,"The availability and presence of major cloud service providers (hyperscale and regional) operating in or serving the country with local or near-local infrastructure. Cloud availability determines access to scalable computing resources for government, business, and startups.",3,Regional cloud availability zone nearby (same sub-region),2023,"Major hyperscalers lack full Nigeria regions; reporting indicates AWS launched a Local Zone in Lagos (2023) but no full-scale hyperscale region, implying regional/limited local presence.",ict-storage-cloudadoption,18,https://www.cloudcomputing-news.net/news/nigerian-companies-turn-to-local-cloud-services-over-aws-and-google-cloud/,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://restofworld.org/2025/aws-google-cloud-nigeria-alternatives/; https://aws.amazon.com/about-aws/whats-new/2025/09/aws-direct-connect-100g-expansion-lagos/; https://techpoint.africa/insight/mtn-take-on-aws/","Upgraded from 3 to 4. AWS operates a Local Zone in Lagos (since 2023) with expanded Direct Connect capacity (100G, Sept 2025), giving Nigeria a genuine local hyperscale presence/edge node rather than only remote regional service from Cape Town/Johannesburg; MTN's Dabengwa Data Centre (Lagos, Tier III, 4.5MW) also offers local commercial IaaS. No full AWS/Azure/GCP 'region' exists in-country, so this stops short of band 5."
NGA,Nigeria,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Data Localisation Requirements,"Whether the country has enacted legal or regulatory requirements mandating that certain categories of data (personal data, government data, financial data, or critical infrastructure data) be stored within national borders. Central to data sovereignty debates in Africa.",3,"Sectoral requirements only (e.g., financial or telecoms data)",2021,"Nigeria has sectoral localisation rules (e.g., NITDA ICT Guidelines require telecom/network service companies host subscriber data in Nigeria; government 'sovereign data' to be hosted locally), indicating sectoral/localisation requirements rather than universal.",ict-storage-datalocalisation,16,https://uubo.org/wp-content/uploads/2022/08/data-localization-laws-nigeria.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://ndpc.gov.ng/faqs/; https://assets.kpmg.com/content/dam/kpmg/ng/pdf/nigeria-data-protection-act2023.pdf; https://www.mondaq.com/nigeria/privacy-protection/1703722/nigeria-data-transfers-guidance-note-september-24-2025","Confirmed as sectoral. The Nigeria Data Protection Act 2023 (ss.41-43) and the 2025 General Application and Implementation Directive regulate cross-border transfer via adequacy/consent rather than blanket localisation; a NITDA data-classification framework proposing mandatory in-country storage of sensitive finance/health/government data remains unpublished/draft as of September 2025. This still matches 'sectoral requirements only', now evidenced with the primary Act text and NDPC guidance rather than a single 2021 secondary PDF."
NGA,Nigeria,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Data Protection Legislation,Whether the country has enacted comprehensive data protection and privacy legislation. A foundational legal requirement for building trust in digital public infrastructure and for enabling secure cross-border data flows under frameworks like the AU Convention on Cyber Security and Personal Data Protection.,4,Legislation enacted with Data Protection Authority established,2023,Nigeria enacted Nigeria Data Protection Act 2023 and established the Nigeria Data Protection Commission as supervisory authority.,ict-storage-dataprotection,17,https://www.dlapiperdataprotection.com/index.html?t=law&c=NG,1,Medium,single_source,Only one source for a substantive score — corroborate.,,https://ndpc.gov.ng/faqs/; https://assets.kpmg.com/content/dam/kpmg/ng/pdf/nigeria-data-protection-act2023.pdf,"Confirmed directly against the primary legislation and regulator: the Nigeria Data Protection Act 2023 established the Nigeria Data Protection Commission (NDPC) as active supervisory authority, matching 'legislation enacted with Data Protection Authority established'."
NGA,Nigeria,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Government Data Center / Cloud Strategy,Whether the government has established dedicated data center infrastructure and/or a government cloud (G-Cloud) strategy for hosting e-government services and public sector data domestically. Critical for data sovereignty and e-government service delivery.,4,National data center operational with cloud strategy adopted,2019,"Nigeria adopted a National Cloud Computing Policy (Aug 2019) with a 'Cloud First' thrust for government institutions, indicating operational strategy framework.",ict-storage-govcloud,15,https://dig.watch/resource/nigeria-cloud-computing-policy,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://nitda.gov.ng/wp-content/uploads/2025/10/National-Cloud-Policy-2025-Oct2-2025.pdf; https://galaxybackbone.com.ng/galaxy-backbone-limited-national-shared-service-dc1-ph1-abuja-achieves-uptime-institute-tier-iii-certification-of-constructed-facility/; https://guardian.ng/technology/nitda-urges-local-data-centres-to-scale-up-capabilities/","Confirmed and refreshed. Galaxy Backbone's National Shared Services Data Centre (Abuja, Tier III/IV-certified, with a secondary facility in Enugu) has long served as the Federal Government's national data centre, and NITDA's National Cloud Policy 2025 (superseding the 2019 policy cited originally) formalises a mandatory 'Cloud First' directive, a Sovereign Cloud Governance Committee and a government Digital Marketplace. This still matches 'national data centre operational with cloud strategy adopted'; evidence of full active migration needed for band 5 is not yet established."
