Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
TUN,Tunisia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,4G/LTE Population Coverage,"Percentage of the national population covered by at least one 4G/LTE mobile network signal, whether or not they subscribe to the service. 4G is the practical minimum for meaningful broadband connectivity enabling digital services.",5,90%+,2016,99% mobile coverage high 4G,ict-connectivity-4gcoverage,9,https://www.theglobaleconomy.com/Tunisia/Mobile_network_coverage/,1,Medium,single_source,Only one source for a substantive score — corroborate.,5,"https://datahub.itu.int/data/?e=1&i=100095&s=19306&v=chart;https://pulse.internetsociety.org/en/reports/tn/","ITU DataHub reports 96% 4G population coverage (2024) and Internet Society Pulse reports 99% 4G/5G coverage (2024), both corroborating the 90%+ bracket; score confirmed with fresher, authoritative sources replacing the single 2016 figure."
TUN,Tunisia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Data Affordability,"Affordability of mobile broadband data, measured as the cost of a basic mobile data plan (1-2GB) as a percentage of GNI per capita. The UN Broadband Commission target is below 2% of monthly GNI per capita. Affordability is the single largest barrier to internet adoption in Africa.",5,Meets UN target (<1%),2025,0.24% GNIpc for 1GB (from table position),ict-connectivity-dataafford,11,https://statranker.org/digital-innovation/top-100-countries-by-price-of-1gb-mobile-data-usd-2025/,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://www.itu.int/itu-d/reports/statistics/wp-content/uploads/sites/5/2025/05/2500663E.pdf","ITU's 2024 ICT price data (Affordability of ICT Services report) places Tunisia's data-only mobile-broadband basket at roughly 1.5% of GNI per capita, not below 1%; the original single aggregator source (statranker.org) is uncorroborated. Revised down to Affordable (1-2%)."
TUN,Tunisia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Usage Rate,"Percentage of individuals who used the internet (from any location, via any device) in the last three months. This measures actual internet adoption beyond network availability, capturing the combined effect of infrastructure, affordability, digital literacy, and relevance.",4,50-69%,2023,72.4% individuals using internet,ict-connectivity-internetuse,10,https://www.theglobaleconomy.com/Tunisia/internet_users/,1,Medium,single_source,Only one source for a substantive score — corroborate.,5,"https://tradingeconomics.com/tunisia/individuals-using-the-internet-percent-of-population-wb-data.html;https://www.theglobaleconomy.com/Tunisia/Internet_users/","World Bank/ITU data confirm 72.4% internet users in 2023 (rising to 76.5% in 2024 per TheGlobalEconomy), both above the 70% threshold; the original comment cited the correct 72.4% figure but mis-coded it into the 50-69% bracket instead of 70%+. Corrected to 5."
TUN,Tunisia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Exchange Point Presence,"Whether the country has an operational Internet Exchange Point (IXP) and its maturity. IXPs enable local internet traffic to be exchanged domestically rather than being routed internationally, reducing latency, costs, and dependence on foreign infrastructure. Critical for local digital ecosystem development.",4,Active IXP(s) with moderate participation,2026,TunIXP active with 4 peers moderate participation,ict-connectivity-ixp,13,https://www.peeringdb.com/ix/1105,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.tunixp.tn/tunixp4.html;https://www.peeringdb.com/ix/1105","TunIXP's official member list (tunixp.tn) shows roughly 20 connected members including ISPs, banks, government bodies, and major CDNs (Google, Facebook, Akamai) — broader participation than PeeringDB's 4 registered peers alone. Confirms 'active with moderate participation'; code unchanged."
TUN,Tunisia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Phone Penetration,"Unique mobile subscriber penetration rate as a percentage of the total population. Measures the proportion of individuals who subscribe to a mobile service (not SIM cards, which can be multiple per person). Mobile phones are the primary device for internet access in Africa.",5,70%+,2025,125% connections,ict-connectivity-mobilepen,7,https://datareportal.com/reports/digital-2026-tunisia,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://www.intt.tn/upload/files/GSMA_Tunisia-report_80pp_WEBv3.pdf;https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-for-development/wp-content/uploads/2016/04/GSMA_Digital_inclusion_and_mobile_sector_taxation_in_Tunisia.pdf","This variable requires unique subscriber penetration, not mobile connections; the cited DataReportal figure (125-134%) reflects connections/SIMs, inflated by multi-SIM ownership. GSMA-based sources show unique subscriber penetration well below connection figures (historically ~58% in 2015; mobile-broadband-specific unique penetration 'just under 50%' in a later GSMA regulatory report); no current precise GSMA Intelligence unique-subscriber % for Tunisia could be verified via open search. Revised conservatively to the 55-69% bracket rather than guessing higher; flagged for human review to obtain a current GSMA Intelligence figure."
TUN,Tunisia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Smartphone Adoption,"Percentage of mobile connections using smartphones (as opposed to feature phones or basic phones). Smartphones are the minimum device requirement for accessing most digital public infrastructure services, apps, and mobile internet.",5,80%+,2025,80% broadband mobile proxy,ict-connectivity-smartphonepen,8,https://datareportal.com/reports/digital-2026-tunisia,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-economy/wp-content/uploads/2024/11/181124-Mobile-Economy-MENA-2024.pdf","The original comment used '3G/4G/5G-capable connections' as an unrelated proxy for smartphone device adoption — these are distinct metrics. GSMA's MENA 2023/2024 Mobile Economy reports show wide variation in smartphone adoption across the region (roughly 74-91% by market in 2023) but no accessible Tunisia-specific figure was isolated (Statista's Tunisia smartphone series is paywalled). Revised down to a conservative 60-79% estimate; flagged for human review pending a verified country-specific figure."
TUN,Tunisia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Cloud Services Availability,"The availability and presence of major cloud service providers (hyperscale and regional) operating in or serving the country with local or near-local infrastructure. Cloud availability determines access to scalable computing resources for government, business, and startups.",2,Served remotely from distant regions only (>100ms latency),2025,"No local hyperscale, distant regions Marseille",ict-storage-cloudadoption,18,https://inflect.com/datacenters/africa/tunisia,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://inflect.com/datacenters/africa/tunisia;https://inflect.com/datacenters/emea/tunisia/tunis","Confirmed via Inflect's Tunisia/Tunis data-centre pages (2025 update): zero direct cloud on-ramps for AWS/Azure/GCP, with Marseille cited as the nearest major cloud hub. Score unchanged."
TUN,Tunisia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,National Cybersecurity Readiness,"The country's overall cybersecurity preparedness, based on the ITU Global Cybersecurity Index (GCI). Covers legal measures, technical measures, organisational measures, capacity development, and cooperation. Essential for trust in stored data and digital services.",4,GCI score 60-79 (Advancing),2024,GCI 81.93,ict-storage-cybersecurity,19,https://statbase.org/data/tun-global-cybersecurity-index/,1,Medium,single_source,Only one source for a substantive score — corroborate.,5,"https://www.itu.int/pub/D-HDB-GCI.01-2024;https://statbase.org/data/tun-global-cybersecurity-index/","The cited GCI score of 81.93 (2024) was correctly identified but mis-coded; per the ITU GCI 2024 tier structure, a score of 80+ falls in the top 'Role-Modelling' band, not 60-79. Corrected to 5."
TUN,Tunisia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Data Protection Legislation,Whether the country has enacted comprehensive data protection and privacy legislation. A foundational legal requirement for building trust in digital public infrastructure and for enabling secure cross-border data flows under frameworks like the AU Convention on Cyber Security and Personal Data Protection.,4,Legislation enacted with Data Protection Authority established,2022,"Enacted 2004 law, INPDP DPA established",ict-storage-dataprotection,17,https://www.dlapiperdataprotection.com/?t=law&c=TN,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.inpdp.tn/Texte.html;https://regulations.ai/regulations/RAI-TN-NA-ON2PPXX-2004","Confirmed: Organic Act No. 2004-63 established the INPDP data protection authority, still in force. INPDP's own published legal texts state that Tunisia has NOT ratified Council of Europe Convention 108, and a GDPR-aligned modernisation bill was only drafted in 2025 and is not yet enacted — so the framework has not reached a 'mature, regionally-aligned' top tier. Score unchanged at 4."
TUN,Tunisia,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Commercial Data Center Presence,"The presence and tier quality of commercial/colocation data center facilities operating in the country. Commercial data centers provide the physical infrastructure for hosting cloud services, content delivery, and enterprise applications domestically.",3,At least one Tier III facility,2025,"2 colocation data centers in Tunis, Tier I-II small scale",ict-storage-dcpresence,14,https://cloudscene.com/market/data-centers-in-tunisia/tunis,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://www.datacenterdynamics.com/en/news/orange-launches-data-center-outside-sousse-tunisia/;https://atlax.com/;https://cloudscene.com/data-center/tunisia/tunis/dataxion-tunis","DataCenterDynamics (2026) confirms Orange Tunisia's newly inaugurated, independently reported Tier III facility near Sousse; ATLAX (Tunis) separately markets its own facility as 'Tier 3+' and Dataxion also operates a colocation site in Tunis. Taken together this indicates more than one Tier III-class facility, meeting the 'Multiple Tier III facilities' bracket rather than the outdated 'Tier I-II small scale' description (based on 2021 Cloudscene listings) in the original comment. Revised to 4, though ATLAX's own tier claim is a vendor self-description rather than independently audited."
