Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
TZA,Tanzania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,4G/LTE Population Coverage,"Percentage of the national population covered by at least one 4G/LTE mobile network signal, whether or not they subscribe to the service. 4G is the practical minimum for meaningful broadband connectivity enabling digital services.",3,50-74%,2023,"65% SSA 50-74%. [GSMA](https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-for-development/blog/despite-improvements-sub-saharan-africa-has-the-widest-usage-and-coverage-gaps-worldwide/)",ict-connectivity-4gcoverage,9,https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-for-development/blog/despite-improvements-sub-saharan-africa-has-the-widest-usage-and-coverage-gaps-worldwide/,1,Medium,single_source,Only one source for a substantive score — corroborate.,5,"https://www.thecitizen.co.tz/tanzania/business/tanzania-s-5g-coverage-rapidly-expands-to-15-percent--4699090 ; https://www.itu.int/itu-d/sites/projectumc/wp-content/uploads/sites/42/2026/03/Tanzania-UMC-workshop.pdf ; https://www.tcra.go.tz/uploads/text-editor/files/Communication%20Statistics%20report%20for%20end%20of%20June%202024_EN_1721315046.pdf","Original source was an SSA-wide GSMA blog, not Tanzania-specific. TCRA regulator data (via The Citizen) shows 4G population coverage rising from 79% (Dec 2023) to 83% (Jun 2024), and a Tanzania-specific ITU/TCRA workshop slide gives 94.2% (more recent). This is well above the 50-74% band, so revised to 90%+ (code 5); note ITU's 2024 IDI separately cites a lower normalised figure (58%), so a human check against the latest TCRA quarterly release is advisable."
TZA,Tanzania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Data Affordability,"Affordability of mobile broadband data, measured as the cost of a basic mobile data plan (1-2GB) as a percentage of GNI per capita. The UN Broadband Commission target is below 2% of monthly GNI per capita. Affordability is the single largest barrier to internet adoption in Africa.",3,Moderate (2-5%),2020,"~4.3% GNI Africa avg (2-5%). [A4AI](https://www.connectingafrica.com/4g-networks/africa-s-mobile-broadband-affordability-much-improved-since-2015-a4ai)",ict-connectivity-dataafford,11,https://www.connectingafrica.com/4g-networks/africa-s-mobile-broadband-affordability-much-improved-since-2015-a4ai,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,https://www.itu.int/dms_pub/itu-d/opb/ind/D-IND-ICT_MDD-2023-PDF-E.pdf,"Original source discussed continent-wide affordability, not Tanzania specifically. A Tanzania-specific ITU LDC report figure puts the data-only mobile-broadband basket at roughly 2% of GNI per capita, which sits right at the boundary between 'Moderate' (2-5%) and 'Affordable' (1-2%). Code 3 kept as the best estimate but flagged for human review given the boundary value and difficulty parsing the exact ITU table."
TZA,Tanzania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Usage Rate,"Percentage of individuals who used the internet (from any location, via any device) in the last three months. This measures actual internet adoption beyond network availability, capturing the combined effect of infrastructure, affordability, digital literacy, and relevance.",3,30-49%,2023,"29.1% individuals (30-49%). [World Bank](https://tradingeconomics.com/tanzania/individuals-using-the-internet-percent-of-population-wb-data.html)",ict-connectivity-internetuse,10,https://tradingeconomics.com/tanzania/individuals-using-the-internet-percent-of-population-wb-data.html,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://data.worldbank.org/indicator/IT.NET.USER.ZS?locations=TZ ; https://datareportal.com/reports/digital-2024-tanzania","World Bank data show internet use rising from 29.1% (2023) to 31.16% (2024); DataReportal's Digital 2024 report gives 31.9% (Jan 2024). The original comment mis-stated 29.1% as falling in the 30-49% band (it does not), but the freshest 2024 figures (~31%) do support code 3, so it is confirmed with corrected reasoning and updated sourcing."
TZA,Tanzania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,International Internet Bandwidth,"The country's total international internet bandwidth capacity per internet user, indicating the quality and capacity of the country's connection to the global internet. Determined by submarine cable landings (for coastal states), cross-border terrestrial fibre (for landlocked states), and satellite links.",2,Low (5-19 kbit/s),2021,"&lt;50 kbit/s per user LDC avg. [ITU](https://www.itu.int/itu-d/reports/statistics/2021/11/15/international-bandwidth-usage/)",ict-connectivity-intlbandwidth,12,https://www.itu.int/itu-d/reports/statistics/2021/11/15/international-bandwidth-usage/,1,Medium,single_source,Only one source for a substantive score — corroborate.,0,https://www.theglobaleconomy.com/Tanzania/Internet_bandwidth/,"Original ITU source is a generic global bandwidth-usage report page, not Tanzania-specific — confirmed unrelated to the country as flagged. The only Tanzania-specific data located (2012-2016, averaging 3.6 kbit/s per user) is too dated to support a current score, and no current ITU DataHub/TeleGeography figure could be retrieved within the available search budget. Set to Unknown (0); recommend human review using ITU DataHub's current international-bandwidth-per-user series for Tanzania."
TZA,Tanzania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Exchange Point Presence,"Whether the country has an operational Internet Exchange Point (IXP) and its maturity. IXPs enable local internet traffic to be exchanged domestically rather than being routed internationally, reducing latency, costs, and dependence on foreign infrastructure. Critical for local digital ecosystem development.",4,Active IXP(s) with moderate participation,2024,TIX Dar es Salaam active moderate. [Cloudscene](https://cloudscene.com/market/data-centers-in-tanzania/dar-es-salaam),ict-connectivity-ixp,13,https://cloudscene.com/market/data-centers-in-tanzania/dar-es-salaam,1,Medium,single_source,Only one source for a substantive score — corroborate.,5,"https://www.peeringdb.com/ix/361 ; https://pulse.internetsociety.org/en/ixp-tracker/ixp/207/ ; https://www.pch.net/ixp/details/242","PeeringDB and Internet Society's IXP tracker (2026) show TIX Dar es Salaam with 32+ peering ASNs, including major global content networks (Meta, Akamai), 708G total capacity, and continuous operation since 2003. This constitutes broad participation at a mature single IXP, supporting an upgrade from 'moderate participation' (4) to 'mature ecosystem with broad participation' (5)."
TZA,Tanzania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Phone Penetration,"Unique mobile subscriber penetration rate as a percentage of the total population. Measures the proportion of individuals who subscribe to a mobile service (not SIM cards, which can be multiple per person). Mobile phones are the primary device for internet access in Africa.",5,70%+,2023,86.4% GSMA TCRA 109%. [DataReportal](https://datareportal.com/reports/digital-2023-tanzania),ict-connectivity-mobilepen,7,https://datareportal.com/reports/digital-2023-tanzania,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://datareportal.com/reports/digital-2024-tanzania ; https://www.tcra.go.tz/uploads/text-editor/files/Communication%20Statistics%20report%20for%20end%20of%20June%202024_EN_1721315046.pdf","The original comment conflates 'unique subscriber' penetration with total mobile connections/SIM penetration (TCRA reports 99-111%+ of population, which counts multiple SIMs per person). Corroborating evidence (very high connection penetration, DataReportal 2024/2025 reports) is consistent with genuinely high unique-subscriber penetration, so code 5 (70%+) is retained, but the precise GSMA Intelligence unique-subscriber figure is paywalled and was not independently confirmed — recommend a human check against GSMA Intelligence direct data."
TZA,Tanzania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Smartphone Adoption,"Percentage of mobile connections using smartphones (as opposed to feature phones or basic phones). Smartphones are the minimum device requirement for accessing most digital public infrastructure services, apps, and mobile internet.",3,40-59%,2023,~45% SSA (40-59%). [GSMA SSA](https://www.gsma.com/mobileeconomy/sub-saharan-africa/),ict-connectivity-smartphonepen,8,https://www.gsma.com/mobileeconomy/sub-saharan-africa/,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,"https://www.tanzaniainvest.com/telecoms/tcra-telecom-stats-q4-2024 ; https://www.tcra.go.tz/uploads/text-editor/files/Communication%20Statistics%20report%20for%20end%20of%20June%202024_EN_1721315046.pdf","TCRA's own quarterly device-penetration data (Tanzania-specific, more authoritative than the generic GSMA Sub-Saharan Africa regional estimate used originally) shows smartphone penetration of 31.55% (Jun 2024), 33.85% (Sep 2024) and 35.99% (Dec 2024) — all within the 20-39% band, below the 40-59% originally recorded. Revised down to code 2; a later, unconfirmed figure near 42% was also seen and should be checked against the latest TCRA release."
TZA,Tanzania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Cloud Services Availability,"The availability and presence of major cloud service providers (hyperscale and regional) operating in or serving the country with local or near-local infrastructure. Cloud availability determines access to scalable computing resources for government, business, and startups.",2,Served remotely from distant regions only (>100ms latency),2025,No local hyperscale (regional nearby). [AfriBit](https://www.afribit.co.za/2025/03/27/google-expands-in-africa-how-gcps-new-cloud-region-competes-with-aws/),ict-storage-cloudadoption,18,https://www.afribit.co.za/2025/03/27/google-expands-in-africa-how-gcps-new-cloud-region-competes-with-aws/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,https://www.afribit.co.za/2025/03/27/google-expands-in-africa-how-gcps-new-cloud-region-competes-with-aws/,"No evidence found of a hyperscale or regional cloud availability zone located in or near Tanzania; AWS, Azure and Google Cloud continue to serve the country from regions outside East Africa. Code 2 confirmed; the original AfriBit source is thin but no fresher contradicting evidence was found within the available search budget."
TZA,Tanzania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,National Cybersecurity Readiness,"The country's overall cybersecurity preparedness, based on the ITU Global Cybersecurity Index (GCI). Covers legal measures, technical measures, organisational measures, capacity development, and cooperation. Essential for trust in stored data and digital services.",4,GCI score 60-79 (Advancing),2024,Tier 1 Africa GCI est 60-79. [TanzaniaInvest](https://www.tanzaniainvest.com/telecoms/tanzanias-cybersecurity-progress-global-cybersecurity-index-2024),ict-storage-cybersecurity,19,https://www.tanzaniainvest.com/telecoms/tanzanias-cybersecurity-progress-global-cybersecurity-index-2024,1,Medium,single_source,Only one source for a substantive score — corroborate.,5,"https://www.itu.int/en/mediacentre/Pages/PR-2024-09-10-Global-Cybersecurity-Index.aspx ; https://www.itu.int/pub/D-HDB-GCI.01-2024 ; https://www.thecitizen.co.tz/tanzania/news/national/tanzania-leads-africa-in-2024-global-cybersecurity-rankings-4765000","ITU's Global Cybersecurity Index 2024 gives Tanzania a score of 99.27/100 and places it in Tier 1 ('Role-modelling'), the highest tier, confirmed by ITU's official GCI 2024 report and reported by The Citizen (Sept 2024). This is far above the 60-79 (Advancing) band originally recorded; revised to 80+/Role-modelling (code 5)."
TZA,Tanzania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Commercial Data Center Presence,"The presence and tier quality of commercial/colocation data center facilities operating in the country. Commercial data centers provide the physical infrastructure for hosting cloud services, content delivery, and enterprise applications domestically.",2,Small-scale facilities only (Tier I-II),2024,Small-scale Tier I-II Dar (5 colos). [Cloudscene](https://cloudscene.com/market/data-centers-in-tanzania/dar-es-salaam),ict-storage-dcpresence,14,https://cloudscene.com/market/data-centers-in-tanzania/dar-es-salaam,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,"https://www.raxiogroup.com/data-centres/tanzania/ ; https://www.ocolo.io/colocation/raxio-group/tz1/","Raxio Group is developing/has developed Tanzania's first carrier-neutral Tier III data centre in Dar es Salaam (6MW, ~800 racks), marketed for colocation with a 2026 launch. This meets the 'at least one Tier III facility' threshold (code 3), an upgrade from small-scale Tier I-II only; the exact commissioning date should be confirmed by a human reviewer since the source describes it as 'set to launch in 2026' without a precise date."
