Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
GIN,Guinea,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Uptake,What proportion of businesses does the register cover?,5,>89%,2026,Assumed high for formal businesses via APIP.,reg-business-uptake,26,https://rccm.ohada.org,1,Medium,single_source,Only one source for a substantive score — corroborate.,5,"https://archive.doingbusiness.org/content/dam/doingBusiness/country/g/guinea/GIN.pdf, https://microdata.worldbank.org/index.php/catalog/8122","rccm.ohada.org could not be crawled (timeout). No authoritative source gives a quantified formal-business registration coverage rate. Doing Business archive and 2025 World Bank Enterprise Survey methodology confirm APIP is the sole mandatory one-stop-shop through which all formal businesses obtain RCCM/NIF registration, supporting a high score for the formal segment by definition, but a World Bank MSME appraisal document notes over 90% of Guinea's private sector is informal and outside this register. Score kept at 5 but unverified by a hard published statistic — flagged for human review."
GIN,Guinea,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,National Id integration,Is the register integrated with the national ID system?,4,Partially integrated,2026,Biometric birth certificates foundational for national biometric ID card.,reg-cr-id,11,https://idtechwire.com/guinea-launches-biometric-birth-certificates-in-sanoyah-in-civil-registry-modernization-push/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://idtechwire.com/guinea-launches-biometric-birth-certificates-in-sanoyah-in-civil-registry-modernization-push/, https://ravec.gov.gn/qui-sommes-nous/objectifs-du-ravec/","Confirmed. ID Tech (4 March 2026) and Guinea's official PN-RAVEC site confirm biometric birth certificates are the foundational document feeding the national biometric ID card (NPI), consistent with partial integration; full bidirectional automation was not evidenced."
GIN,Guinea,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Scope,"Does the register cover births, deaths and marriages?",3,All,2026,"Covers births, marriages, deaths per modernization project.",reg-cr-scope,8,https://citizenshiprightsafrica.org/the-modernisation-of-guineas-civil-registry-inspired-by-belgiums-experience/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,https://www.enabel.be/the-modernisation-of-guineas-civil-registry-inspired-by-belgiums-experience/,"Confirmed via Enabel's original 2023 article (the cited citizenshiprightsafrica.org page reproduces it; the original page timed out on fetch): Guinea's CRVS modernisation administratively covers births, marriages and deaths, though actual completion for marriages and deaths is well under 2%. Scope=All concerns coverage of event types rather than completeness, so 3 is retained."
GIN,Guinea,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Uptake,What proportion of the population does the register cover?,2,20-49%,2022,"Births 45-60%, marriages/deaths <2%. Proxy birth registration ~50%.",reg-cr-uptake,10,https://citizenshiprightsafrica.org/the-modernisation-of-guineas-civil-registry-inspired-by-belgiums-experience/,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,"https://data2.gffportal.org/country/guinea, https://evaluationreports.unicef.org/GetDocument?documentID=16474&fileID=45637","Fresher data supports an upgrade. Global Financing Facility data show birth registration rose from 28% (2018) to 64% (2023); UNICEF's CRVS evaluation cites 62% from DHS 2018. Both exceed the 20-49% band used in the original score (based on an older 45-60% estimate), so revised to 3 (50-69%) using birth registration as the primary proxy per the metadata guidance."
GIN,Guinea,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,Status,Does the government maintain a digital electoral register?,5,Fully deployed nationwide,2025,"Biometric electoral register CENI/RAVEC, new file 2025 6.7M voters.",reg-elect-exists,30,https://gouvernement.gov.gn/le-premier-ministre-receptionne-les-kits-denrolement-biometrique/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://guineematin.com/2026/04/24/elections-du-31-mai-2026-la-dge-detaille-letat-davancement-des-preparatifs-et-rassure-sur-lorganisation-du-scrutin/, https://lepandaguinee.com/2026/04/26/double-scrutin-du-31-mai-le-corps-electoral-passe-desormais-a-6-948-894-electeurs-dge/, https://www.rfi.fr/fr/afrique/20250719-guin%C3%A9e-le-gouvernement-pr%C3%A9sente-le-nouveau-fichier-%C3%A9lectoral-biom%C3%A9trique","Confirmed and strengthened. Multiple independent 2025-2026 sources confirm the permanent biometric electoral register is fully operational nationwide (used for the September 2025 constitutional referendum and the 31 May 2026 legislative/communal elections), corroborating the original single-source claim."
GIN,Guinea,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,National Id integration,Is the register integrated with the national ID system?,3,Under development,2025,PN-RAVEC biometric census for both civil/ID and electoral.,reg-elect-id,32,https://documents.worldbank.org/curated/en/630611472120072748/pdf/107993-WP-P156810-PUBLIC-Guinea-ID4D-Web.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://guineematin.com/2026/04/24/elections-du-31-mai-2026-la-dge-detaille-letat-davancement-des-preparatifs-et-rassure-sur-lorganisation-du-scrutin/, https://lepandaguinee.com/2026/04/26/double-scrutin-du-31-mai-le-corps-electoral-passe-desormais-a-6-948-894-electeurs-dge/","Original source is a 2016 World Bank working paper, now outdated (fetch also timed out). 2026 reporting confirms Guinea's Direction Générale des Elections draws directly on the Registre National des Personnes Physiques (RNPP) to add newly-eligible 18-year-olds and reconcile unsynchronised records, showing the electoral register is now technically linked to and updated from the national population/ID system rather than merely under development. Revised up to 4 (partially integrated)."
GIN,Guinea,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,Uptake,What proportion of the electorate does the register cover?,5,>89%,2025,"6.7M voters, >89% coverage.",reg-elect-uptake,31,https://gouvernement.gov.gn/le-premier-ministre-receptionne-les-kits-denrolement-biometrique/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://guineematin.com/2026/04/24/elections-du-31-mai-2026-la-dge-detaille-letat-davancement-des-preparatifs-et-rassure-sur-lorganisation-du-scrutin/, https://www.guinee7.com/2025/08/28/referendum-constitutionnel-plus-de-6-millions-delecteurs-attendus-aux-urnes/","Confirmed and strengthened with fresher figures: 6,948,894 registered voters as of April 2026 (up from 6,768,458 in August 2025), against an estimated 18+ population of roughly 6.7-7 million given Guinea's approximately 14.2 million population and young age structure — consistent with >89% coverage."
GIN,Guinea,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Land,Separate cadastral register,Does the government maintain a separate cadastral register?,3,Under development,2026,"Separate cadastre, digitalization announced/full planned 2026. Under development.",reg-land-cadastral,15,https://www.visionguinee.info/le-ministre-de-lurbanisme-annonce-la-digitalisation-integrale-du-cadastre-foncier-pour-garantir-la-transparence-dans-la-gestion-des-titres-fonciers/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.visionguinee.info/le-ministre-de-lurbanisme-annonce-la-digitalisation-integrale-du-cadastre-foncier-pour-garantir-la-transparence-dans-la-gestion-des-titres-fonciers/, https://guineematin.com/2023/03/11/modernisation-du-cadastre-foncier-en-guinee-une-delegation-du-muhat-sur-les-traces-du-projet-sigfu-en-cote-divoire/","Evidence is mixed. The February 2026 article shows the newly appointed Minister of Urbanism still presenting full cadastral digitalisation as a forward-looking priority rather than reporting completed technical work, and the related SIGFU cadastral project was still at a feasibility/study-visit stage in March 2023 with no evidence found since of operational rollout. This could equally support Planned (2) rather than Under development (3); score kept unchanged but flagged for human review given the genuine ambiguity."
GIN,Guinea,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Social Protection,Status,Does the government maintain one or more social protection registers?,5,Fully deployed nationwide,2023,"Registre Social Unifié (RSU), 977k households, 4.86M individuals.",reg-social-exists,41,https://fdsi.gov.gn/wp-content/uploads/2025/01/Presentation-RSU_FDSI_2025.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://guineematin.com/2024/10/14/fonds-de-developpement-social-et-de-lindigence-general-doumbouya-annonce-la-creation-du-registre-social-unifie/, https://guineenews.org/2023/12/15/guinee-le-fdsi-presente-le-rsu-avec-plus-de-4-millions-de-personnes-vivant-dans-lextreme-pauvrete/, https://guineenews.org/2024/06/27/guinee-accord-strategique-historique-entre-le-fdsi-et-lanies-pour-soutenir-les-menages-vulnerables/","Confirmed and strengthened (original fdsi.gov.gn PDF returned a 403 error on fetch). The Registre Social Unifié was formalised by presidential decree on 13 October 2024, with baseline data collection completed across all eight administrative regions (977,610 households / 4,860,075 individuals, reported December 2023), and is in active operational use, e.g. a June 2024 FDSI-ANIES agreement sharing 51,259 indigent-household records for programme targeting."
GIN,Guinea,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Social Protection,Uptake,What proportion of the intended beneficiaries does the register cover?,3,50-69%,2023,977k/ ~3M households? ~50-69% intended poor/vulnerable.,reg-social-uptake,42,https://fdsi.gov.gn/wp-content/uploads/2025/01/Presentation-RSU_FDSI_2025.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://guineenews.org/2024/06/27/guinee-accord-strategique-historique-entre-le-fdsi-et-lanies-pour-soutenir-les-menages-vulnerables/, https://fdsi.gov.gn/rsu/","Could not confirm or reject the original estimate. 977,610 households / 4,860,075 individuals were surveyed nationally by December 2023, but no authoritative source gives the size of the intended beneficiary population (poor/vulnerable target group) needed to calculate a reliable coverage percentage. A rough comparison to Guinea's total household count (approx. 2.3-2.5 million, from a population of about 14 million) implies coverage nearer 40%, below the original band, but this denominator may not match the intended definition. Left unchanged, flagged for human review to clarify the correct denominator."
