Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
NGA,Nigeria,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Business uptake,What proportion of business properties does the register cover?,2,20-49%,2026,"NIPOST Address Verification System (AVS) exists as digital addressing service, implying some business use but not near-universal uptake evidenced.",reg-address-business,21,https://services.gov.ng/service-provider/nigerian-postal-service/nipost-address-registeration,1,Medium,single_source,Only one source for a substantive score — corroborate.,0,"https://nipost.gov.ng/Address_Verification_System,https://techpoint.africa/news/nigeria-digital-postcode-pilot/,https://punchng.com/nipost-plans-digital-postcodes-for-every-building-in-nigeria/","NIPOST's AVS is an opt-in verification/geocoding tool, not a comprehensive administrative address register with published coverage statistics. As of June 2026 NIPOST is still validating a new National Digital Postcode System, with pilot rollout not due until October 2026. No reliable business-address coverage figure exists; set to 0 (Unknown) rather than the unevidenced 20-49% claimed."
NGA,Nigeria,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Status,Does the government maintain a digital address register?,4,Partially deployed,2026,"Nigeria’s e-government portal lists NIPOST Address Verification System (AVS) as part of National Digital Addressing System, indicating partial deployment of a digital address registry/service.",reg-address-exists,20,https://services.gov.ng/service-provider/nigerian-postal-service/nipost-address-registeration,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,"https://nipost.gov.ng/Address_Verification_System,https://techpoint.africa/news/nigeria-digital-postcode-pilot/,https://guardian.ng/news/nipost-begins-nationwide-postcode-validation-exercise/","Fetched NIPOST's AVS page and 2026 press coverage. AVS (2018) and earlier what3words/Plus Codes adoption are narrow, opt-in geocoding tools rather than a systematic national address database. As of mid-2026 NIPOST is still running a Postcode Delineation Model Validation Exercise for a wholly new National Digital Alphanumeric Postcode System, with the first-phase pilot not due until October 2026 — implying the previous tools did not amount to a deployed register. Revised down to 3 (Under development)."
NGA,Nigeria,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Household uptake,What proportion of private properties does the register cover?,2,20-49%,2026,"National Digital Addressing System/AVS aims to bridge addressing gaps, but no evidence of nationwide household coverage; treat as limited uptake.",reg-address-house,22,https://services.gov.ng/service-provider/nigerian-postal-service/nipost-address-registeration,1,Medium,single_source,Only one source for a substantive score — corroborate.,0,"https://nipost.gov.ng/Address_Verification_System,https://techpoint.africa/news/nigeria-digital-postcode-pilot/,https://nairametrics.com/2017/08/03/nipost-will-use-this-software-to-create-new-addresses-for-every-single-location-in-nigeria/","No current authoritative household-coverage percentage was found. A dated (2017) figure put home mail delivery at only c.20% of households, and 2026 reporting confirms the addressing problem remains unresolved (new postcode system still in pilot/validation, rollout from October 2026). No register with published coverage yet exists; set to 0 (Unknown) rather than guessing 20-49%."
NGA,Nigeria,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Status,Does the government maintain a digital business register?,5,Fully deployed nationwide,2026,"Corporate Affairs Commission (CAC) operates the Company Registration Portal (iCRP) as an online business registry for company/business name registrations, indicating fully deployed digital business register.",reg-business-exists,25,https://icrp.cac.gov.ng,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://icrp.cac.gov.ng,https://punchng.com/cac-processes-10000-daily-registrations-after-ai-rollout/","Confirmed. Fetched icrp.cac.gov.ng (live, operational nationwide portal) and a February 2026 Punch report that CAC now processes close to 10,000 digital business registrations per day following its AI-driven overhaul. Fully deployed nationwide is supported; code unchanged."
NGA,Nigeria,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Uptake,What proportion of businesses does the register cover?,4,70-89%,2025,"CAC launched AI-driven overhaul of company registration portal to handle high volumes and clear backlog, indicating high utilization and operational nationwide registry.",reg-business-uptake,26,https://punchng.com/cac-to-deploy-ai-to-clear-7000-application-backlog/,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,"https://reubenabati.com.ng/feature/54-of-nigerian-businesses-still-unregistered-despite-uptick-survey,https://glideng.com/the-invisible-majority-why-54-of-nigerian-businesses-are-still-unregistered-lagos-nigeria/,https://ngnmarket.com/blog/survey-reveals-54-of-nigerian-businesses-remain-unregistered-despite-recent-upti-mlqc16mf","The original source measured application-processing capacity, not coverage. FATE Foundation's 2025 State of Entrepreneurship Survey, reported consistently by multiple outlets in February 2026, found only 46% of Nigerian entrepreneurs are formally registered (54% remain informal) — within the 20-49% band, not 70-89%. Revised down to 2."
NGA,Nigeria,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Status,Does the government maintain a digital civil register?,3,Under development,2025,"Nigeria launched electronic Civil Registration and Vital Statistics (e-CRVS) system managed by National Population Commission, indicating a digital CRVS system under development/early deployment.",reg-cr-exists,7,https://dpi.africa/nigeria-intensifies-efforts-to-digitalise-birth-death-registrations/,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://www.algon.ng/index.php/news-page/main-news/234-national-crvs-coordination-committee-inaugurated,https://www.thetidenewsonline.com/2026/02/npc-unveils-digital-registration-system-in-delta/,https://www.areanewsng.com/news/national-population-commission-sets-to-end-analog-civil-registration-system-march-1/","e-CRVS has progressed beyond planning: state-level launches are underway (e.g. Delta, February 2026), NPC set 1 March 2026 as the deadline to end analogue birth/death registration, and a National CRVS Coordination Committee was operationally activated in May 2026. This is better described as partially deployed (phased state rollout) than merely under development. Revised to 4."
NGA,Nigeria,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,National Id integration,Is the register integrated with the national ID system?,3,Under development,2025,"NIMC requires e-CRVS certificates for NIN date-of-birth modifications, indicating CRVS is being used to support/verify national ID data (integration under development).",reg-cr-id,11,https://dpi.africa/nigeria-intensifies-efforts-to-digitalise-birth-death-registrations/,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://www.thetidenewsonline.com/2026/02/npc-unveils-digital-registration-system-in-delta/,https://dpi.africa/nigeria-intensifies-efforts-to-digitalise-birth-death-registrations/","Fresher evidence (Feb 2026 NPC state launch report) shows actual technical integration, not just planning: in areas where e-CRVS is live, birth registration automatically generates a NIN which is printed on the birth certificate. As rollout is state-by-state rather than universal, 'partially integrated' (4) fits better than 'under development' (3)."
NGA,Nigeria,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Population register integration,Is the register integrated with the population register?,3,Under development,2025,Use of e-CRVS certificates to update NIN date-of-birth implies emerging operational linkage between CRVS and population/NIN register (under development).,reg-cr-pop,12,https://dpi.africa/nigeria-intensifies-efforts-to-digitalise-birth-death-registrations/,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://www.thetidenewsonline.com/2026/02/npc-unveils-digital-registration-system-in-delta/,https://dpi.africa/nigeria-intensifies-efforts-to-digitalise-birth-death-registrations/","Same evidence as reg-cr-id (inverse relationship): where e-CRVS is deployed, birth registration automatically triggers NIN generation (population register update). This demonstrates working, if not yet universal, integration. Revised to 4 (Partially integrated)."
NGA,Nigeria,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Scope,"Does the register cover births, deaths and marriages?",3,All,2025,"e-CRVS covers registration/documentation for births (and stillbirth), adoption, marriage notification, divorce notification, migration and death, covering births, deaths, marriages.",reg-cr-scope,8,https://dpi.africa/nigeria-intensifies-efforts-to-digitalise-birth-death-registrations/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,https://dpi.africa/nigeria-intensifies-efforts-to-digitalise-birth-death-registrations/,"Confirmed by re-fetching the source: e-CRVS explicitly covers births/stillbirths, deaths, marriage and divorce notifications, adoption, and migration — i.e. all core vital-event types are digitally captured. Code unchanged (3 = All)."
NGA,Nigeria,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,Status,Does the government maintain a digital electoral register?,5,Fully deployed nationwide,2025,"INEC operates digital election management systems including BVAS for biometric accreditation and IReV for results viewing, implying maintained digital voters register nationwide.",reg-elect-exists,30,https://wp1.inecnigeria.org/wp-content/uploads/INEC-Election-Technologies-Handbook.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://wp1.inecnigeria.org/wp-content/uploads/INEC-Election-Technologies-Handbook.pdf,https://dailynigerian.com/cvr-inec-extends-registration-deadline-introduces-self-service/","Confirmed. INEC's own 2025 Election Technologies Handbook documents nationwide BVAS/IReV deployment, and a July 2026 report confirms INEC has added a fully online self-service Continuous Voter Registration option — reinforcing that the digital register is fully operational nationwide. Code unchanged."
