Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
CMR,Cameroon,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Business uptake,What proportion of business properties does the register cover?,0,Unknown or n.a.,,No address register fully deployed,reg-address-business,21,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check (search: Cameroon business address register coverage) found only private-sector digital addressing pilots (Postpoint, FindMe, BANOC codes) with no government-published business-property coverage statistic. No authoritative source found on a light check. Confirms Unknown.",,low,"Cameroon does not maintain an official government address register with published business-property coverage data. Several private and hybrid digital addressing initiatives (Postpoint, FindMe, BANOC codes) are underway, but coverage of registered business addresses specifically is not reported.",unknown_lightcheck
CMR,Cameroon,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Data exchange integration,Is the register integrated with the government's national data exchange system?,0,Unknown or n.a.,,No credible evidence found,reg-address-dpi,24,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check (search: Cameroon address register interoperability data exchange) found only private-sector addressing pilots (Postpoint, FindMe, BANOC codes) with no evidence of connection to a government data exchange platform. No authoritative source found on a light check. Confirms Unknown.",,low,"No evidence identifies integration between an address register and a national government data exchange platform in Cameroon. The country's address digitisation efforts (Postpoint, FindMe, BANOC codes) remain independent, largely private-sector-led pilots not yet linked to any interoperability platform.",unknown_lightcheck
CMR,Cameroon,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Household uptake,What proportion of private properties does the register cover?,0,Unknown or n.a.,,No address register fully deployed,reg-address-house,22,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check (search: Cameroon residential address coverage household addressing) found private digital addressing schemes (Postpoint, FindMe) reporting tens of thousands of individually generated addresses, but no official government household-coverage statistic. No authoritative source found on a light check. Confirms Unknown.",,low,"No official government address register publishes residential or household coverage data for Cameroon. Private digital addressing schemes (Postpoint, FindMe) report tens of thousands of individually generated addresses, well short of a systematic national household coverage statistic.",unknown_lightcheck
CMR,Cameroon,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Land register integration,Is the register integrated with the land register?,0,Unknown or n.a.,,No credible evidence found,reg-address-land,23,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check (search: Cameroon address register land register integration) found land modernisation efforts (MINDCAF digitisation) but no reference to linkage with an address register. No authoritative source found on a light check. Confirms Unknown.",,low,"No evidence indicates a formal technical link between an address register and the land register in Cameroon. Land administration modernisation (MINDCAF digitisation, SIF project) does not reference integration with a standardised address database.",unknown_lightcheck
CMR,Cameroon,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Address register integration,Is the register integrated with the address register?,0,Unknown or n.a.,,No credible evidence found,reg-business-address,27,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check (search: Cameroon business register address integration) found business registration (EasyBusiness.cm/CFCE) captures a location plan but no evidence of technical integration with a distinct address register. No authoritative source found on a light check. Confirms Unknown.",,low,"Business registration in Cameroon (EasyBusiness.cm/CFCE) captures a physical location plan for each registered business, but there is no evidence of technical integration with a distinct national address register.",unknown_lightcheck
CMR,Cameroon,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Data exchange integration,Is the register integrated with the government's national data exchange system?,0,Unknown or n.a.,,No credible evidence found,reg-business-dpi,29,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",3,"https://www.digitalgovernment.world/academy/projects/cameroon/; https://unctad.org/news/unctad-platform-powers-registration-over-25000-businesses-cameroon","Original Unknown (0, no source) was not correct on inspection: a light check surfaced clear evidence of an active UNCTAD/APME-led business registration platform (EasyBusiness.cm, successor to MyBusiness.cm) explicitly delivering 'automated data exchange with key institutions such as DGI and, in future, CNPS and the RCCM'. This confirms an operational integration point with the tax authority (DGI) already in place, with further linkages (CNPS, RCCM) planned. Score raised from 0 to 3 (Under development), reflecting partial/ongoing data exchange rather than a fully integrated national platform; evidence does not confirm broad, multi-agency interoperability sufficient for a 4 or 5 rating.",2024,medium,"Cameroon's business registration system, EasyBusiness.cm (successor to MyBusiness.cm), operates as a digital single window led by the Ministry of SMEs/Agency for the Promotion of SMEs (APME) with UNCTAD technical support. The platform delivers automated data exchange with the Directorate General of Taxation (DGI), with further integration to the social security fund (CNPS) and the trade and personal property registry (RCCM) planned. This represents an emerging, partial level of data-exchange integration rather than a fully interoperable national platform.",
CMR,Cameroon,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Land register integration,Is the register integrated with the land register?,0,Unknown or n.a.,,No credible evidence found,reg-business-land,28,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check (search: Cameroon business register land register integration) found no evidence of a technical link between the business register and the land register. No authoritative source found on a light check. Confirms Unknown.",,low,"No evidence indicates a technical link between the business register (RCCM/EasyBusiness.cm) and the land register (MINDCAF) in Cameroon.",unknown_lightcheck
CMR,Cameroon,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Inclusivity,Are all non-citizens allowed to be included in the register?,0,Unknown or n.a.,,No credible evidence found after searching birth registration refugees non-citizens,reg-cr-inclusive,9,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",3,"https://upr-info.org/sites/default/files/country-document/2023-11/UNHCR_UPR44_CMR_E_Main.pdf; https://rimap-dev.unhcr.info/countries/cameroon; https://documents1.worldbank.org/curated/en/433291525399293923/txt/CAMEROON-SOCIAL-SAFETY-PAD-04052018.txt","Original Unknown (0, no source) was not correct: UNHCR reporting confirms Cameroon's civil registration legislation (Ordinance No. 81/002 of 1981, amended by Law No. 2011/011, now superseded by Law No. 2024/016 of 23 December 2024) applies broadly and does not exclude non-citizens, and that specific programmes (World Bank-financed Social Safety Nets project, NRC legal/civil documentation support) actively register refugees and IDPs (mainly Central African Republic and Nigerian refugees, and Anglophone-crisis IDPs) for civil status events including birth certificates. Registration completion rates for these groups are low in practice, but non-citizens are not legally or programmatically excluded. Score raised from 0 to 3 (Some refugees and IDPs), short of universal/automatic inclusion (4).",2024,medium,"Cameroon's civil registration system, governed by Law No. 2024/016 of 23 December 2024 (replacing the 1981 Ordinance as amended in 2011), applies to residents generally and does not bar refugees, asylum-seekers, or IDPs from registering vital events. In practice, refugees (predominantly from the Central African Republic and Nigeria) and IDPs are supported in accessing birth, death and marriage registration through targeted government and partner programmes, including the World Bank-financed Social Safety Nets Project and NRC legal and civil documentation assistance. Registration completion rates among these groups remain low, however, due to weak civil registration infrastructure in crisis-affected regions (Far North, North-West, South-West) and practical barriers to accessing registration centres.",
CMR,Cameroon,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Population register integration,Is the register integrated with the population register?,0,Unknown or n.a.,,No population register,reg-cr-pop,12,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check (search: Cameroon civil registration population register integration) confirmed Cameroon operates civil registration (BUNEC) and national identity (DGSN) systems but no separate population register. No authoritative source found on a light check. Confirms Unknown.",,low,"Cameroon does not operate a distinct population register separate from its civil registration (BUNEC) and national identity (DGSN) systems, so there is no separate population-register-to-civil-register integration to assess.",unknown_lightcheck
CMR,Cameroon,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,Data exchange integration,Is the register integrated with the government's national data exchange system?,0,Unknown or n.a.,,No credible evidence found,reg-elect-dpi,33,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check (search: Cameroon electoral register interoperability data exchange) found ELECAM operates its own SIGCE/biometric systems and online portal (elecam.cm) but no evidence of integration with a broader government data exchange platform. No authoritative source found on a light check. Confirms Unknown.",,low,"Cameroon's electoral register is managed independently by ELECAM through its own SIGCE biometric systems and online verification portal (elecam.cm); no evidence indicates integration with a broader government data exchange platform.",unknown_lightcheck
