Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
COD,DR Congo,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Business uptake,What proportion of business properties does the register cover?,0,Unknown or n.a.,,"Base register Status=1, so 0.",reg-address-business,21,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check (search: DR Congo national address register digital addressing system) found no evidence of a government-maintained digital address register; existing initiatives are land-cadastre digitisation (e-Foncier) and commercial street databases, not an official address register. No authoritative source found on a light check.",,low,"No dedicated national address register (a standardised street/plot addressing system) is confirmed to exist in the DRC, which also lacks a postal code system. As no address register exists, business-property coverage is not applicable.",unknown_lightcheck
COD,DR Congo,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Data exchange integration,Is the register integrated with the government's national data exchange system?,0,Unknown or n.a.,,No evidence.,reg-address-dpi,24,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check (search: DR Congo national address register digital addressing system) found no evidence of a government-maintained address register or any related data-exchange integration. No authoritative source found on a light check.",,low,"No address register is known to exist in the DRC, and there is no evidence of address-related data-exchange integration with a government interoperability platform.",unknown_lightcheck
COD,DR Congo,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Household uptake,What proportion of private properties does the register cover?,0,Unknown or n.a.,,"Base register Status=1, so 0.",reg-address-house,22,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check (search: DR Congo national address register digital addressing system) found no evidence of a national address register. No authoritative source found on a light check.",,low,"No dedicated national address register is confirmed to exist in the DRC; consequently, household address coverage cannot be assessed.",unknown_lightcheck
COD,DR Congo,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Land register integration,Is the register integrated with the land register?,0,Unknown or n.a.,,Base register does not exist.,reg-address-land,23,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check found active land-cadastre digitisation (e-Foncier) but no address register to integrate with, and no evidence of any address-land linkage. No authoritative source found on a light check.",,low,"No dedicated address register exists in the DRC, so no address-to-land-register integration is evidenced; land digitisation efforts (e-Foncier) operate independently of any address system.",unknown_lightcheck
COD,DR Congo,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Address register integration,Is the register integrated with the address register?,0,Unknown or n.a.,,No credible evidence found.,reg-business-address,27,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",1,"https://www.businessdataguide.com/blog/jurisdictions/dr-congo-company-search-guide; https://www.worldbank.org/en/news/feature/2026/02/13/le-last-mile-to-formalization-bringing-business-creation-and-services-closer-to-entrepreneurs-in-the-democratic-republic","Original score (0/Unknown, no source) was mislabelled: a light search surfaced authoritative evidence. The RCCM (business register) is confirmed entirely paper-based with no functional online registry as of 2026; a World Bank article (Feb 2026) confirms government is still working toward 'online registration for everyone' as a long-term goal, not yet achieved. As the base register is not digital, no address-register integration is possible. Revised from 0=Unknown to 1=No.",2026,high,"The Registre du Commerce et du Crédit Mobilier (RCCM), DRC's business register, remains entirely paper-based and administered manually through the Tribunaux de Commerce, with no electronic linkage to a standardised address register.",
COD,DR Congo,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Data exchange integration,Is the register integrated with the government's national data exchange system?,0,Unknown or n.a.,,No credible evidence found.,reg-business-dpi,29,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",1,"https://www.businessdataguide.com/blog/jurisdictions/dr-congo-company-search-guide; https://www.worldbank.org/en/news/feature/2026/02/13/le-last-mile-to-formalization-bringing-business-creation-and-services-closer-to-entrepreneurs-in-the-democratic-republic","Original 0/Unknown with no source was mislabelled: a light search found the RCCM is confirmed paper-based with no online platform, so it cannot be integrated with any government data-exchange system. Revised from 0=Unknown to 1=No.",2026,high,"DRC's business register is maintained on paper at the Tribunaux de Commerce and is not connected to any government data-exchange or interoperability platform.",
COD,DR Congo,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Land register integration,Is the register integrated with the land register?,0,Unknown or n.a.,,No credible evidence found.,reg-business-land,28,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",1,"https://www.businessdataguide.com/blog/jurisdictions/dr-congo-company-search-guide; https://www.worldbank.org/en/news/feature/2026/02/13/le-last-mile-to-formalization-bringing-business-creation-and-services-closer-to-entrepreneurs-in-the-democratic-republic","Original 0/Unknown with no source was mislabelled: the RCCM is confirmed paper-based, so no technical linkage to the land register is possible. Revised from 0=Unknown to 1=No.",2026,high,"As the business register (RCCM) is paper-based, there is no technical linkage between business records and the land register.",
COD,DR Congo,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Uptake,What proportion of businesses does the register cover?,0,Unknown or n.a.,,No credible evidence found for proportion of businesses registered.,reg-business-uptake,26,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,"https://www.businessdataguide.com/blog/jurisdictions/dr-congo-company-search-guide","The business register is not maintained digitally (RCCM is entirely paper-based), so a proportion-of-businesses-covered-by-the-digital-register figure is not applicable. Retained at 0=Unknown or n.a., now evidenced rather than unresearched.",2026,high,"As the DRC company register operates on paper without a digital platform, no digital-system coverage rate for registered businesses can be reported.",
COD,DR Congo,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Data exchange integration,Is the register integrated with the government's national data exchange system?,0,Unknown or n.a.,,No credible evidence found; no DPI.,reg-cr-dpi,13,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",3,"https://www.jointsdgfund.org/programme/digital-identification-programme-all-catalyzing-digital-transformation-achieving-sdgs-drc; https://apai-crvs.uneca.org/sites/default/files/resourcefiles/Africa%20CRVS%20Pulse%20V2.pdf","Original 0/Unknown with no source was mislabelled: a light search surfaced an active pilot (Masina municipality, Jul 2024-Jul 2025, Joint SDG Fund with UNICEF/UNFPA/OHCHR) using the DHIS2 platform to link birth registration data with the Ministries of Interior, Health and Justice and with ONIP — an early data-exchange integration, though confined to one municipality and not a national interoperability platform. A 2026 UNDP tender still calls for a 'rapid assessment of current CRVS digitalisation status', confirming no national roll-out yet. Revised from 0=Unknown to 3=Under development.",2026,medium,"A pilot programme in Kinshasa's Masina municipality (2024-2025), backed by UNICEF, UNFPA and OHCHR, digitises birth registration via the DHIS2 platform and links data across the Ministries of Interior, Health and Justice together with the National Office for Population Identification (ONIP), representing an early-stage data-exchange integration under development; national-level integration with a government-wide exchange platform is not yet in place.",
COD,DR Congo,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Status,Does the government maintain a digital civil register?,1,No,,"No digital civil register; paper-based system with 979 local offices. Covers births, deaths, marriages per Law 16/008 (2016).",reg-cr-exists,7,https://apai-crvs.uneca.org/sites/default/files/resourcefiles/CRVS_CongoDRSnapshot_e.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,3,"https://apai-crvs.uneca.org/sites/default/files/resourcefiles/CRVS_CongoDRSnapshot_e.pdf; https://www.jointsdgfund.org/programme/digital-identification-programme-all-catalyzing-digital-transformation-achieving-sdgs-drc; https://apai-crvs.uneca.org/sites/default/files/resourcefiles/Africa%20CRVS%20Pulse%20V2.pdf","The cited source (2019 APAI-CRVS snapshot) is outdated and supported a static 'No' (paper-based, 979 offices). More recent evidence — a Joint SDG Fund/UNICEF-UNFPA-OHCHR pilot in Masina municipality (Jul 2024-Jul 2025, USD 480k) that digitised birth registration via DHIS2 for ~7,000-15,000 children, and APAI-CRVS Pulse (April 2026) describing a 'new phase of digitalization through a centralized platform connecting health facilities, local registries and central authorities' — shows active piloting and institutional momentum. However, a 2026 UNDP consultancy tender still describes DRC as having 'one of the most challenging CRVS contexts on the continent' and calls for a baseline digitalisation assessment, confirming the system is not yet even partially deployed nationwide. Revised from 1=No to 3=Under development.",2026,medium,"Civil registration in the DRC remains predominantly paper-based, administered through around 979 local civil-status offices under Law No. 16/008 (2016), covering births, deaths and marriages. A donor-backed pilot in Kinshasa's Masina municipality (2024-2025) digitised birth registration using the DHIS2 platform, and continental reporting in early 2026 describes a new phase of centralised digitalisation linking health facilities, local registries and central authorities, but digital civil registration has not been deployed beyond pilot scale.",
