Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
MUS,Mauritius,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Business uptake,What proportion of business properties does the register cover?,0,Unknown or n.a.,,No credible evidence found after searching for business address register coverage; and no official digital address register identified.,reg-address-business,21,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"No authoritative source found on a light check. Search confirms no evidence of a dedicated national address register in Mauritius; only statutory business registered-office requirements under the Companies Act were found, which is a distinct concept.",,low,,unknown_lightcheck
MUS,Mauritius,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Data exchange integration,Is the register integrated with the government's national data exchange system?,0,Unknown or n.a.,,No credible evidence found after searching for address register integration with InfoHighway; and no official digital address register identified.,reg-address-dpi,24,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"No authoritative source found on a light check. InfoHighway (ih.govmu.org) is confirmed as Mauritius's government data exchange platform, but no evidence links it to a dedicated address register, consistent with no such register being identified.",,low,,unknown_lightcheck
MUS,Mauritius,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Household uptake,What proportion of private properties does the register cover?,0,Unknown or n.a.,,No credible evidence found after searching for household/residential address register coverage; and no official digital address register identified.,reg-address-house,22,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"No authoritative source found on a light check. Only the 2022 Housing and Population Census references addresses as an enumeration frame, not as a maintained address register with defined household coverage.",,low,,unknown_lightcheck
MUS,Mauritius,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Land register integration,Is the register integrated with the land register?,0,Unknown or n.a.,,No credible evidence found after searching for address register integration with land register; and no official digital address register identified.,reg-address-land,23,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"No authoritative source found on a light check.",,low,,unknown_lightcheck
MUS,Mauritius,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Address register integration,Is the register integrated with the address register?,0,Unknown or n.a.,,No credible evidence found after searching for integration between business register and a standardized national address register; no official address register identified.,reg-business-address,27,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"No authoritative source found on a light check. The Business Registration Act 2002 and Companies Act 2001 require a registered office address for each business, but this is a statutory filing requirement rather than evidence of technical integration with a standardised national address register.",,low,,unknown_lightcheck
MUS,Mauritius,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Data exchange integration,Is the register integrated with the government's national data exchange system?,0,Unknown or n.a.,,No credible evidence found after searching for explicit linkage of CBRD/CBRIS to InfoHighway or other national data exchange platform.,reg-business-dpi,29,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",4,https://ih.govmu.org/,"Light check surfaced an authoritative source (ih.govmu.org, the official InfoHighway platform site) explicitly listing the Corporate and Business Registration Department (CBRD) among its data-sharing agencies, alongside the InfoHighway leaflet confirming CBRD participation. This contradicts the original 'no source' Unknown score, so the row was escalated to full verification. The live InfoHighway dashboard reports 33 publishers, 628 e-services and over 816 million cumulative queries, with CBRD confirmed as a connected publisher, though the exact scope/completeness of business-register data shared is not detailed, so a Partially Integrated rating is used rather than Fully Integrated.",2025,medium,"Mauritius's Corporate and Business Registration Department (CBRD) is a confirmed participating agency on InfoHighway, the government's central data-sharing platform hosted at the Government Online Centre. InfoHighway operates a publish-subscribe model enabling real-time data queries across government agencies, with CBRD listed among its publishers on the official InfoHighway website and leaflet. The platform reports 33 publishers and 628 e-services in active use, indicating operational, if not necessarily comprehensive, integration of business registration data into the national data exchange system.",
MUS,Mauritius,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Land register integration,Is the register integrated with the land register?,0,Unknown or n.a.,,No credible evidence found after searching for integration between CBRD business register and land registry/eRegistry.,reg-business-land,28,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"No authoritative source found on a light check.",,low,,unknown_lightcheck
MUS,Mauritius,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Uptake,What proportion of businesses does the register cover?,0,Unknown or n.a.,,"No credible evidence found after searching for statistics on proportion of businesses covered/registered in Mauritius business register (CBRD annual reports, portal pages).",reg-business-uptake,26,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check surfaced only a dated, tangential proxy — World Bank Enterprise Survey data (via IndexMundi) on 'firms formally registered when operations started', last recorded at 84.2% in 2009 — which does not directly measure digital business-register coverage and is too old to support a score. Confirmed as Unknown.",,low,,unknown_lightcheck
MUS,Mauritius,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,National Id integration,Is the register integrated with the national ID system?,0,Unknown or n.a.,,No credible evidence found after searching whether birth registration automatically generates national ID number or whether death registration deactivates national IDs in Mauritius sources; OECD MauPass only confirms CPD contains National ID number.,reg-cr-id,11,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",5,"https://www.id4africa.com/2019_event/presentations/InF5/3-William-Ayelou-Mauritius.pdf; https://csd.govmu.org/DocumentsList/Civil%20Status%20Act%202023.pdf","Light check surfaced a clearly authoritative source — an official Civil Status Division (Prime Minister's Office) presentation at ID4Africa 2019 — describing automatic technical linkage between birth/death registration and the National Identity Number (NIN): a NIN is computer-generated at birth registration, and the same ID is de-activated at death. This directly contradicts the original 'no evidence' Unknown score, so the row was escalated to full verification and the underlying Civil Status Act (2023 consolidation) was checked to confirm the legal basis for this linkage remains current.",2019,medium,"Mauritius's civil registration system is fully and automatically integrated with the national identity system. A unique National Identity Number (NIN) is computer-generated at the point of birth registration in the Central Civil Status Office system, and the same identity number is de-activated upon registration of death, closing the identity lifecycle. This integration is described by the Civil Status Division (Prime Minister's Office) as a core feature of Mauritius's civil registration and vital statistics ecosystem, underpinned by the Civil Status Act 1981 and National Identity Card Act 1986.",
MUS,Mauritius,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Inclusivity,Are all non-citizens allowed to be included in the register?,0,Unknown or n.a.,,No credible evidence found after searching for Mauritius civil registration eligibility for non-citizens/refugees on Civil Status Division portal and related government pages.,reg-cr-inclusive,9,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check surfaced only tangential material — UNHCR's Rights Mapping and Analysis Platform notes Mauritius has 'achieved universal birth registration' and lacks a dedicated asylum/statelessness law — but nothing addressing whether non-citizens (permanent residents, refugees, IDPs) can specifically register vital events. Confirmed as Unknown.",,low,,unknown_lightcheck
