Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
SLE,Sierra Leone,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Business uptake,What proportion of business properties does the register cover?,0,Unknown or n.a.,,No evidence.,reg-address-business,21,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light Exa check on Sierra Leone commercial/business address register coverage found no evidence of a standardised addressing system extending to business properties specifically. No authoritative source located; Unknown confirmed.",,low,"No data are available on the proportion of business properties covered by a standardised address register in Sierra Leone.",unknown_lightcheck
SLE,Sierra Leone,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Data exchange integration,Is the register integrated with the government's national data exchange system?,0,Unknown or n.a.,,No evidence.,reg-address-dpi,24,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light Exa check found general Sierra Leone government data-exchange developments (NCRA/MoCTI data-sharing MoU, planned Data Exchange Layer) but no evidence specific to an address register or its interoperability status. Unknown confirmed.",,low,"There is no evidence that an address register is connected to a government data exchange platform in Sierra Leone.",unknown_lightcheck
SLE,Sierra Leone,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Status,Does the government maintain a digital address register?,0,Unknown or n.a.,,No national address registry found after searches.,reg-address-exists,20,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",4,"https://fcc.gov.sl/property-reform-faq/;https://sierraloaded.sl/technology/google-maps-dsti-digitize-physical-addresses-sierra-leone/","Original score of 0/Unknown with no source was mislabelled: a light check surfaced authoritative evidence of an operating address system. Freetown City Council's property reform (underway since 2019/2020) has officially adopted Google Plus Codes as building addresses for its property/business tax database, and in March 2024 the Directorate of Science, Technology and Innovation (DSTI) partnered with Google Maps to digitise physical addresses more broadly. Deployment is confirmed in the capital but not shown to be nationwide, so the code is raised from 0 to 4 (Partially deployed).",2024,high,"Sierra Leone has a digital address register in the form of Google Plus Codes, officially adopted by Freetown City Council since its 2019-2020 property tax reform to identify buildings lacking conventional street addresses, and extended through a 2024 partnership between the Directorate of Science, Technology and Innovation (DSTI) and Google Maps to digitise physical addresses more widely. Deployment remains concentrated in Freetown and other urban centres rather than covering the whole country.",
SLE,Sierra Leone,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Household uptake,What proportion of private properties does the register cover?,0,Unknown or n.a.,,No evidence.,reg-address-house,22,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light Exa check on residential/household address coverage in Sierra Leone found no percentage or coverage statistic, only evidence that an addressing system (Google Plus Codes) is being rolled out in Freetown. No authoritative coverage figure found; Unknown confirmed.",,low,"No data are available on the proportion of private/residential properties covered by a standardised address register in Sierra Leone.",unknown_lightcheck
SLE,Sierra Leone,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Land register integration,Is the register integrated with the land register?,0,Unknown or n.a.,,No evidence.,reg-address-land,23,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light Exa check found no evidence of technical integration between an address register and the land register in Sierra Leone. Unknown confirmed.",,low,"There is no evidence of integration between an address register and the land register in Sierra Leone.",unknown_lightcheck
SLE,Sierra Leone,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Address register integration,Is the register integrated with the address register?,0,Unknown or n.a.,,No evidence.,reg-business-address,27,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light Exa check found that business registration (OARG/Corporate Affairs Commission) captures a 'registered office address' as a free-text field but found no evidence of technical linkage to a standardised address register. Unknown confirmed.",,low,"Business registration in Sierra Leone records a registered office address as free text; there is no evidence that this is technically linked to a standardised address register.",unknown_lightcheck
SLE,Sierra Leone,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Data exchange integration,Is the register integrated with the government's national data exchange system?,1,No,,TIN issued with business reg via NRA.,reg-business-dpi,29,https://oarg.gov.sl/business-register/,1,Low,no_year,No data year recorded — provenance/recency unknown.,3,"https://oarg.gov.sl/business-register/;https://nib.gov.sl/wp-content/uploads/2026/03/COMPANIES-002.pdf;https://documents1.worldbank.org/curated/en/099062424123520292/txt/P1642121dcf52c0b01b33d128e42d82cff8.txt","The original source (OARG business register page) confirms only a manual, paper-based registration process in which a TIN is generated alongside the business registration certificate; it does not evidence connection to a national data exchange/interoperability platform. Fresh evidence shows active reform: the World Bank-funded SL Economic Diversification Project was implementing a One-Stop-Shop for Business Services (targeted for October 2024), and Sierra Leone's Companies and Business Registration Act establishes a Board mandated to operate a One-Stop Shop with a centralised electronic database and legally required data sharing with tax, social security and municipal licensing bodies. Full connection to the broader government data-exchange platform is not yet confirmed as operational, so the code is raised from 1 to 3 (Under development) rather than higher.",2026,medium,"Business registration integration with Sierra Leone's wider government data exchange system is under development. A Companies and Business Registration Act establishes a Board mandated to operate a One-Stop Shop with a centralised electronic database and legally required data sharing with the National Revenue Authority, social security and municipal licensing bodies, building on an earlier World Bank-supported One-Stop-Shop for Business Services reform. Full integration with the national interoperability platform has not yet been confirmed as operational.",
SLE,Sierra Leone,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Uptake,What proportion of businesses does the register cover?,3,50-69%,,"Online portal used, hybrid process.",reg-business-uptake,26,https://oarg.gov.sl/business-register/;https://nib.gov.sl/business-registration-portal/,2,Low,no_year,No data year recorded — provenance/recency unknown.,2,https://www.afdb.org/sites/default/files/documents/publications/sierra_leone_cfr_2025.pdf,"One original source (nib.gov.sl/business-registration-portal) is now dead and has been overtaken by unrelated spam content and could not be verified; the other (oarg.gov.sl) describes the registration process but provides no coverage statistic, so the original 50-69% score was unsupported. The African Development Bank's 2025 Country Focus Report cites Sierra Leone's government Census of Business Establishments (CBE) 2022, which found 165,514 establishments nationally, 71% of them informal — implying approximately 29% are formally registered. Code revised down from 3 (50-69%) to 2 (20-49%) to match this figure.",2022,high,"Sierra Leone's 2022 Census of Business Establishments recorded 165,514 business establishments nationwide, of which 71% were informal, implying that around 29% of businesses are formally registered in the digital business register — placing coverage in the 20-49% band.",
SLE,Sierra Leone,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Land,Address register integration,Is the register integrated with the address register?,0,Unknown or n.a.,,No evidence of address integration.,reg-land-address,17,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light Exa check found only aspirational references (a World Bank land assessment noting the general importance of an address system for land administration) with no evidence of actual technical integration between an address register and the land register. Unknown confirmed.",,low,"There is no evidence of technical integration between an address register and the land register in Sierra Leone.",unknown_lightcheck
SLE,Sierra Leone,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Land,Data exchange integration,Is the register integrated with the government's national data exchange system?,0,Unknown or n.a.,,No evidence of data exchange.,reg-land-dpi,19,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",1,https://documents1.worldbank.org/curated/en/271611654274113098/pdf/Sierra-Leone-Land-Administration-Project.pdf,"Original score of 0/Unknown with no source was mislabelled: a light check surfaced an authoritative source. The World Bank's 2022 Sierra Leone Land Administration Project appraisal document explicitly states that data exchange between the land registry (OARG) and cadastre (MLHCP) is manual and unreliable, and that there is no automated data exchange with any external system. Code changed from 0 to 1 (No).",2022,high,"Sierra Leone's land register is not integrated with a government data exchange system. Data exchange even between the land registry (Office of the Administrator and Registrar General) and the land cadastre (Ministry of Lands, Housing and Country Planning) is manual and unreliable, and there is no automated data exchange with any external government system.",
SLE,Sierra Leone,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Land,Status,Does the government maintain a digital land register?,4,Partially deployed,,"MLHCP and OARG handle land reg, mining cadastre digital.",reg-land-exists,14,https://molhcp.gov.sl;https://www.nma.gov.sl/mining-cadastre-office/,2,Low,no_year,No data year recorded — provenance/recency unknown.,3,"https://documents1.worldbank.org/curated/en/271611654274113098/pdf/Sierra-Leone-Land-Administration-Project.pdf;https://www.doingbusiness.org/content/dam/doingBusiness/country/s/sierra-leone/SLE.pdf;https://sllap.molhcp.gov.sl/2-land-information-system-development/","One original source (nma.gov.sl mining cadastre) is unrelated: it describes the Mining Cadastre Administration System used for mineral rights licensing, not the general land title/deeds register, and should not have been cited for this variable. The other (molhcp.gov.sl) is the Ministry's generic homepage with no specific evidence on digitisation status. Fresh evidence from the World Bank's 2022 Land Administration Project appraisal confirms land records remain paper-based (cadastral maps and deeds stored manually; prior 2014 and 2016 digitisation attempts did not progress) and that a new digital Land Information System is only now being developed under the Sierra Leone Land Administration Project (SLLAP, 2022-2028). World Bank Doing Business 2019 data likewise records land records as kept in 'Paper' format. Code revised down from 4 (Partially deployed) to 3 (Under development).",2022,high,"Sierra Leone's land register remains largely paper-based. Cadastral maps and deed records are stored manually across the Office of the Administrator and Registrar General and the Ministry of Lands, Housing and Country Planning, and earlier digitisation attempts in 2014 and 2016 did not progress. A modern digital Land Information System is under development through the World Bank-financed Sierra Leone Land Administration Project (2022-2028), which aims to unify the land registry and cadastre and enable electronic data exchange, but it is not yet operational.",
SLE,Sierra Leone,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Social Protection,Uptake,What proportion of the intended beneficiaries does the register cover?,2,20-49%,,Mass reg of vulnerable/indigents/PWDs ongoing.,reg-social-uptake,42,https://www.nacsa.gov.sl/post/key-messages-on-mass-registration-of-persons-with-disabilities-in-rural-communities;https://blogs.worldbank.org/en/africacan/unlocking-opportunity-how-digital-id-can-transform-lives-in-sierra-leone,2,Low,no_year,No data year recorded — provenance/recency unknown.,,"https://documents1.worldbank.org/curated/en/342271562292188860/pdf/Sierra-Leone-Social-Safety-Net-Project-Second-Additional-Financing.pdf;https://doi.org/10.1596/36452;https://documents1.worldbank.org/curated/en/099060123071017741/txt/P1749420c981460708f7206678358ba026.txt","Both original sources could not be verified: the NaCSA page returned a 403 access error and the World Bank blog on digital ID does not report a social registry coverage figure. Cross-referencing World Bank Social Safety Net project documents and the 2021 Public Expenditure Review: Sierra Leone's core Ep Fet Po cash transfer programme (whose targeting data populates the SPRINT social registry) covered around 65,000 extremely poor households by mid-2022, against a national extreme poverty rate of 12.85% (SLIHS 2018) implying roughly 250,000-270,000 extremely poor households nationwide — a coverage rate in the region of 20-30%. This supports the original 20-49% band, so the score of 2 is confirmed rather than changed, albeit with materially better sourcing.",2022,medium,"Sierra Leone's social protection registry (SPRINT), built on the National Commission for Social Action's Ep Fet Po cash transfer programme, covers an estimated one-fifth to one-third of intended beneficiaries. As of mid-2022 the core programme supported around 65,000 extremely poor households, against a national extreme poverty rate of around 13% implying a target population of roughly 250,000-270,000 extremely poor households, indicating partial but incomplete coverage of the intended beneficiary population.",
