"Country","Country Name","Chapter","Chapter Details","Section","Variable Name","Definition","Value Code","Value Name","Year","Comments","Variable Id","Variable Sort","Source urls","n_sources","redteam_priority","redteam_flags","redteam_note","revised_value_code","revised_source_urls","revision_notes","revised_year","revised_year_confidence","revised_comments","status"
"MOZ","Mozambique","Digital Id","The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Functionality","Digital Authentication Function","Whether the system enables individuals to authenticate themselves or their documents digitally through electronic verification","1"," No","2023","No confirmed digital authentication function is available for the Mozambican national ID card. The BI is a physical card with fingerprint and photograph. The e-Government Development Index ranks Mozambique 173/193 (2023), indicating very limited e-government infrastructure. The SIGAV platform exists for passport scheduling but no online digital authentication via the national ID is documented. The EDGE project aims to develop digital authentication capabilities but this is not yet deployed.","id-functionality-authdigital","36","https://greaterinternetfreedom.org/wp-content/uploads/2023/10/Mozambique_BDI-Research.pdf;https://www.trade.gov/market-intelligence/mozambique-digital-governance","2","OK","","","","https://greaterinternetfreedom.org/wp-content/uploads/2023/10/Mozambique_BDI-Research.pdf;https://www.trade.gov/market-intelligence/mozambique-digital-governance","Both cited sources fetched and read; neither documents an operational digital/electronic authentication function for the national ID (BI). No fresher evidence of a launched biometric-matching, PIN/OTP or QR-based verification service was found. Score of 1 (No) confirmed.","2023","medium","The Bilhete de Identidade (BI) is a physical biometric card; no digital authentication function - such as online biometric matching, PIN/OTP or QR-code verification - is documented. Mozambique's e-Government Development Index ranking remains low, and the World Bank-backed EDGE project is developing digital authentication capabilities that are not yet deployed. The SIGAV platform supports online passport-appointment scheduling but does not provide identity authentication via the national ID.",""
"MOZ","Mozambique","Digital Id","The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Functionality","Government Portal Authentication","Whether authentication is possible through a centralized government portal or digital gateway","1"," No","2023","No government portal authentication using the national ID is confirmed. The e-visa platform (evisa.gov.mz) and the SIGAV passport scheduling platform exist but authenticate users through standard online credentials, not via the national ID. Mozambique ranks 173/193 on the e-Government Development Index. The EDGE project is developing digital government services but ID-based portal authentication has not been deployed as of 2023.","id-functionality-authgovtportal","37","https://www.trade.gov/market-intelligence/mozambique-digital-governance;https://greaterinternetfreedom.org/wp-content/uploads/2023/10/Mozambique_BDI-Research.pdf","2","OK","","","","https://www.trade.gov/market-intelligence/mozambique-digital-governance;https://greaterinternetfreedom.org/wp-content/uploads/2023/10/Mozambique_BDI-Research.pdf","Both cited sources fetched and read; neither documents a centralised government portal authenticating users via the national ID. Score of 1 (No) confirmed.","2023","medium","No centralised government portal authenticates users via the national ID. The e-visa platform (evisa.gov.mz) and the SIGAV passport-scheduling platform use standard login credentials rather than the BI. Mozambique's e-Government Development Index ranking reflects limited e-government infrastructure, and the World Bank-backed EDGE project is developing government digital services, but ID-based portal authentication has not been deployed.",""
"MOZ","Mozambique","Digital Id","The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Functionality","Individual Data Access","Whether individuals can view their data held in the ID database and see how it has been accessed","1"," No","2023","No documented mechanism exists allowing individuals to view their own data held in the national ID database online. The Electronic Transactions Law No.3/2017 grants individuals rights to access and correct their data, and the Constitution (Article 71) provides a right of access, but there is no operational portal or system enabling individuals to access their ID data digitally. The proposed draft data protection law would establish data subject rights including access, but this is not yet enacted.","id-functionality-dataview","42","https://www.dlapiperdataprotection.com/index.html?t=law&c=MZ;https://www.uneca.org/eca-events/sites/default/files/resources/documents/TICID/data-governance-framework-mozambique/en_project_inception_report_mozambique_data_governance_framework.pdf","2","OK","","","","https://www.dlapiperdataprotection.com/index.html?t=law&c=MZ;https://www.uneca.org/eca-events/sites/default/files/resources/documents/TICID/data-governance-framework-mozambique/en_project_inception_report_mozambique_data_governance_framework.pdf","Both cited sources fetched and read. DLA Piper (updated Feb 2026) confirms Mozambique still has no dedicated data protection law giving individuals a self-service data-access right, and a June 2025 UNECA inception report on Mozambique's forthcoming National Data Governance Strategy confirms the country still lacks a unified data governance framework and that a Data Protection Bill (with data-subject access rights) remains in draft. No operational self-service ID data portal was found. Score of 1 (No) confirmed with fresher evidence.","2025","medium","No mechanism allows individuals to view their own data held in the national ID database online. The 2004 Constitution (Article 71) and the Electronic Transactions Law No.3/2017 provide general rights of access and correction, but no operational self-service portal exists. A draft Data Protection Bill, under development with UNECA/GIZ/AU support as part of a National Data Governance Strategy, would establish formal data-subject access rights, but this remains unenacted.",""
"MOZ","Mozambique","Digital Id","The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Governance","Judicial Oversight","Whether the ID authority and system are subject to general oversight of the courts and judicial review","2"," Yes, but not specific to ID","2023","General judicial oversight exists under Mozambique's constitution and legal system. The Constitution (2004) provides for rights protection and access to courts. DLA Piper confirms courts can issue orders regarding data access. However, there are no ID-specific judicial oversight mechanisms or specialized data protection tribunals. The draft data protection law proposes administrative enforcement by ANPD rather than judicial mechanisms. Oversight is not ID-specific.","id-governance-courtoversight","22","https://www.dlapiperdataprotection.com/index.html?t=law&c=MZ;https://www.uneca.org/eca-events/sites/default/files/resources/documents/TICID/data-governance-framework-mozambique/en_project_inception_report_mozambique_data_governance_framework.pdf","2","OK","","","","https://www.dlapiperdataprotection.com/index.html?t=law&c=MZ;https://www.uneca.org/eca-events/sites/default/files/resources/documents/TICID/data-governance-framework-mozambique/en_project_inception_report_mozambique_data_governance_framework.pdf","Both cited sources fetched and read; confirm general constitutional and judicial oversight but no ID-specific judicial mechanism. Score of 2 (Yes, but not specific to ID) confirmed.","2023","medium","General judicial oversight of the ID system exists under Mozambique's constitutional and legal order; the 2004 Constitution provides for rights protection and access to the courts, and data protection sources confirm courts can issue orders concerning data access. There is no specialised, ID-specific judicial review mechanism or data protection tribunal; the draft Data Protection Bill proposes administrative enforcement through a future Data Protection Authority rather than judicial mechanisms.",""
"MOZ","Mozambique","Digital Id","The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Governance","Civil Registration Integration","Whether the civil registration and digital ID systems are integrated","2"," Partial integration","2023","Partial integration exists. The NUIC (Unique Citizen Identification Number) is assigned at birth and links the e-CRVS system with the national ID card. Birth certificates are prerequisites for obtaining NIDs. The UNICEF evaluation notes the 'e-CRVS system can still be better integrated with the national ID system.' INAE CRVS snapshot confirms GITEV inter-ministerial working group coordinates integration. The EDGE project (World Bank) is supporting further integration through single-window issuance. Full real-time automatic integration between CRVS and NID systems does not yet exist.","id-governance-crvs","21","https://evaluationreports.unicef.org/GetDocument?documentID=16474&fileID=45640;https://apai-crvs.uneca.org/sites/default/files/resourcefiles/CRVS_MozambiqueSnapshot_e.pdf;https://cipesa.org/2022/12/towards-an-effective-biometrics-and-digital-identity-system-in-africa/","3","OK","","","","https://evaluationreports.unicef.org/GetDocument?documentID=16474&fileID=45640;https://apai-crvs.uneca.org/sites/default/files/resourcefiles/CRVS_MozambiqueSnapshot_e.pdf;https://cipesa.org/2022/12/towards-an-effective-biometrics-and-digital-identity-system-in-africa/;https://mznews.co.mz/en/mocambique-passa-a-utilizar-novos-bilhetes-de-identidade/","Cited sources fetched and read. Confirmed the NUIC (assigned at birth) links civil registration to the national ID, and a fresh search located Law No. 6/2022 (20 June 2022), which legally mandates that the Unico Numero de Identificacao Civil integrate civil registration, tax identification and social security numbers, plus an implementing decree approved by the Council of Ministers on 2 June 2026. No source confirms this legal integration is yet operational nationwide; UNICEF and UNECA sources continue to describe coordination gaps between CRVS and ID systems. Score of 2 (Partial integration) confirmed.","2022","medium","Integration between civil registration and the national ID is partial. The Unique Citizen Identification Number (NUIC), assigned at birth, links the e-CRVS system with the national ID card, and a birth certificate is a prerequisite for obtaining a BI. Law No. 6/2022 provides for the NUIC to integrate civil registration, tax identification and social security numbers, with an implementing decree approved by the Council of Ministers in June 2026, but full real-time, automated integration between the CRVS and national ID systems is not yet confirmed as operational; an inter-ministerial working group (GITEV) coordinates ongoing integration efforts, supported by the World Bank's EDGE project.",""
"MOZ","Mozambique","Digital Id","The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Governance","Data Sharing Rules","Whether procedural rules for collection, storage, and sharing of ID-related personal data are publicly available and established","2"," Partially available","2023","Data sharing rules are partially available. The Electronic Transactions Law No.3/2017 requires prior notification to INTIC for data processing and mandates consent for data transfers. The Constitution prohibits unauthorized access to and transfer of personal data (Article 71). Banking regulations (Notice 8/GBM/2021) require clear policies protecting consumer data. However, without a comprehensive data protection law and formal DPA, the framework is incomplete and not fully articulated for ID-specific data sharing. The EDGE project is developing a national data governance framework.","id-governance-datasharingrules","23","https://www.dlapiperdataprotection.com/index.html?t=law&c=MZ;https://www.uneca.org/eca-events/sites/default/files/resources/documents/TICID/data-governance-framework-mozambique/en_project_inception_report_mozambique_data_governance_framework.pdf","2","OK","","","","https://www.dlapiperdataprotection.com/index.html?t=law&c=MZ;https://www.uneca.org/eca-events/sites/default/files/resources/documents/TICID/data-governance-framework-mozambique/en_project_inception_report_mozambique_data_governance_framework.pdf;https://mznews.co.mz/en/governo-aprova-novo-regulamento-do-bilhete-de-identidade-em-mocambique/","Original two sources fetched and read; both confirm Mozambique still lacks a comprehensive data protection law, consistent with 'partially available' rules based on the Electronic Transactions Law and constitutional provisions. A fresh search found that Mozambique's Council of Ministers approved, on 2 June 2026, a new decree ('Regime Juridico de Identificacao Civil e do Bilhete de Identidade') reportedly establishing clear rules for the collection, processing, management and retention of citizens' identification data. The decree had only just been approved at the time of writing, with no confirmation found that it has been gazetted, published in full, or entered into force, so it is not possible to confirm whether it meets the 'fully available' threshold. Flagged for human review pending confirmation of the decree's full text and entry-into-force date.","2026","low","Data-sharing rules for the ID system are partially established. The Electronic Transactions Law No.3/2017 requires notification to INTIC for data processing and consent for data transfers, and the Constitution prohibits unauthorised access to or transfer of personal data (Article 71). Mozambique still lacks a comprehensive data protection law and a functioning Data Protection Authority, so ID-specific data-sharing rules are not fully codified or publicly documented, though a new decree specifically regulating the collection, processing and retention of citizens' identification data was approved by the Council of Ministers in June 2026 and may extend the framework once it is in force.","human_review"
"MOZ","Mozambique","Digital Id","The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Governance","Digital ID Specific Regulation","Whether specific regulation or policy addresses digital ID beyond general identification legislation","1"," No","2023","There is no standalone Digital ID-specific regulation in Mozambique. The biometric ID card is governed by Decree No.11/2008 (general identity card decree) and the NUIC by Decree 44/2010 but these are not comprehensive digital ID regulations. The country has a draft data protection bill and is developing a data governance framework under the EDGE project, but no dedicated digital ID law has been enacted as of 2023.","id-governance-digidreg","17","https://greaterinternetfreedom.org/wp-content/uploads/2023/10/Mozambique_BDI-Research.pdf;https://www.dlapiperdataprotection.com/index.html?t=law&c=MZ;https://www.uneca.org/eca-events/sites/default/files/resources/documents/TICID/data-governance-framework-mozambique/en_project_inception_report_mozambique_data_governance_framework.pdf","3","OK","","","","https://greaterinternetfreedom.org/wp-content/uploads/2023/10/Mozambique_BDI-Research.pdf;https://www.dlapiperdataprotection.com/index.html?t=law&c=MZ;https://www.uneca.org/eca-events/sites/default/files/resources/documents/TICID/data-governance-framework-mozambique/en_project_inception_report_mozambique_data_governance_framework.pdf;https://mznews.co.mz/en/governo-aprova-novo-regulamento-do-bilhete-de-identidade-em-mocambique/","Original three sources fetched and read; confirm no standalone digital-ID law existed as of 2023-2025, only the general identity-card decree (11/2008) and NUIC decree (44/2010). A fresh search located Law No. 6/2022 and a new implementing decree approved by the Council of Ministers on 2 June 2026 specifically regulating the 'Regime Juridico de Identificacao Civil e do Bilhete de Identidade', explicitly aimed at strengthening security of 'digital and physical' identification documents. Whether this instrument meets the definition of digital-ID-specific regulation 'beyond general identification legislation' is genuinely unclear from the reporting available (it appears to remain an ID-card regulation rather than a separate digital-identity law), and the decree's full text/gazettal has not been located. Flagged for human review pending the decree's publication.","2026","low","There is no standalone digital-ID-specific law distinct from general identification legislation. The biometric BI is governed by Decree No.11/2008 and the NUIC by Decree 44/2010, and Mozambique continues to develop a national data governance framework (with UNECA/GIZ/AU support, as of June 2025) rather than a dedicated digital ID law. A new decree regulating the civil identification and BI regime, aimed partly at strengthening digital identification document security, was approved by the Council of Ministers in June 2026, though its scope and legal status are not yet fully confirmed.","human_review"
"MOZ","Mozambique","Digital Id","The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Governance","Legal Proof Status","Whether the digital ID credential serves as legal proof of an individual's identity as codified in law","2"," Yes","2021","The Bilhete de Identidade (BI) serves as the primary legal proof of identity for Mozambican citizens before the law. Multiple sources confirm it is required for voting, banking, accessing education, employment, health services, and formal transactions. The Global Protection Cluster briefing note (2021) states that without the BI, 'several obstacles to exercise basic rights arise, such as: to move freely, to vote, to access education, employment, healthcare, bank services.' The NUIC issued at birth is the foundational legal identifier.","id-governance-legalproof","20","https://globalprotectioncluster.org/sites/default/files/2022-07/210817_briefing_note_civil_registration_eng_final.pdf;https://reliefweb.int/report/mozambique/briefing-note-civil-documentation-idps-mozambique-august-2021-enpt","2","OK","","","","https://globalprotectioncluster.org/sites/default/files/2022-07/210817_briefing_note_civil_registration_eng_final.pdf;https://reliefweb.int/report/mozambique/briefing-note-civil-documentation-idps-mozambique-august-2021-enpt","Both sources fetched and read; confirm the BI is required for a wide range of civic and economic activities and functions as the primary legal identity document. Score of 2 (Yes) confirmed.","2021","medium","The Bilhete de Identidade (BI) is the primary legal proof of identity for Mozambican citizens. It is required to vote, open bank accounts, access education and healthcare services, and undertake formal employment and transactions. Without it, individuals face significant obstacles exercising basic rights. The NUIC, assigned at birth, underpins the citizen's foundational legal identity.",""
"MOZ","Mozambique","Digital Id","The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Governance","Legal Framework","Whether formal legislation (act, law, regulation) governs digital identity including identification acts, digital ID laws, or equivalent legislation","2"," Yes","2018","Legal framework exists across multiple instruments: Decree No.11/2008 regulating the biometric identity card; Decree 44/2010 establishing the Unique Citizen Identification Number (NUIC); Civil Registration Code 12/2018 (enacted December 2018) providing the framework for civil registration and electronic CRVS; Electronic Transactions Law No.3/2017; and the 2004 Constitution (Article 71). The EDGE project is also developing additional legal and regulatory frameworks.","id-governance-legframework","16","https://globalprotectioncluster.org/sites/default/files/2022-07/210817_briefing_note_civil_registration_eng_final.pdf;https://apai-crvs.uneca.org/sites/default/files/resourcefiles/CRVS_MozambiqueSnapshot_e.pdf;https://www.dlapiperdataprotection.com/index.html?t=law&c=MZ","3","OK","","","","https://globalprotectioncluster.org/sites/default/files/2022-07/210817_briefing_note_civil_registration_eng_final.pdf;https://apai-crvs.uneca.org/sites/default/files/resourcefiles/CRVS_MozambiqueSnapshot_e.pdf;https://www.dlapiperdataprotection.com/index.html?t=law&c=MZ;https://mznews.co.mz/en/mocambique-passa-a-utilizar-novos-bilhetes-de-identidade/;https://mznews.co.mz/en/governo-aprova-novo-regulamento-do-bilhete-de-identidade-em-mocambique/","Original sources fetched and read, confirming the framework of Decree 11/2008, Decree 44/2010 (NUIC), Civil Registration Code 12/2018 and the Electronic Transactions Law 3/2017. A fresh search identified the more recent and more specific Law No. 6/2022 (approved by the Assembleia da Republica, 20 June 2022), which updates Decree 11/2008 and introduces an integrated data-storage circuit and optical reading zone to the BI, and its implementing decree approved by the Council of Ministers on 2 June 2026. Formal legislation clearly governs digital identity; score of 2 (Yes) confirmed and strengthened with the newer legal instrument.","2022","high","A formal legal framework governs digital identity across several instruments: Decree No.11/2008 (biometric identity card), Decree 44/2010 (Unique Citizen Identification Number, NUIC), the Civil Registration Code 12/2018, the Electronic Transactions Law No.3/2017, and the 2004 Constitution (Article 71). Law No. 6/2022 (20 June 2022) further updates the civil identification and BI regime, introducing an integrated data-storage circuit and optical reading zone to the credential, with an implementing decree approved by the Council of Ministers in June 2026.",""
"MOZ","Mozambique","Digital Id","The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Ownership","Maintenance","Whether the system and the production of credentials can be managed, maintained and developed by in-country technical staff (as opposed to foreign vendors)","2","Partial in-country capacity","2023","Muhlbauer GmbH (a Bavarian company) holds a PPP concession (awarded 2018, 7-year contract) and established a 60-person local office in Maputo. 800 government staff were trained in all aspects of maintenance and operation, indicating partial in-country capacity. The system is operated under a public-private partnership model with extensive know-how transfer to Mozambican staff, but Muhlbauer retains technical lead. The EDGE project is further building institutional capacity.","id-ownership-maintenance","14","https://www.muehlbauer.de/company/press/press-releases/2020/mozambique-id-secure-document-news/;https://silicontrust.org/2019/03/12/muhlbauer-provides-government-solutions-for-the-republic-of-mozambique/","2","OK","","","","https://www.muehlbauer.de/company/press/press-releases/2020/mozambique-id-secure-document-news/;https://silicontrust.org/2019/03/12/muhlbauer-provides-government-solutions-for-the-republic-of-mozambique/;https://id4africa.com/2024/ps5/1.PS5-1-Muehlbauer-final.pdf","All three sources fetched and read. Confirms Muhlbauer GmbH holds the 2018 PPP concession (eight-year contract per the 2024 ID4Africa presentation), maintains a 60-person Maputo office, and 800 government staff have been trained in system maintenance and operation. The vendor remains the technical lead through at least 2026, so in-country capacity is real but partial. Score of 2 (Partial in-country capacity) confirmed.","2024","medium","In-country technical capacity is partial. Muhlbauer ID Services GmbH holds an eight-year public-private partnership concession (from 2018) to build, distribute and support the national ID and travel-document system, and maintains a 60-person office in Maputo. Around 800 government staff have been trained in system maintenance and operation, indicating meaningful technology transfer, but Muhlbauer continues to hold the primary technical and vendor role.",""
