Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Individual Data Access,Whether individuals can view their data held in the ID database and see how it has been accessed,1, No,2021,"CIS/RIA Digital ID evaluation (2021) found that neither the ID law nor NIDA law provides rights for data subjects to access, confirm or correct information in the national ID database. Once registered, individuals are not aware of the full content stored. Law No. 058/2021 grants general data subject rights (Art. 20 portability, Art. 19 rectification) but implementation for the ID database is not documented. Value=1 (No formal individual data access mechanism confirmed for the ID database).",id-functionality-dataview,42,https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Rwanda_31.10.21.pdf;https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15,2,OK,,,2,https://support.new.irembo.gov.rw/en/support/solutions/articles/47001285585-faqs-about-new-digital-id-e-id-or-e-ndangamuntu-and-digital-id-pre-enrollment;https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Rwanda_31.10.21.pdf;https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15,"Original score of 1 (No) rested on the 2021 CIS/RIA evaluation, which predates the new Single Digital ID (SDID) system. The official IremboGov pre-enrollment portal (live, modified Feb 2026) confirms citizens can log in and 'review and update their details online' before biometric capture, giving a functioning self-service view/edit mechanism that did not exist in 2021. This satisfies the 'view data' element of the variable, though no explicit access-log/audit-trail feature (the 'see how it has been accessed' element) is documented. Score revised to 2 (Yes) on the basis of the confirmed self-service data view capability.",2026,high,"Citizens can view and update their personal data held in the identity system through the IremboGov pre-enrolment portal for the Single Digital Identity (SDID/e-ID), which requires login and allows review of biographic details before biometric capture. This provides a self-service mechanism for individuals to see the data held about them, though no dedicated access-log or audit-trail feature letting individuals see who has accessed their data is documented.",
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Judicial Oversight,Whether the ID authority and system are subject to general oversight of the courts and judicial review,2," Yes, but not specific to ID",2021,"Rwanda's general court system provides recourse for ID-related grievances through administrative review before NIDA and subsequently administrative courts. The Integrated Electronic Case Management System (IECMS) for judiciary requires NIN authentication. Law No. 058/2021 grants data subjects appeal rights to the supervisory authority (NCSA). However, no ID-specific judicial oversight mechanism exists. Value=2 (Yes but not ID-specific).",id-governance-courtoversight,22,https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Rwanda_31.10.21.pdf;https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15,2,OK,,,,https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Rwanda_31.10.21.pdf;https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15,"Sources verified: the CIS/RIA Rwanda case study confirms no ID-specific judicial oversight mechanism, and Law No. 058/2021 confirms data subjects can appeal decisions of the National Cyber Security Authority through general administrative/judicial channels rather than an ID-specific tribunal. No newer evidence found of an ID-specific judicial mechanism being created. Score of 2 (Yes, but not specific to ID) confirmed.",2021,medium,"Rwanda's general court system provides recourse for identity-related grievances through administrative review before NIDA and subsequent judicial review, and Law No. 058/2021 grants data subjects the right to appeal decisions of the National Cyber Security Authority. No identity-specific judicial oversight mechanism has been established; oversight operates through ordinary administrative and judicial channels.",
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,3, Full integration,2020,"The NCI-CRVS system (launched Aug 2020) assigns a unique NIN at birth and integrates directly and in real-time with the National Population Registry. Over 600 health facilities, 2,148 cells and 416 sector offices offer real-time birth/death registration linked to NIDA's NPR. Birth registration completeness reached 92.9% in 2022. Value=3 (Full integration).",id-governance-crvs,21,https://www.biometricupdate.com/202102/rwandas-new-digital-id-birth-registration-system-brings-services-closer-to-citizens;https://unstats.un.org/legal-identity-agenda/documents/Paper/2023/CRVSID-Rwanda.pdf;https://dhis2.org/rwanda-crvs-eir-integration/,3,OK,,,,https://www.biometricupdate.com/202102/rwandas-new-digital-id-birth-registration-system-brings-services-closer-to-citizens;https://unstats.un.org/legal-identity-agenda/documents/Paper/2023/CRVSID-Rwanda.pdf;https://dhis2.org/rwanda-crvs-eir-integration/,"Confirmed via three independent sources: Biometric Update (2021), the UN Legal Identity Agenda CRVSID Rwanda case study (Sept 2023) and a DHIS2 case study (2022) on CRVS-EIR interoperability, all describing the NCI-CRVS system's real-time integration with the National Population Registry via a unique ID number assigned at birth. Full integration is well-established and continuing. Score of 3 (Full integration) confirmed.",2023,high,"Rwanda's National Centralised and Integrated CRVS system (NCI-CRVS), operational since August 2020, assigns a unique identification number at birth and integrates in real time with the National Population Registry, with birth and death registration now available at health facilities and administrative offices nationwide. This civil registration data feeds directly into the identity system, representing full integration between civil registration and the population/identity registry.",
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Digital ID Specific Regulation,Whether specific regulation or policy addresses digital ID beyond general identification legislation,2, Yes,2023,Law No. 029/2023 of 14/06/2023 specifically governs population registration in the National Single Digital Identity System (SDIS). Ministerial Order N° 001/MINICT/24 of 22/01/2024 relates to the Single Digital Identity Coordination Council. Value=2 (Yes).,id-governance-digidreg,17,https://citizenshiprightsafrica.org/rwanda-law-n-029-2023-of-14-06-2023-governing-population-registration-in-the-national-single-digital-identity-system/;https://coingeek.com/rwanda-digital-id-advances-with-300000-already-registered/,2,OK,,,,https://www.minijust.gov.rw/index.php?eID=dumpFile&f=70185&t=f&token=c818ee1bfc9de9f91a3b207b9512ee7702e28316;https://newspaper.africa/2023/06/23/rwandas-incoming-digital-ids-what-you-need-to-know/,"Confirmed by fetching the official Rwandan gazette text of Law N° 029/2023 of 14/06/2023 governing population registration in the National Single Digital Identity System, published 15 June 2023, which specifically regulates the SDID system separate from general identification law. Score of 2 (Yes) confirmed and remains current; the law is being actively implemented via the 2025-2026 national enrolment campaign.",2023,high,"Law N° 029/2023 of 14/06/2023, governing population registration in the National Single Digital Identity System, provides dedicated legislation for Rwanda's digital identity system beyond the general identification framework. It establishes the SDID registry, the SDID number and card, and registration procedures, and is being implemented through NIDA's nationwide biometric enrolment campaign.",
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Act,Whether national data protection legislation exists and covers personal data linked to the ID system,2, Yes,2021,Law No. 058/2021 of 13/10/2021 relating to the Protection of Personal Data and Privacy entered into force on 15 October 2021. The National Cyber Security Authority (NCSA) is the designated supervisory authority. Value=2 (Yes).,id-governance-dpaexists,18,https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15;https://www.minict.gov.rw/news-detail/rwanda-passes-new-law-protecting-personal-data;https://www.dlapiperdataprotection.com/index.html?t=about&c=RW,3,OK,,,,https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15;https://www.minict.gov.rw/news-detail/rwanda-passes-new-law-protecting-personal-data;https://www.dlapiperdataprotection.com/index.html?t=about&c=RW,"Confirmed: Law N° 058/2021 of 13/10/2021 relating to the Protection of Personal Data and Privacy remains in force, verified against the official RwandaLII text, the Ministry of ICT announcement, and the DLA Piper Data Protection Laws of the World tracker (last modified January 2025), all consistent. Score of 2 (Yes) confirmed.",2021,high,"Law N° 058/2021 of 13 October 2021 relating to the Protection of Personal Data and Privacy is in force and governs the processing of personal data in Rwanda, including data held in identity systems. It establishes data subject rights and designates the National Cyber Security Authority as supervisory authority.",
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Authority Oversight,Whether a Data Protection Authority or similar body regulates ID data collection and sharing by the ID system,2, Yes,2021,"Law No. 058/2021 designates the National Cyber Security Authority (NCSA) as the supervisory authority with powers to oversee implementation, issue registration certificates to data controllers/processors, and impose administrative sanctions. Value=2 (Yes).",id-governance-dpaoversight,19,https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15;https://www.minict.gov.rw/news-detail/rwanda-passes-new-law-protecting-personal-data,2,OK,,,,https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15;https://www.minict.gov.rw/news-detail/rwanda-passes-new-law-protecting-personal-data,"Confirmed: the National Cyber Security Authority (NCSA) is designated under Law N° 058/2021 as the supervisory authority for data protection, with powers to register data controllers/processors and impose sanctions. No newer evidence of a change of authority found. Score of 2 (Yes) confirmed.",2021,high,"The National Cyber Security Authority (NCSA) serves as Rwanda's data protection supervisory authority under Law N° 058/2021, with powers to oversee implementation, register data controllers and processors, and impose administrative sanctions, including in relation to data collected and shared by the identity system.",
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Proof Status,Whether the digital ID credential serves as legal proof of an individual's identity as codified in law,2, Yes,2008,"Law No. 14/2008 makes possession and carrying of the national identity card obligatory for every Rwandan aged 16 and above. The NIN/National ID is the primary legal proof of identity accepted for healthcare, higher education, taxation, pensions, social assistance, financial services, and travel within EAC (Kenya, Uganda). Value=2 (Yes).",id-governance-legalproof,20,https://documents1.worldbank.org/curated/en/279741611941779893/pdf/People-s-Perspectives-on-ID-and-Civil-Registration-in-Rwanda-Research-Report.pdf;https://www.justice.gov/sites/default/files/eoir/legacy/2014/10/14/RWA103584.E.pdf,2,OK,,,,https://documents1.worldbank.org/curated/en/279741611941779893/pdf/People-s-Perspectives-on-ID-and-Civil-Registration-in-Rwanda-Research-Report.pdf;https://www.justice.gov/sites/default/files/eoir/legacy/2014/10/14/RWA103584.E.pdf,"Confirmed: Law No. 14/2008 (Art. 11) makes the national identity card obligatory for every Rwandan aged 16 and above and it remains the primary legal proof of identity in current use; recent reporting (2025-2026) confirms citizens continue using the current ID as legal proof throughout the ongoing digital ID transition, pending a full switch by 2027. Score of 2 (Yes) confirmed.",2008,medium,"Law No. 14/2008 makes the national identity card obligatory for Rwandans aged 16 and above and establishes it as the legally recognised proof of identity, accepted for healthcare, financial services, taxation and travel within the East African Community. This remains the operative legal basis while a new Single Digital Identity credential is progressively rolled out to replace it by 2027.",
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Framework,"Whether formal legislation (act, law, regulation) governs digital identity including identification acts, digital ID laws, or equivalent legislation",2, Yes,2023,Rwanda has a comprehensive legal framework: Law No. 14/2008 (amended 2018) governing national ID; Law No. 43/2011 establishing NIDA; Law No. 029/2023 governing population registration in the Single Digital Identity System; and Law No. 058/2021 on Data Protection and Privacy. Value=2 (Yes).,id-governance-legframework,16,https://citizenshiprightsafrica.org/rwanda-law-n-029-2023-of-14-06-2023-governing-population-registration-in-the-national-single-digital-identity-system/;https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15;https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Rwanda_31.10.21.pdf,3,OK,,,,https://www.minijust.gov.rw/index.php?eID=dumpFile&f=70185&t=f&token=c818ee1bfc9de9f91a3b207b9512ee7702e28316;https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15;https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Rwanda_31.10.21.pdf,"Confirmed and strengthened: verified the full official gazette text of Law N° 029/2023, alongside Law No. 14/2008, Law No. 43/2011 (NIDA) and Law No. 058/2021 (data protection), forming a comprehensive legal framework for digital identity. Score of 2 (Yes) confirmed.",2023,high,"Rwanda has a comprehensive legal framework governing digital identity comprising Law No. 14/2008 (as amended) on the national identity card, Law No. 43/2011 establishing the National Identification Agency, Law N° 029/2023 governing population registration in the Single Digital Identity System, and Law No. 058/2021 on data protection and privacy.",
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,Electronic Database,Whether identity records are stored in electronic/digital format versus paper-based records,3, Digital,2008,Rwanda's National Population Registry (NPR) and NID database have been fully digital since 2008 following the door-to-door census and biometric capture campaign. No paper-only records for the current system; the new SDIS is 100% digital. Value=3 (Digital).,id-system-dbelectronic,11,https://pubdocs.worldbank.org/en/573111524689463285/Rwanda-ID4D-Diagnostic-Web040318.pdf;https://documents1.worldbank.org/curated/en/279741611941779893/pdf/People-s-Perspectives-on-ID-and-Civil-Registration-in-Rwanda-Research-Report.pdf,2,OK,,,,https://pubdocs.worldbank.org/en/573111524689463285/Rwanda-ID4D-Diagnostic-Web040318.pdf;https://documents1.worldbank.org/curated/en/279741611941779893/pdf/People-s-Perspectives-on-ID-and-Civil-Registration-in-Rwanda-Research-Report.pdf,"Confirmed via the World Bank ID4D Country Diagnostic and People's Perspectives report, and reinforced by ongoing biometric digitisation for the new SDID system (2025-2026), which further deepens digital record-keeping. Score of 3 (Digital) confirmed.",2026,medium,"Identity records in Rwanda are stored electronically. The National Population Registry and identity database have been digital since 2008, and the ongoing rollout of the Single Digital Identity system is further expanding biometric and biographic data capture (fingerprints, iris scans, photographs) into a fully digital registry.",
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Enrollment Eligibility Age,Age in years at which an individual becomes eligible to register for digital ID,1, >17,2023,"Current law (Law No. 14/2008, amended 2018) mandates ID at age 16. The new SDIS (Law No. 029/2023) extends enrollment to include newborns at birth via the CRVS-linked NPR system, with physical card issuance beginning at 16. Children under 5 receive a photograph during SDIS enrollment. NIDA stated the new digital ID 'will be issued from birth.' The NPR captures children below 16. For the national ID card (credential), eligibility remains 16+. Value=1 (>17 for credential; enrollment at birth for the registry is a transition in progress).",id-uptake-enrolleligible,28,https://support.irembo.gov.rw/en/support/solutions/articles/47001191847-how-to-apply-for-a-national-id;https://coingeek.com/rwanda-digital-id-advances-with-300000-already-registered/;https://www.biometricupdate.com/202602/rwanda-digital-id-initiative-advances-with-1-5-million-enrollments,3,OK,,,2,https://www.justice.gov/sites/default/files/eoir/legacy/2014/10/14/RWA103584.E.pdf;https://www.biometricupdate.com/202606/rwanda-accelerates-biometric-enrollment-ahead-of-digital-id-switch;https://allafrica.com/stories/202606040021.html;https://support.new.irembo.gov.rw/en/support/solutions/articles/47001285585-faqs-about-new-digital-id-e-id-or-e-ndangamuntu-and-digital-id-pre-enrollment,"The original Value Code of 1 (>17) does not match the scale: the cited eligibility age of 16 falls within the '10-17' bracket (value 2), not '>17' (value 1) - this is corrected here using the same facts already cited. Separately, fresh 2026 reporting complicates the picture further: NIDA officials state the incoming Single Digital ID 'will be issued from birth' (unlike the current ID, which starts at 16), and the ongoing biometric enrolment campaign already includes children, with parental consent required for under-16s. Whether the variable should be scored against the long-standing credential (16, i.e. value 2) or the newly legislated SDID design (birth-linked, i.e. value 5) is a systemic interpretive question that also affects Population Coverage in this batch and potentially other Digital ID variables outside it. Flagged for human review; value 2 is offered as the more conservative, currently-operative reading.",2026,medium,"Enrolment eligibility for Rwanda's identity system is in transition. The current national identity card requires citizens to be aged 16 or above, per Law No. 14/2008. The incoming Single Digital Identity System, governed by Law N° 029/2023, is designed to register individuals from birth via the CRVS-linked population registry, and the biometric enrolment campaign under way in 2025-2026 already includes children with parental consent, ahead of full transition from the current card.",human_review
