Section,Variable Name,Variable Id,Definition,Format,Other Metadata,Data Collection Guidelines
Social,Population and vital statistics,odin-social-pop,"Data evaluated across three main topics - Population, Births, Deaths.",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 10,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Social,Education facilities,odin-social-educfacility,"Data evaluated across three main topics - School infrastructure, Teaching staff, Education expenditures",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 11,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Social,Education outcomes,odin-social-educoutcome,"Data evaluated across three main topics - Enrollment, Completion, Educational achievement",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 12,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Social,Health facilities,odin-social-healthfacility,"Data evaluated across three main topics - Hospital beds, Healthcare staff, Healthcare expenditures",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 13,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Social,Health outcomes,odin-social-healthoutcome,"Data evaluated across two main topics -  Child immunization,  Disease prevalence",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 14,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Social,Reproductive health,odin-social-reprod,"Data evaluated across five main topics - Maternal mortality, Child mortality, Fertility, Modern contraceptive use, Adolescent births",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 15,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Social,Food security and nutrition,odin-social-food,"Data evaluated across four main topics - Food insecurity, Obesity, Child stunting , Child wasting",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 16,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Social,Gender statistics,odin-social-gender,"Data evaluated across three main topics - Violence against women, Women in leadership, Child marriage",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 17,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Social,Crime and justice,odin-social-crime,"Data evaluated across three main topics - Homicides, Crimes, Prison population",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 18,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
Social,Poverty and income,odin-social-poverty,"Data evaluated across two main topics - Poverty, Income inequality",0=NA; 1=A score between 0.5 and 2.5 out of 10; 2=A score between 3 and 5 out of 10; 3=A score between 5.5 and 7.5 out of 10; a score between 8 and 10 out of 19,"Each of the following sub-indicators are evaluated with a score 0, 0.5 or 1: Indicator coverage and disaggregation; Data available last 5 years; Data available last 10 years; Subnational level 1; Subnational level 2; Machine readability; Non-proprietary; Download options; Metadata availability; Terms of use.  The value returned is the sum of these scores located in 4 score bands of 2.5 each. ",Data and metadata from https://odin.opendatawatch.com/data
